 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
199 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
200 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
201 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
202 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
203 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
204 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
205 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
206 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
207 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
208 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
209 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
210 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
211 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
212 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
213 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
214 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
215 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
216 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
217 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
218 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
219 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
220 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
221 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
222 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
223 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
224 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
225 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
226 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
227 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
228 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
229 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
230 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
231 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
232 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
233 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
234 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
235 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
236 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
237 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
238 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
239 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
240 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
241 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
242 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
243 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
244 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
245 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
246 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
247 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
248 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
249 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
250 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
251 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
252 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
253 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
254 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
255 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
256 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
257 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
258 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
259 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
260 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
261 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
262 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
263 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
264 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
265 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
266 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
267 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
268 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
269 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
270 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
271 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
272 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
273 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
274 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
275 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
276 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
277 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
278 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
279 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
280 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
281 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
282 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
283 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
284 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
285 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
286 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
287 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
288 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
289 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
290 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
291 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
292 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
293 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
294 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
295 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
296 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
297 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
298 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
299 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
300 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
301 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
302 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
303 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
304 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
305 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
306 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
307 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
308 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
309 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
310 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
311 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
312 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
313 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
314 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
315 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
316 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
317 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
318 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
319 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
320 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
321 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
322 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
323 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
324 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
325 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
326 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
327 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
328 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
329 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
330 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
331 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
332 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
333 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
334 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
335 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
336 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
337 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
338 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
339 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
340 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
341 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
342 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
343 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
344 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
345 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
346 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
347 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
348 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
349 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
350 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
351 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
352 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
353 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
354 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
355 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
356 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
357 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
358 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
359 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
360 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
361 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
362 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
363 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
364 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
365 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
366 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
367 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
368 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
369 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
370 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
371 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
372 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
373 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
374 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
375 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
376 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
377 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
378 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
379 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
380 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
381 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
382 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
