 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-1.0, timesteps:129
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:591
3 Result (1->win; 0->lose):0, Score:1.0, timesteps:567
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:523
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:131
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:407
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:591
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:129
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:591
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
20 Result (1->win; 0->lose):0, Score:1.0, timesteps:843
21 Result (1->win; 0->lose):0, Score:-1.0, timesteps:591
22 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
26 Result (1->win; 0->lose):0, Score:-1.0, timesteps:591
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:179
30 Result (1->win; 0->lose):0, Score:-1.0, timesteps:435
31 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
32 Result (1->win; 0->lose):0, Score:0.0, timesteps:903
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
34 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:412
37 Result (1->win; 0->lose):0, Score:-1.0, timesteps:835
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:11
39 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
40 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
41 Result (1->win; 0->lose):0, Score:-1.0, timesteps:591
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:591
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
44 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
45 Result (1->win; 0->lose):0, Score:-1.0, timesteps:131
46 Result (1->win; 0->lose):0, Score:-1.0, timesteps:131
47 Result (1->win; 0->lose):0, Score:-1.0, timesteps:143
48 Result (1->win; 0->lose):0, Score:-1.0, timesteps:591
