 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:50.0, timesteps:956
1 Result (1->win; 0->lose):0, Score:2.0, timesteps:348
2 Result (1->win; 0->lose):0, Score:18.0, timesteps:407
3 Result (1->win; 0->lose):0, Score:16.0, timesteps:799
4 Result (1->win; 0->lose):0, Score:16.0, timesteps:557
5 Result (1->win; 0->lose):0, Score:16.0, timesteps:799
6 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
7 Result (1->win; 0->lose):0, Score:8.0, timesteps:396
8 Result (1->win; 0->lose):0, Score:16.0, timesteps:799
9 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
10 Result (1->win; 0->lose):0, Score:8.0, timesteps:673
11 Result (1->win; 0->lose):0, Score:6.0, timesteps:867
12 Result (1->win; 0->lose):0, Score:6.0, timesteps:867
13 Result (1->win; 0->lose):0, Score:20.0, timesteps:902
14 Result (1->win; 0->lose):0, Score:6.0, timesteps:867
15 Result (1->win; 0->lose):0, Score:6.0, timesteps:867
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:284
17 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
18 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
19 Result (1->win; 0->lose):0, Score:0.0, timesteps:284
20 Result (1->win; 0->lose):0, Score:12.0, timesteps:492
21 Result (1->win; 0->lose):0, Score:2.0, timesteps:284
22 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
24 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
25 Result (1->win; 0->lose):0, Score:0.0, timesteps:284
26 Result (1->win; 0->lose):0, Score:16.0, timesteps:799
27 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
28 Result (1->win; 0->lose):0, Score:12.0, timesteps:446
29 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
30 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:14.0, timesteps:584
32 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
34 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
35 Result (1->win; 0->lose):0, Score:6.0, timesteps:867
36 Result (1->win; 0->lose):0, Score:6.0, timesteps:867
37 Result (1->win; 0->lose):0, Score:4.0, timesteps:388
38 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
39 Result (1->win; 0->lose):0, Score:0.0, timesteps:284
40 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
41 Result (1->win; 0->lose):0, Score:16.0, timesteps:432
42 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
43 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
44 Result (1->win; 0->lose):0, Score:8.0, timesteps:332
45 Result (1->win; 0->lose):0, Score:10.0, timesteps:375
46 Result (1->win; 0->lose):0, Score:6.0, timesteps:867
47 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
48 Result (1->win; 0->lose):0, Score:4.0, timesteps:396
49 Result (1->win; 0->lose):0, Score:14.0, timesteps:383
50 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
51 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
52 Result (1->win; 0->lose):0, Score:14.0, timesteps:520
53 Result (1->win; 0->lose):0, Score:6.0, timesteps:867
54 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
55 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
57 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
58 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
59 Result (1->win; 0->lose):0, Score:12.0, timesteps:446
60 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
61 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:20.0, timesteps:555
63 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
64 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
65 Result (1->win; 0->lose):0, Score:16.0, timesteps:565
66 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
67 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
68 Result (1->win; 0->lose):0, Score:14.0, timesteps:503
69 Result (1->win; 0->lose):0, Score:24.0, timesteps:916
70 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
71 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
72 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
73 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
74 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
76 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
77 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
79 Result (1->win; 0->lose):0, Score:16.0, timesteps:675
80 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
81 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
82 Result (1->win; 0->lose):0, Score:14.0, timesteps:503
83 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
84 Result (1->win; 0->lose):0, Score:10.0, timesteps:501
85 Result (1->win; 0->lose):0, Score:4.0, timesteps:387
86 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
87 Result (1->win; 0->lose):0, Score:14.0, timesteps:503
88 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
89 Result (1->win; 0->lose):0, Score:8.0, timesteps:457
90 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
91 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
92 Result (1->win; 0->lose):0, Score:10.0, timesteps:574
93 Result (1->win; 0->lose):0, Score:14.0, timesteps:503
94 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
95 Result (1->win; 0->lose):0, Score:10.0, timesteps:433
96 Result (1->win; 0->lose):0, Score:12.0, timesteps:446
97 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
98 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
99 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
100 Result (1->win; 0->lose):0, Score:10.0, timesteps:501
101 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
102 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
103 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
105 Result (1->win; 0->lose):0, Score:14.0, timesteps:503
106 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
107 Result (1->win; 0->lose):0, Score:16.0, timesteps:799
108 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
109 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
110 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
111 Result (1->win; 0->lose):0, Score:10.0, timesteps:411
112 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
113 Result (1->win; 0->lose):0, Score:14.0, timesteps:503
114 Result (1->win; 0->lose):0, Score:10.0, timesteps:501
115 Result (1->win; 0->lose):0, Score:8.0, timesteps:325
116 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
117 Result (1->win; 0->lose):0, Score:8.0, timesteps:352
