 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:12.0, timesteps:298
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:501
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:672
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:501
4 Result (1->win; 0->lose):0, Score:40.0, timesteps:931
5 Result (1->win; 0->lose):0, Score:35.0, timesteps:765
6 Result (1->win; 0->lose):0, Score:31.0, timesteps:854
7 Result (1->win; 0->lose):0, Score:43.0, timesteps:782
8 Result (1->win; 0->lose):0, Score:12.0, timesteps:714
9 Result (1->win; 0->lose):0, Score:2.0, timesteps:501
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:698
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:698
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:409
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:501
14 Result (1->win; 0->lose):0, Score:37.0, timesteps:698
15 Result (1->win; 0->lose):0, Score:22.0, timesteps:746
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:698
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:501
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:409
19 Result (1->win; 0->lose):0, Score:27.0, timesteps:698
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:698
21 Result (1->win; 0->lose):1, Score:42.0, timesteps:773
22 Result (1->win; 0->lose):0, Score:2.0, timesteps:698
23 Result (1->win; 0->lose):0, Score:41.0, timesteps:856
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:806
25 Result (1->win; 0->lose):0, Score:27.0, timesteps:858
26 Result (1->win; 0->lose):0, Score:2.0, timesteps:698
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:698
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:698
29 Result (1->win; 0->lose):0, Score:21.0, timesteps:698
30 Result (1->win; 0->lose):0, Score:0.0, timesteps:752
31 Result (1->win; 0->lose):0, Score:35.0, timesteps:768
32 Result (1->win; 0->lose):0, Score:1.0, timesteps:758
33 Result (1->win; 0->lose):0, Score:21.0, timesteps:616
34 Result (1->win; 0->lose):0, Score:37.0, timesteps:826
35 Result (1->win; 0->lose):0, Score:1.0, timesteps:698
36 Result (1->win; 0->lose):0, Score:6.0, timesteps:698
37 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
38 Result (1->win; 0->lose):0, Score:1.0, timesteps:698
39 Result (1->win; 0->lose):0, Score:5.0, timesteps:112
40 Result (1->win; 0->lose):0, Score:23.0, timesteps:780
41 Result (1->win; 0->lose):0, Score:27.0, timesteps:764
42 Result (1->win; 0->lose):0, Score:40.0, timesteps:954
43 Result (1->win; 0->lose):0, Score:31.0, timesteps:325
44 Result (1->win; 0->lose):0, Score:31.0, timesteps:325
45 Result (1->win; 0->lose):0, Score:1.0, timesteps:501
46 Result (1->win; 0->lose):0, Score:27.0, timesteps:844
47 Result (1->win; 0->lose):0, Score:12.0, timesteps:797
48 Result (1->win; 0->lose):1, Score:50.0, timesteps:652
49 Result (1->win; 0->lose):0, Score:31.0, timesteps:325
50 Result (1->win; 0->lose):0, Score:31.0, timesteps:325
51 Result (1->win; 0->lose):0, Score:1.0, timesteps:758
52 Result (1->win; 0->lose):0, Score:0.0, timesteps:710
53 Result (1->win; 0->lose):0, Score:5.0, timesteps:112
54 Result (1->win; 0->lose):0, Score:31.0, timesteps:918
55 Result (1->win; 0->lose):0, Score:5.0, timesteps:112
56 Result (1->win; 0->lose):0, Score:31.0, timesteps:778
57 Result (1->win; 0->lose):0, Score:31.0, timesteps:325
58 Result (1->win; 0->lose):0, Score:26.0, timesteps:602
59 Result (1->win; 0->lose):0, Score:39.0, timesteps:988
60 Result (1->win; 0->lose):0, Score:1.0, timesteps:501
61 Result (1->win; 0->lose):0, Score:36.0, timesteps:877
62 Result (1->win; 0->lose):0, Score:45.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:2.0, timesteps:501
64 Result (1->win; 0->lose):0, Score:36.0, timesteps:877
65 Result (1->win; 0->lose):0, Score:31.0, timesteps:325
66 Result (1->win; 0->lose):1, Score:42.0, timesteps:531
67 Result (1->win; 0->lose):0, Score:37.0, timesteps:835
68 Result (1->win; 0->lose):0, Score:31.0, timesteps:325
69 Result (1->win; 0->lose):0, Score:38.0, timesteps:651
70 Result (1->win; 0->lose):0, Score:27.0, timesteps:600
71 Result (1->win; 0->lose):0, Score:31.0, timesteps:325
72 Result (1->win; 0->lose):0, Score:31.0, timesteps:325
