 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:3.0, timesteps:106
1 Result (1->win; 0->lose):0, Score:3.0, timesteps:147
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:799
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:135
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
21 Result (1->win; 0->lose):0, Score:3.0, timesteps:147
22 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
26 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:219
30 Result (1->win; 0->lose):0, Score:3.0, timesteps:147
31 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
32 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
34 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
37 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
38 Result (1->win; 0->lose):0, Score:3.0, timesteps:147
39 Result (1->win; 0->lose):0, Score:1.0, timesteps:143
40 Result (1->win; 0->lose):0, Score:3.0, timesteps:147
41 Result (1->win; 0->lose):0, Score:3.0, timesteps:147
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
