 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-1.0, timesteps:95
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:95
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
14 Result (1->win; 0->lose):0, Score:0.0, timesteps:319
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:95
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:104
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
21 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
22 Result (1->win; 0->lose):0, Score:-1.0, timesteps:719
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
26 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:284
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
30 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
31 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
32 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
34 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
37 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
39 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
40 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
41 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
44 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
45 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
46 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
47 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
48 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
49 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
50 Result (1->win; 0->lose):0, Score:-1.0, timesteps:127
51 Result (1->win; 0->lose):0, Score:3.0, timesteps:351
52 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
53 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
54 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
55 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
56 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
57 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
58 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
59 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
60 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
61 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
62 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
63 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
64 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
65 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
66 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
67 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
68 Result (1->win; 0->lose):0, Score:-1.0, timesteps:285
69 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
70 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
71 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
72 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
73 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
74 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
75 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
76 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
77 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
78 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
79 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
80 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
81 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
82 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
83 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
84 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
85 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
86 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
87 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
88 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
89 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
90 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
91 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
92 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
93 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
94 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
95 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
96 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
97 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
98 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
99 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
100 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
101 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
102 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
103 Result (1->win; 0->lose):0, Score:-1.0, timesteps:42
104 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
105 Result (1->win; 0->lose):0, Score:-1.0, timesteps:109
106 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
107 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
108 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
109 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
110 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
111 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
112 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
113 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
114 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
115 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
116 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
117 Result (1->win; 0->lose):0, Score:-1.0, timesteps:95
118 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
119 Result (1->win; 0->lose):0, Score:1.0, timesteps:771
120 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
121 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
122 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
123 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
124 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
125 Result (1->win; 0->lose):0, Score:-1.0, timesteps:283
126 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
127 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
128 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
129 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
130 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
131 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
132 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
133 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
134 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
135 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
136 Result (1->win; 0->lose):0, Score:-1.0, timesteps:175
137 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
138 Result (1->win; 0->lose):0, Score:-1.0, timesteps:129
139 Result (1->win; 0->lose):0, Score:-1.0, timesteps:175
140 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
141 Result (1->win; 0->lose):0, Score:-1.0, timesteps:114
142 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
143 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
144 Result (1->win; 0->lose):0, Score:-1.0, timesteps:175
145 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
146 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
147 Result (1->win; 0->lose):0, Score:-1.0, timesteps:119
148 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
149 Result (1->win; 0->lose):0, Score:-1.0, timesteps:129
150 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
151 Result (1->win; 0->lose):0, Score:-1.0, timesteps:111
152 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
153 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
154 Result (1->win; 0->lose):0, Score:0.0, timesteps:319
155 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
156 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
157 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
158 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
159 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
160 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
161 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
162 Result (1->win; 0->lose):0, Score:-1.0, timesteps:315
163 Result (1->win; 0->lose):0, Score:-1.0, timesteps:101
164 Result (1->win; 0->lose):0, Score:0.0, timesteps:319
165 Result (1->win; 0->lose):0, Score:0.0, timesteps:319
166 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
167 Result (1->win; 0->lose):0, Score:0.0, timesteps:319
168 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
169 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
170 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
171 Result (1->win; 0->lose):0, Score:-1.0, timesteps:723
172 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
173 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
174 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
175 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
176 Result (1->win; 0->lose):0, Score:0.0, timesteps:319
177 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
178 Result (1->win; 0->lose):0, Score:-1.0, timesteps:91
179 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
180 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
181 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
182 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
183 Result (1->win; 0->lose):0, Score:0.0, timesteps:319
184 Result (1->win; 0->lose):0, Score:-1.0, timesteps:111
185 Result (1->win; 0->lose):0, Score:0.0, timesteps:319
186 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
187 Result (1->win; 0->lose):0, Score:-1.0, timesteps:108
188 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
189 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
190 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
191 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
192 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
193 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
194 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
195 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
196 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
197 Result (1->win; 0->lose):0, Score:-1.0, timesteps:283
