 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-1.0, timesteps:624
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:871
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:223
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:871
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:871
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:871
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:945
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:871
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
17 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:959
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:871
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:883
21 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
22 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:319
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
26 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:951
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
30 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
31 Result (1->win; 0->lose):0, Score:-1.0, timesteps:129
32 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:754
34 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:883
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
37 Result (1->win; 0->lose):0, Score:-1.0, timesteps:883
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
39 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
40 Result (1->win; 0->lose):0, Score:-1.0, timesteps:871
41 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
44 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
45 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
46 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
47 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
48 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
49 Result (1->win; 0->lose):0, Score:-1.0, timesteps:664
50 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
51 Result (1->win; 0->lose):0, Score:-1.0, timesteps:883
52 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
53 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
54 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
55 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
56 Result (1->win; 0->lose):0, Score:-1.0, timesteps:859
57 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
58 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
59 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
60 Result (1->win; 0->lose):0, Score:-1.0, timesteps:707
61 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
62 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
63 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
64 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
65 Result (1->win; 0->lose):0, Score:-1.0, timesteps:871
66 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
67 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
68 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
69 Result (1->win; 0->lose):0, Score:-1.0, timesteps:883
70 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
71 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
72 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
73 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
74 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
76 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
77 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
78 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
79 Result (1->win; 0->lose):0, Score:-1.0, timesteps:17
80 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
81 Result (1->win; 0->lose):0, Score:0.0, timesteps:931
82 Result (1->win; 0->lose):0, Score:-1.0, timesteps:943
83 Result (1->win; 0->lose):0, Score:-1.0, timesteps:883
