 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:9.0, timesteps:307
1 Result (1->win; 0->lose):0, Score:2.0, timesteps:719
2 Result (1->win; 0->lose):0, Score:42.0, timesteps:645
3 Result (1->win; 0->lose):0, Score:35.0, timesteps:794
4 Result (1->win; 0->lose):0, Score:10.0, timesteps:292
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:800
6 Result (1->win; 0->lose):0, Score:24.0, timesteps:259
7 Result (1->win; 0->lose):0, Score:1.0, timesteps:698
8 Result (1->win; 0->lose):0, Score:14.0, timesteps:828
9 Result (1->win; 0->lose):0, Score:0.0, timesteps:698
10 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
11 Result (1->win; 0->lose):1, Score:45.0, timesteps:678
12 Result (1->win; 0->lose):0, Score:27.0, timesteps:346
13 Result (1->win; 0->lose):0, Score:1.0, timesteps:812
14 Result (1->win; 0->lose):0, Score:27.0, timesteps:812
15 Result (1->win; 0->lose):0, Score:10.0, timesteps:190
16 Result (1->win; 0->lose):0, Score:15.0, timesteps:537
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:698
18 Result (1->win; 0->lose):0, Score:5.0, timesteps:812
19 Result (1->win; 0->lose):0, Score:29.0, timesteps:848
20 Result (1->win; 0->lose):0, Score:46.0, timesteps:804
21 Result (1->win; 0->lose):0, Score:33.0, timesteps:762
22 Result (1->win; 0->lose):0, Score:42.0, timesteps:944
23 Result (1->win; 0->lose):0, Score:31.0, timesteps:337
24 Result (1->win; 0->lose):0, Score:4.0, timesteps:698
25 Result (1->win; 0->lose):0, Score:15.0, timesteps:220
26 Result (1->win; 0->lose):1, Score:42.0, timesteps:386
27 Result (1->win; 0->lose):0, Score:3.0, timesteps:698
28 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
29 Result (1->win; 0->lose):0, Score:29.0, timesteps:762
30 Result (1->win; 0->lose):1, Score:44.0, timesteps:774
31 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
32 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
33 Result (1->win; 0->lose):0, Score:1.0, timesteps:698
34 Result (1->win; 0->lose):0, Score:19.0, timesteps:319
35 Result (1->win; 0->lose):1, Score:42.0, timesteps:450
36 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
37 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
38 Result (1->win; 0->lose):0, Score:47.0, timesteps:954
39 Result (1->win; 0->lose):0, Score:33.0, timesteps:373
40 Result (1->win; 0->lose):0, Score:3.0, timesteps:229
41 Result (1->win; 0->lose):0, Score:35.0, timesteps:798
42 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
43 Result (1->win; 0->lose):0, Score:42.0, timesteps:908
44 Result (1->win; 0->lose):0, Score:1.0, timesteps:812
45 Result (1->win; 0->lose):0, Score:19.0, timesteps:794
46 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
47 Result (1->win; 0->lose):0, Score:45.0, timesteps:954
48 Result (1->win; 0->lose):1, Score:46.0, timesteps:495
49 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
50 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
51 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
52 Result (1->win; 0->lose):0, Score:29.0, timesteps:860
53 Result (1->win; 0->lose):0, Score:45.0, timesteps:1000
54 Result (1->win; 0->lose):0, Score:7.0, timesteps:262
55 Result (1->win; 0->lose):0, Score:5.0, timesteps:151
56 Result (1->win; 0->lose):1, Score:45.0, timesteps:459
57 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
58 Result (1->win; 0->lose):0, Score:41.0, timesteps:472
59 Result (1->win; 0->lose):0, Score:37.0, timesteps:918
60 Result (1->win; 0->lose):0, Score:1.0, timesteps:812
61 Result (1->win; 0->lose):0, Score:1.0, timesteps:406
62 Result (1->win; 0->lose):0, Score:1.0, timesteps:698
63 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
64 Result (1->win; 0->lose):1, Score:42.0, timesteps:467
65 Result (1->win; 0->lose):0, Score:19.0, timesteps:714
66 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
67 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
68 Result (1->win; 0->lose):0, Score:23.0, timesteps:812
