 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:1.0, timesteps:118
1 Result (1->win; 0->lose):0, Score:3.0, timesteps:230
2 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
3 Result (1->win; 0->lose):0, Score:1.0, timesteps:502
4 Result (1->win; 0->lose):0, Score:8.0, timesteps:640
5 Result (1->win; 0->lose):0, Score:2.0, timesteps:24
6 Result (1->win; 0->lose):0, Score:5.0, timesteps:370
7 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
8 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
9 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
10 Result (1->win; 0->lose):0, Score:5.0, timesteps:727
11 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
12 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
13 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
14 Result (1->win; 0->lose):0, Score:2.0, timesteps:15
15 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:1.0, timesteps:427
17 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
18 Result (1->win; 0->lose):0, Score:17.0, timesteps:388
19 Result (1->win; 0->lose):0, Score:7.0, timesteps:432
20 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
21 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
22 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:5.0, timesteps:178
24 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
25 Result (1->win; 0->lose):0, Score:1.0, timesteps:54
26 Result (1->win; 0->lose):0, Score:1.0, timesteps:81
27 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
28 Result (1->win; 0->lose):0, Score:1.0, timesteps:226
29 Result (1->win; 0->lose):0, Score:4.0, timesteps:864
30 Result (1->win; 0->lose):0, Score:2.0, timesteps:25
31 Result (1->win; 0->lose):0, Score:5.0, timesteps:725
32 Result (1->win; 0->lose):0, Score:11.0, timesteps:632
33 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:9.0, timesteps:806
35 Result (1->win; 0->lose):0, Score:1.0, timesteps:398
36 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
37 Result (1->win; 0->lose):0, Score:15.0, timesteps:462
38 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
39 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
40 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
41 Result (1->win; 0->lose):0, Score:3.0, timesteps:567
42 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
43 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
44 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
45 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:1.0, timesteps:537
47 Result (1->win; 0->lose):0, Score:1.0, timesteps:551
48 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
49 Result (1->win; 0->lose):0, Score:1.0, timesteps:380
50 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
51 Result (1->win; 0->lose):0, Score:19.0, timesteps:798
52 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
53 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
54 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
55 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
56 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
57 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
58 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:3.0, timesteps:328
60 Result (1->win; 0->lose):0, Score:3.0, timesteps:643
61 Result (1->win; 0->lose):0, Score:5.0, timesteps:389
62 Result (1->win; 0->lose):0, Score:7.0, timesteps:609
63 Result (1->win; 0->lose):0, Score:6.0, timesteps:316
64 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
65 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
66 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
67 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
68 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
69 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:5.0, timesteps:679
71 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
72 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
73 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
74 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
75 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
76 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
77 Result (1->win; 0->lose):0, Score:5.0, timesteps:238
78 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
79 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
80 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
81 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
82 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
83 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
84 Result (1->win; 0->lose):0, Score:7.0, timesteps:494
85 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
86 Result (1->win; 0->lose):1, Score:11.0, timesteps:1000
87 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
88 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
89 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
90 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
91 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
92 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
93 Result (1->win; 0->lose):0, Score:3.0, timesteps:713
94 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
95 Result (1->win; 0->lose):0, Score:1.0, timesteps:374
96 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
97 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
98 Result (1->win; 0->lose):0, Score:1.0, timesteps:117
99 Result (1->win; 0->lose):0, Score:1.0, timesteps:432
100 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
101 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
102 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
103 Result (1->win; 0->lose):0, Score:12.0, timesteps:359
104 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
105 Result (1->win; 0->lose):0, Score:5.0, timesteps:957
106 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:1.0, timesteps:455
108 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
109 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
