 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:48.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:8.0, timesteps:476
2 Result (1->win; 0->lose):0, Score:4.0, timesteps:349
3 Result (1->win; 0->lose):0, Score:10.0, timesteps:379
4 Result (1->win; 0->lose):0, Score:0.0, timesteps:517
5 Result (1->win; 0->lose):0, Score:12.0, timesteps:484
6 Result (1->win; 0->lose):0, Score:14.0, timesteps:751
7 Result (1->win; 0->lose):0, Score:12.0, timesteps:539
8 Result (1->win; 0->lose):0, Score:14.0, timesteps:516
9 Result (1->win; 0->lose):0, Score:10.0, timesteps:437
10 Result (1->win; 0->lose):0, Score:6.0, timesteps:363
11 Result (1->win; 0->lose):0, Score:6.0, timesteps:316
12 Result (1->win; 0->lose):0, Score:10.0, timesteps:424
13 Result (1->win; 0->lose):0, Score:8.0, timesteps:476
14 Result (1->win; 0->lose):0, Score:4.0, timesteps:480
15 Result (1->win; 0->lose):0, Score:10.0, timesteps:447
16 Result (1->win; 0->lose):0, Score:8.0, timesteps:298
17 Result (1->win; 0->lose):0, Score:8.0, timesteps:365
18 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
19 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
20 Result (1->win; 0->lose):0, Score:16.0, timesteps:677
21 Result (1->win; 0->lose):0, Score:20.0, timesteps:651
22 Result (1->win; 0->lose):0, Score:2.0, timesteps:491
23 Result (1->win; 0->lose):0, Score:8.0, timesteps:302
24 Result (1->win; 0->lose):0, Score:12.0, timesteps:524
25 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
26 Result (1->win; 0->lose):0, Score:16.0, timesteps:312
27 Result (1->win; 0->lose):0, Score:6.0, timesteps:290
28 Result (1->win; 0->lose):0, Score:8.0, timesteps:494
29 Result (1->win; 0->lose):0, Score:24.0, timesteps:539
30 Result (1->win; 0->lose):0, Score:18.0, timesteps:412
31 Result (1->win; 0->lose):0, Score:8.0, timesteps:680
32 Result (1->win; 0->lose):0, Score:10.0, timesteps:375
33 Result (1->win; 0->lose):0, Score:18.0, timesteps:700
34 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
35 Result (1->win; 0->lose):0, Score:10.0, timesteps:760
36 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
37 Result (1->win; 0->lose):0, Score:10.0, timesteps:377
38 Result (1->win; 0->lose):0, Score:10.0, timesteps:654
39 Result (1->win; 0->lose):0, Score:12.0, timesteps:407
40 Result (1->win; 0->lose):0, Score:16.0, timesteps:512
41 Result (1->win; 0->lose):0, Score:6.0, timesteps:546
42 Result (1->win; 0->lose):0, Score:8.0, timesteps:810
43 Result (1->win; 0->lose):0, Score:10.0, timesteps:434
44 Result (1->win; 0->lose):0, Score:12.0, timesteps:341
45 Result (1->win; 0->lose):0, Score:14.0, timesteps:596
46 Result (1->win; 0->lose):0, Score:4.0, timesteps:440
47 Result (1->win; 0->lose):0, Score:4.0, timesteps:301
48 Result (1->win; 0->lose):0, Score:22.0, timesteps:736
49 Result (1->win; 0->lose):0, Score:12.0, timesteps:448
50 Result (1->win; 0->lose):0, Score:10.0, timesteps:420
51 Result (1->win; 0->lose):0, Score:18.0, timesteps:855
52 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:6.0, timesteps:427
54 Result (1->win; 0->lose):0, Score:12.0, timesteps:407
55 Result (1->win; 0->lose):0, Score:14.0, timesteps:501
56 Result (1->win; 0->lose):0, Score:4.0, timesteps:519
57 Result (1->win; 0->lose):0, Score:20.0, timesteps:441
58 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:20.0, timesteps:916
60 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
61 Result (1->win; 0->lose):0, Score:10.0, timesteps:612
