 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-1.0, timesteps:535
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:551
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:367
6 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:551
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:463
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:331
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
19 Result (1->win; 0->lose):0, Score:0.0, timesteps:519
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
21 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
22 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:531
26 Result (1->win; 0->lose):0, Score:1.0, timesteps:847
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:463
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
30 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:-1.0, timesteps:463
32 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:467
34 Result (1->win; 0->lose):0, Score:-1.0, timesteps:463
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:563
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
37 Result (1->win; 0->lose):0, Score:-1.0, timesteps:9
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
39 Result (1->win; 0->lose):0, Score:1.0, timesteps:395
40 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
41 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
42 Result (1->win; 0->lose):0, Score:1.0, timesteps:515
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
44 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
45 Result (1->win; 0->lose):0, Score:1.0, timesteps:719
46 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
47 Result (1->win; 0->lose):0, Score:-1.0, timesteps:463
48 Result (1->win; 0->lose):0, Score:1.0, timesteps:351
49 Result (1->win; 0->lose):0, Score:-1.0, timesteps:463
50 Result (1->win; 0->lose):0, Score:0.0, timesteps:519
51 Result (1->win; 0->lose):0, Score:-1.0, timesteps:443
52 Result (1->win; 0->lose):0, Score:-1.0, timesteps:367
53 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
54 Result (1->win; 0->lose):0, Score:-1.0, timesteps:551
55 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:1.0, timesteps:487
57 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
59 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
60 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
61 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
62 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
64 Result (1->win; 0->lose):0, Score:1.0, timesteps:351
65 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
66 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
67 Result (1->win; 0->lose):0, Score:-1.0, timesteps:551
68 Result (1->win; 0->lose):0, Score:1.0, timesteps:547
69 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
70 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
71 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
72 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
73 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
74 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:-1.0, timesteps:463
76 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
77 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
79 Result (1->win; 0->lose):0, Score:1.0, timesteps:395
80 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
81 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
82 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
83 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
84 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
85 Result (1->win; 0->lose):0, Score:1.0, timesteps:615
86 Result (1->win; 0->lose):0, Score:-1.0, timesteps:463
87 Result (1->win; 0->lose):0, Score:-1.0, timesteps:371
88 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
89 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
90 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
91 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
92 Result (1->win; 0->lose):0, Score:3.0, timesteps:423
93 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
94 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
95 Result (1->win; 0->lose):0, Score:1.0, timesteps:475
96 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
97 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
98 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
99 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
100 Result (1->win; 0->lose):0, Score:-1.0, timesteps:515
101 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
102 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
103 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
105 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
106 Result (1->win; 0->lose):0, Score:-1.0, timesteps:439
107 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
108 Result (1->win; 0->lose):0, Score:1.0, timesteps:523
109 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
110 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
111 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
112 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
113 Result (1->win; 0->lose):0, Score:-1.0, timesteps:551
114 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
115 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
116 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
117 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
118 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
119 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
120 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
121 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
122 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
123 Result (1->win; 0->lose):0, Score:1.0, timesteps:803
124 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
125 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
126 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
127 Result (1->win; 0->lose):0, Score:-1.0, timesteps:391
128 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
129 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
130 Result (1->win; 0->lose):0, Score:1.0, timesteps:835
131 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
132 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
133 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
134 Result (1->win; 0->lose):0, Score:1.0, timesteps:475
135 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
136 Result (1->win; 0->lose):0, Score:-1.0, timesteps:439
137 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
138 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
139 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
140 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
141 Result (1->win; 0->lose):0, Score:1.0, timesteps:395
142 Result (1->win; 0->lose):0, Score:3.0, timesteps:975
143 Result (1->win; 0->lose):0, Score:3.0, timesteps:835
144 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
145 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
146 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
147 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
148 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
149 Result (1->win; 0->lose):0, Score:1.0, timesteps:499
150 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
151 Result (1->win; 0->lose):0, Score:1.0, timesteps:395
152 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
153 Result (1->win; 0->lose):0, Score:-1.0, timesteps:371
154 Result (1->win; 0->lose):0, Score:1.0, timesteps:951
155 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
156 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
157 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
158 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
159 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
160 Result (1->win; 0->lose):0, Score:-1.0, timesteps:467
161 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
162 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
163 Result (1->win; 0->lose):0, Score:1.0, timesteps:407
164 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
165 Result (1->win; 0->lose):0, Score:-1.0, timesteps:292
166 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
167 Result (1->win; 0->lose):0, Score:1.0, timesteps:651
168 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
169 Result (1->win; 0->lose):0, Score:3.0, timesteps:891
170 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
171 Result (1->win; 0->lose):0, Score:1.0, timesteps:535
172 Result (1->win; 0->lose):0, Score:-1.0, timesteps:391
173 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
174 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
175 Result (1->win; 0->lose):0, Score:-1.0, timesteps:527
176 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
177 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
178 Result (1->win; 0->lose):0, Score:-1.0, timesteps:535
179 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
180 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
181 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
182 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
183 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
184 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
185 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
186 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
187 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
188 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
189 Result (1->win; 0->lose):0, Score:1.0, timesteps:631
190 Result (1->win; 0->lose):0, Score:1.0, timesteps:379
191 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
192 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
193 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
194 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
195 Result (1->win; 0->lose):0, Score:1.0, timesteps:695
196 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
197 Result (1->win; 0->lose):0, Score:1.0, timesteps:527
198 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
199 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
200 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
201 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
202 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
203 Result (1->win; 0->lose):0, Score:3.0, timesteps:595
204 Result (1->win; 0->lose):0, Score:1.0, timesteps:387
205 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
206 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
207 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
208 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
209 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
210 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
211 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
212 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
213 Result (1->win; 0->lose):0, Score:3.0, timesteps:879
214 Result (1->win; 0->lose):0, Score:1.0, timesteps:411
215 Result (1->win; 0->lose):0, Score:-1.0, timesteps:503
216 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
217 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
218 Result (1->win; 0->lose):0, Score:3.0, timesteps:839
219 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
220 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
221 Result (1->win; 0->lose):0, Score:1.0, timesteps:527
222 Result (1->win; 0->lose):0, Score:-1.0, timesteps:367
223 Result (1->win; 0->lose):0, Score:1.0, timesteps:395
224 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
225 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
226 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
227 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
228 Result (1->win; 0->lose):0, Score:-1.0, timesteps:535
229 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
230 Result (1->win; 0->lose):0, Score:-1.0, timesteps:463
231 Result (1->win; 0->lose):0, Score:3.0, timesteps:883
232 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
233 Result (1->win; 0->lose):0, Score:-1.0, timesteps:547
234 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
235 Result (1->win; 0->lose):0, Score:-1.0, timesteps:467
236 Result (1->win; 0->lose):0, Score:-1.0, timesteps:463
237 Result (1->win; 0->lose):0, Score:3.0, timesteps:971
238 Result (1->win; 0->lose):0, Score:1.0, timesteps:395
239 Result (1->win; 0->lose):0, Score:3.0, timesteps:631
240 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
241 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
242 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
243 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
244 Result (1->win; 0->lose):0, Score:-1.0, timesteps:535
245 Result (1->win; 0->lose):0, Score:-1.0, timesteps:467
246 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
247 Result (1->win; 0->lose):0, Score:-1.0, timesteps:375
248 Result (1->win; 0->lose):0, Score:1.0, timesteps:535
249 Result (1->win; 0->lose):0, Score:-1.0, timesteps:295
250 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
251 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
252 Result (1->win; 0->lose):0, Score:-1.0, timesteps:367
253 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
254 Result (1->win; 0->lose):0, Score:-1.0, timesteps:379
