 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:34.0, timesteps:633
1 Result (1->win; 0->lose):0, Score:37.0, timesteps:906
2 Result (1->win; 0->lose):0, Score:29.0, timesteps:753
3 Result (1->win; 0->lose):0, Score:49.0, timesteps:927
4 Result (1->win; 0->lose):0, Score:5.0, timesteps:728
5 Result (1->win; 0->lose):0, Score:14.0, timesteps:370
6 Result (1->win; 0->lose):0, Score:14.0, timesteps:698
7 Result (1->win; 0->lose):0, Score:7.0, timesteps:552
8 Result (1->win; 0->lose):0, Score:23.0, timesteps:771
9 Result (1->win; 0->lose):0, Score:9.0, timesteps:544
10 Result (1->win; 0->lose):0, Score:53.0, timesteps:1000
11 Result (1->win; 0->lose):0, Score:9.0, timesteps:698
12 Result (1->win; 0->lose):1, Score:56.0, timesteps:694
13 Result (1->win; 0->lose):0, Score:7.0, timesteps:698
14 Result (1->win; 0->lose):0, Score:22.0, timesteps:711
15 Result (1->win; 0->lose):0, Score:46.0, timesteps:391
16 Result (1->win; 0->lose):1, Score:51.0, timesteps:669
17 Result (1->win; 0->lose):1, Score:56.0, timesteps:743
18 Result (1->win; 0->lose):0, Score:11.0, timesteps:698
19 Result (1->win; 0->lose):0, Score:17.0, timesteps:504
20 Result (1->win; 0->lose):0, Score:26.0, timesteps:292
21 Result (1->win; 0->lose):0, Score:47.0, timesteps:846
22 Result (1->win; 0->lose):0, Score:24.0, timesteps:486
23 Result (1->win; 0->lose):1, Score:49.0, timesteps:615
24 Result (1->win; 0->lose):1, Score:49.0, timesteps:445
25 Result (1->win; 0->lose):0, Score:43.0, timesteps:478
26 Result (1->win; 0->lose):0, Score:25.0, timesteps:202
27 Result (1->win; 0->lose):0, Score:12.0, timesteps:178
28 Result (1->win; 0->lose):1, Score:53.0, timesteps:790
29 Result (1->win; 0->lose):1, Score:51.0, timesteps:724
30 Result (1->win; 0->lose):0, Score:44.0, timesteps:790
31 Result (1->win; 0->lose):0, Score:44.0, timesteps:924
32 Result (1->win; 0->lose):1, Score:53.0, timesteps:669
33 Result (1->win; 0->lose):0, Score:44.0, timesteps:892
34 Result (1->win; 0->lose):1, Score:50.0, timesteps:559
35 Result (1->win; 0->lose):0, Score:26.0, timesteps:391
36 Result (1->win; 0->lose):0, Score:52.0, timesteps:890
37 Result (1->win; 0->lose):1, Score:51.0, timesteps:672
38 Result (1->win; 0->lose):0, Score:12.0, timesteps:352
39 Result (1->win; 0->lose):0, Score:17.0, timesteps:190
40 Result (1->win; 0->lose):1, Score:53.0, timesteps:555
41 Result (1->win; 0->lose):0, Score:47.0, timesteps:717
42 Result (1->win; 0->lose):0, Score:50.0, timesteps:1000
43 Result (1->win; 0->lose):1, Score:52.0, timesteps:594
44 Result (1->win; 0->lose):1, Score:50.0, timesteps:559
45 Result (1->win; 0->lose):0, Score:24.0, timesteps:262
46 Result (1->win; 0->lose):0, Score:12.0, timesteps:160
47 Result (1->win; 0->lose):1, Score:54.0, timesteps:767
48 Result (1->win; 0->lose):0, Score:21.0, timesteps:217
49 Result (1->win; 0->lose):0, Score:31.0, timesteps:746
50 Result (1->win; 0->lose):0, Score:46.0, timesteps:797
51 Result (1->win; 0->lose):0, Score:20.0, timesteps:205
52 Result (1->win; 0->lose):0, Score:12.0, timesteps:698
53 Result (1->win; 0->lose):0, Score:7.0, timesteps:106
54 Result (1->win; 0->lose):1, Score:55.0, timesteps:836
55 Result (1->win; 0->lose):1, Score:56.0, timesteps:493
56 Result (1->win; 0->lose):0, Score:26.0, timesteps:244
57 Result (1->win; 0->lose):1, Score:57.0, timesteps:675
58 Result (1->win; 0->lose):1, Score:53.0, timesteps:900
59 Result (1->win; 0->lose):0, Score:38.0, timesteps:730
60 Result (1->win; 0->lose):0, Score:48.0, timesteps:786
61 Result (1->win; 0->lose):0, Score:22.0, timesteps:226
62 Result (1->win; 0->lose):0, Score:45.0, timesteps:464
63 Result (1->win; 0->lose):0, Score:11.0, timesteps:262
64 Result (1->win; 0->lose):1, Score:48.0, timesteps:527
65 Result (1->win; 0->lose):0, Score:58.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:19.0, timesteps:211
67 Result (1->win; 0->lose):0, Score:18.0, timesteps:232
68 Result (1->win; 0->lose):0, Score:26.0, timesteps:274
69 Result (1->win; 0->lose):0, Score:14.0, timesteps:160
70 Result (1->win; 0->lose):1, Score:50.0, timesteps:812
71 Result (1->win; 0->lose):0, Score:11.0, timesteps:223
72 Result (1->win; 0->lose):0, Score:46.0, timesteps:535
73 Result (1->win; 0->lose):0, Score:16.0, timesteps:166
74 Result (1->win; 0->lose):1, Score:49.0, timesteps:698
75 Result (1->win; 0->lose):1, Score:63.0, timesteps:608
76 Result (1->win; 0->lose):1, Score:56.0, timesteps:810
77 Result (1->win; 0->lose):1, Score:53.0, timesteps:639
78 Result (1->win; 0->lose):0, Score:43.0, timesteps:460
79 Result (1->win; 0->lose):1, Score:51.0, timesteps:727
80 Result (1->win; 0->lose):0, Score:52.0, timesteps:714
81 Result (1->win; 0->lose):1, Score:58.0, timesteps:509
82 Result (1->win; 0->lose):0, Score:36.0, timesteps:331
83 Result (1->win; 0->lose):0, Score:34.0, timesteps:448
84 Result (1->win; 0->lose):0, Score:55.0, timesteps:1000
85 Result (1->win; 0->lose):1, Score:54.0, timesteps:602
86 Result (1->win; 0->lose):0, Score:50.0, timesteps:934
87 Result (1->win; 0->lose):0, Score:46.0, timesteps:558
88 Result (1->win; 0->lose):0, Score:42.0, timesteps:698
89 Result (1->win; 0->lose):0, Score:46.0, timesteps:1000
90 Result (1->win; 0->lose):1, Score:53.0, timesteps:823
91 Result (1->win; 0->lose):0, Score:46.0, timesteps:874
92 Result (1->win; 0->lose):0, Score:50.0, timesteps:956
93 Result (1->win; 0->lose):0, Score:42.0, timesteps:780
94 Result (1->win; 0->lose):0, Score:43.0, timesteps:523
95 Result (1->win; 0->lose):1, Score:47.0, timesteps:919
96 Result (1->win; 0->lose):0, Score:15.0, timesteps:160
97 Result (1->win; 0->lose):1, Score:53.0, timesteps:823
98 Result (1->win; 0->lose):0, Score:57.0, timesteps:1000
99 Result (1->win; 0->lose):0, Score:37.0, timesteps:555
100 Result (1->win; 0->lose):1, Score:51.0, timesteps:661
101 Result (1->win; 0->lose):1, Score:52.0, timesteps:483
102 Result (1->win; 0->lose):0, Score:48.0, timesteps:532
103 Result (1->win; 0->lose):1, Score:54.0, timesteps:602
104 Result (1->win; 0->lose):1, Score:52.0, timesteps:692
105 Result (1->win; 0->lose):0, Score:26.0, timesteps:370
106 Result (1->win; 0->lose):0, Score:9.0, timesteps:145
107 Result (1->win; 0->lose):1, Score:53.0, timesteps:695
108 Result (1->win; 0->lose):1, Score:51.0, timesteps:563
109 Result (1->win; 0->lose):0, Score:49.0, timesteps:812
110 Result (1->win; 0->lose):1, Score:50.0, timesteps:562
111 Result (1->win; 0->lose):0, Score:15.0, timesteps:157
112 Result (1->win; 0->lose):1, Score:56.0, timesteps:672
113 Result (1->win; 0->lose):0, Score:56.0, timesteps:1000
114 Result (1->win; 0->lose):0, Score:38.0, timesteps:337
115 Result (1->win; 0->lose):0, Score:51.0, timesteps:866
116 Result (1->win; 0->lose):1, Score:55.0, timesteps:589
117 Result (1->win; 0->lose):1, Score:58.0, timesteps:865
118 Result (1->win; 0->lose):0, Score:25.0, timesteps:283
119 Result (1->win; 0->lose):1, Score:52.0, timesteps:637
120 Result (1->win; 0->lose):1, Score:49.0, timesteps:380
121 Result (1->win; 0->lose):0, Score:36.0, timesteps:415
122 Result (1->win; 0->lose):0, Score:40.0, timesteps:340
123 Result (1->win; 0->lose):0, Score:37.0, timesteps:794
124 Result (1->win; 0->lose):0, Score:40.0, timesteps:790
125 Result (1->win; 0->lose):0, Score:19.0, timesteps:232
126 Result (1->win; 0->lose):1, Score:56.0, timesteps:550
127 Result (1->win; 0->lose):1, Score:49.0, timesteps:701
128 Result (1->win; 0->lose):0, Score:38.0, timesteps:328
129 Result (1->win; 0->lose):1, Score:51.0, timesteps:702
130 Result (1->win; 0->lose):0, Score:43.0, timesteps:376
131 Result (1->win; 0->lose):1, Score:50.0, timesteps:560
132 Result (1->win; 0->lose):1, Score:50.0, timesteps:395
133 Result (1->win; 0->lose):0, Score:32.0, timesteps:232
134 Result (1->win; 0->lose):1, Score:51.0, timesteps:470
135 Result (1->win; 0->lose):1, Score:48.0, timesteps:649
136 Result (1->win; 0->lose):0, Score:47.0, timesteps:672
137 Result (1->win; 0->lose):0, Score:40.0, timesteps:409
138 Result (1->win; 0->lose):1, Score:60.0, timesteps:960
139 Result (1->win; 0->lose):0, Score:51.0, timesteps:805
140 Result (1->win; 0->lose):1, Score:52.0, timesteps:705
141 Result (1->win; 0->lose):1, Score:53.0, timesteps:477
142 Result (1->win; 0->lose):1, Score:66.0, timesteps:856
143 Result (1->win; 0->lose):1, Score:54.0, timesteps:610
144 Result (1->win; 0->lose):1, Score:50.0, timesteps:627
145 Result (1->win; 0->lose):1, Score:50.0, timesteps:492
146 Result (1->win; 0->lose):1, Score:56.0, timesteps:576
147 Result (1->win; 0->lose):1, Score:51.0, timesteps:519
