 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-2.0, timesteps:155
1 Result (1->win; 0->lose):0, Score:-2.0, timesteps:43
2 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
3 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
4 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
5 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
6 Result (1->win; 0->lose):0, Score:-2.0, timesteps:51
7 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
8 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
9 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
10 Result (1->win; 0->lose):0, Score:-2.0, timesteps:167
11 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
12 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
13 Result (1->win; 0->lose):0, Score:-2.0, timesteps:208
14 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
15 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
16 Result (1->win; 0->lose):0, Score:-2.0, timesteps:80
17 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
18 Result (1->win; 0->lose):0, Score:-2.0, timesteps:27
19 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
20 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
21 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
22 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
23 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
24 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
25 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
26 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
27 Result (1->win; 0->lose):0, Score:-2.0, timesteps:131
28 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
29 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
30 Result (1->win; 0->lose):0, Score:-2.0, timesteps:63
31 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
32 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
33 Result (1->win; 0->lose):0, Score:-2.0, timesteps:68
34 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
35 Result (1->win; 0->lose):0, Score:-2.0, timesteps:127
36 Result (1->win; 0->lose):0, Score:0.0, timesteps:80
37 Result (1->win; 0->lose):0, Score:-2.0, timesteps:68
38 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
39 Result (1->win; 0->lose):0, Score:-2.0, timesteps:79
40 Result (1->win; 0->lose):0, Score:-2.0, timesteps:33
41 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
42 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
43 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
44 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
45 Result (1->win; 0->lose):0, Score:-2.0, timesteps:233
46 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
47 Result (1->win; 0->lose):0, Score:-2.0, timesteps:78
48 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
49 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
50 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
51 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
52 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
53 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
54 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
55 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
56 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
57 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
58 Result (1->win; 0->lose):0, Score:-2.0, timesteps:99
59 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
60 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
61 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
62 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
63 Result (1->win; 0->lose):0, Score:-2.0, timesteps:118
64 Result (1->win; 0->lose):0, Score:-2.0, timesteps:81
65 Result (1->win; 0->lose):0, Score:-2.0, timesteps:38
66 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
67 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
68 Result (1->win; 0->lose):0, Score:-2.0, timesteps:102
69 Result (1->win; 0->lose):0, Score:-2.0, timesteps:208
70 Result (1->win; 0->lose):0, Score:-2.0, timesteps:138
71 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
72 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
73 Result (1->win; 0->lose):0, Score:-2.0, timesteps:43
74 Result (1->win; 0->lose):0, Score:-2.0, timesteps:99
75 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
76 Result (1->win; 0->lose):0, Score:-2.0, timesteps:27
77 Result (1->win; 0->lose):0, Score:-2.0, timesteps:51
78 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
79 Result (1->win; 0->lose):0, Score:-2.0, timesteps:26
80 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
81 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
82 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
83 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
84 Result (1->win; 0->lose):0, Score:-2.0, timesteps:82
85 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
86 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
87 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
88 Result (1->win; 0->lose):0, Score:-2.0, timesteps:47
89 Result (1->win; 0->lose):0, Score:-2.0, timesteps:124
90 Result (1->win; 0->lose):0, Score:-2.0, timesteps:113
91 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
92 Result (1->win; 0->lose):0, Score:-2.0, timesteps:47
93 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
94 Result (1->win; 0->lose):0, Score:-2.0, timesteps:68
