 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
1 Result (1->win; 0->lose):0, Score:-2.0, timesteps:157
2 Result (1->win; 0->lose):0, Score:-2.0, timesteps:62
3 Result (1->win; 0->lose):0, Score:-2.0, timesteps:40
4 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
5 Result (1->win; 0->lose):0, Score:-2.0, timesteps:40
6 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
7 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
8 Result (1->win; 0->lose):0, Score:-2.0, timesteps:60
9 Result (1->win; 0->lose):0, Score:-2.0, timesteps:90
10 Result (1->win; 0->lose):0, Score:-2.0, timesteps:103
11 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
12 Result (1->win; 0->lose):0, Score:-2.0, timesteps:74
13 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
14 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
15 Result (1->win; 0->lose):0, Score:-2.0, timesteps:59
16 Result (1->win; 0->lose):0, Score:-2.0, timesteps:173
17 Result (1->win; 0->lose):0, Score:-2.0, timesteps:29
18 Result (1->win; 0->lose):0, Score:-2.0, timesteps:91
19 Result (1->win; 0->lose):0, Score:-2.0, timesteps:22
20 Result (1->win; 0->lose):0, Score:-2.0, timesteps:38
21 Result (1->win; 0->lose):0, Score:-2.0, timesteps:24
22 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
23 Result (1->win; 0->lose):0, Score:-2.0, timesteps:258
24 Result (1->win; 0->lose):0, Score:-2.0, timesteps:45
25 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
26 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
27 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
28 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
29 Result (1->win; 0->lose):0, Score:-2.0, timesteps:56
30 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
31 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
32 Result (1->win; 0->lose):0, Score:-2.0, timesteps:24
33 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
34 Result (1->win; 0->lose):0, Score:-2.0, timesteps:22
35 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
36 Result (1->win; 0->lose):0, Score:-2.0, timesteps:45
37 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
38 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
39 Result (1->win; 0->lose):0, Score:-2.0, timesteps:37
40 Result (1->win; 0->lose):0, Score:-2.0, timesteps:259
41 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
42 Result (1->win; 0->lose):0, Score:-2.0, timesteps:86
43 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
44 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
45 Result (1->win; 0->lose):0, Score:-2.0, timesteps:55
46 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
47 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
48 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
49 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
50 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
51 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
52 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
53 Result (1->win; 0->lose):0, Score:-2.0, timesteps:26
54 Result (1->win; 0->lose):0, Score:-2.0, timesteps:39
55 Result (1->win; 0->lose):0, Score:-2.0, timesteps:138
56 Result (1->win; 0->lose):0, Score:-2.0, timesteps:53
57 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
58 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
59 Result (1->win; 0->lose):0, Score:-2.0, timesteps:156
60 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
61 Result (1->win; 0->lose):0, Score:-2.0, timesteps:17
62 Result (1->win; 0->lose):0, Score:-2.0, timesteps:105
63 Result (1->win; 0->lose):0, Score:-2.0, timesteps:90
64 Result (1->win; 0->lose):0, Score:-2.0, timesteps:23
65 Result (1->win; 0->lose):0, Score:-2.0, timesteps:92
66 Result (1->win; 0->lose):0, Score:-2.0, timesteps:109
67 Result (1->win; 0->lose):0, Score:-2.0, timesteps:177
68 Result (1->win; 0->lose):0, Score:-2.0, timesteps:121
69 Result (1->win; 0->lose):0, Score:-2.0, timesteps:22
70 Result (1->win; 0->lose):0, Score:-2.0, timesteps:43
71 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
72 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
73 Result (1->win; 0->lose):0, Score:-2.0, timesteps:59
74 Result (1->win; 0->lose):0, Score:-2.0, timesteps:25
75 Result (1->win; 0->lose):0, Score:-2.0, timesteps:51
76 Result (1->win; 0->lose):0, Score:-2.0, timesteps:67
77 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
78 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
79 Result (1->win; 0->lose):0, Score:-2.0, timesteps:36
80 Result (1->win; 0->lose):0, Score:-2.0, timesteps:299
81 Result (1->win; 0->lose):0, Score:-2.0, timesteps:157
82 Result (1->win; 0->lose):0, Score:-2.0, timesteps:100
83 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
84 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
85 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
86 Result (1->win; 0->lose):0, Score:-2.0, timesteps:26
87 Result (1->win; 0->lose):0, Score:-2.0, timesteps:85
88 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
89 Result (1->win; 0->lose):0, Score:-2.0, timesteps:45
90 Result (1->win; 0->lose):0, Score:-2.0, timesteps:43
91 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
92 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
93 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
94 Result (1->win; 0->lose):0, Score:-2.0, timesteps:352
95 Result (1->win; 0->lose):0, Score:-2.0, timesteps:103
96 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
97 Result (1->win; 0->lose):0, Score:-2.0, timesteps:61
98 Result (1->win; 0->lose):0, Score:-2.0, timesteps:100
99 Result (1->win; 0->lose):0, Score:-2.0, timesteps:41
100 Result (1->win; 0->lose):0, Score:-2.0, timesteps:297
101 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
102 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
103 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
104 Result (1->win; 0->lose):0, Score:-2.0, timesteps:82
105 Result (1->win; 0->lose):0, Score:-2.0, timesteps:24
106 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
107 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
108 Result (1->win; 0->lose):0, Score:-2.0, timesteps:81
109 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
110 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
111 Result (1->win; 0->lose):0, Score:-2.0, timesteps:142
112 Result (1->win; 0->lose):0, Score:-2.0, timesteps:30
113 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
114 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
115 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
116 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
117 Result (1->win; 0->lose):0, Score:-2.0, timesteps:64
118 Result (1->win; 0->lose):0, Score:-2.0, timesteps:23
119 Result (1->win; 0->lose):0, Score:-2.0, timesteps:132
120 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
121 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
122 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
123 Result (1->win; 0->lose):0, Score:-2.0, timesteps:28
124 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
125 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
126 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
127 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
128 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
129 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
130 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
131 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
132 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
133 Result (1->win; 0->lose):0, Score:-2.0, timesteps:18
