 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
98 Result (1->win; 0->lose):0, Score:-1.0, timesteps:699
99 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
100 Result (1->win; 0->lose):0, Score:1.0, timesteps:899
101 Result (1->win; 0->lose):0, Score:1.0, timesteps:759
102 Result (1->win; 0->lose):0, Score:1.0, timesteps:723
103 Result (1->win; 0->lose):0, Score:1.0, timesteps:771
104 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
105 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
106 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
107 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
108 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
109 Result (1->win; 0->lose):0, Score:-1.0, timesteps:415
110 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
111 Result (1->win; 0->lose):0, Score:-1.0, timesteps:287
112 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
113 Result (1->win; 0->lose):0, Score:-1.0, timesteps:359
114 Result (1->win; 0->lose):0, Score:1.0, timesteps:735
115 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
116 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
117 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
118 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
119 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
120 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
121 Result (1->win; 0->lose):0, Score:1.0, timesteps:411
122 Result (1->win; 0->lose):0, Score:1.0, timesteps:659
123 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
124 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
125 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
126 Result (1->win; 0->lose):0, Score:-1.0, timesteps:287
127 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
128 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
129 Result (1->win; 0->lose):0, Score:-1.0, timesteps:359
130 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
131 Result (1->win; 0->lose):0, Score:1.0, timesteps:380
132 Result (1->win; 0->lose):0, Score:1.0, timesteps:871
133 Result (1->win; 0->lose):0, Score:5.0, timesteps:859
134 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
135 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
136 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
137 Result (1->win; 0->lose):0, Score:-1.0, timesteps:187
138 Result (1->win; 0->lose):0, Score:-1.0, timesteps:183
139 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
140 Result (1->win; 0->lose):0, Score:-1.0, timesteps:291
141 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
142 Result (1->win; 0->lose):0, Score:-1.0, timesteps:255
143 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
