 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
1 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
2 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
3 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
4 Result (1->win; 0->lose):0, Score:-2.0, timesteps:31
5 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
6 Result (1->win; 0->lose):0, Score:-2.0, timesteps:176
7 Result (1->win; 0->lose):0, Score:-2.0, timesteps:34
8 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
9 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
10 Result (1->win; 0->lose):0, Score:-2.0, timesteps:129
11 Result (1->win; 0->lose):0, Score:-2.0, timesteps:22
12 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
13 Result (1->win; 0->lose):0, Score:-2.0, timesteps:91
14 Result (1->win; 0->lose):0, Score:-2.0, timesteps:29
15 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
16 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
17 Result (1->win; 0->lose):0, Score:-2.0, timesteps:35
18 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
19 Result (1->win; 0->lose):0, Score:-2.0, timesteps:261
20 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
21 Result (1->win; 0->lose):0, Score:-2.0, timesteps:28
22 Result (1->win; 0->lose):0, Score:-2.0, timesteps:138
23 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
24 Result (1->win; 0->lose):0, Score:-2.0, timesteps:150
25 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
26 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
27 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
28 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
29 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
30 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
31 Result (1->win; 0->lose):0, Score:-2.0, timesteps:16
32 Result (1->win; 0->lose):0, Score:-2.0, timesteps:40
33 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
34 Result (1->win; 0->lose):0, Score:-2.0, timesteps:75
