 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:6.0, timesteps:909
2 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
3 Result (1->win; 0->lose):0, Score:42.0, timesteps:1000
4 Result (1->win; 0->lose):0, Score:16.0, timesteps:467
5 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
7 Result (1->win; 0->lose):0, Score:2.0, timesteps:449
8 Result (1->win; 0->lose):0, Score:6.0, timesteps:382
9 Result (1->win; 0->lose):0, Score:8.0, timesteps:483
10 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
11 Result (1->win; 0->lose):0, Score:22.0, timesteps:766
12 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
13 Result (1->win; 0->lose):0, Score:32.0, timesteps:982
14 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
15 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:26.0, timesteps:645
17 Result (1->win; 0->lose):0, Score:48.0, timesteps:655
18 Result (1->win; 0->lose):0, Score:22.0, timesteps:953
19 Result (1->win; 0->lose):0, Score:36.0, timesteps:825
20 Result (1->win; 0->lose):0, Score:20.0, timesteps:915
21 Result (1->win; 0->lose):0, Score:18.0, timesteps:625
22 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
24 Result (1->win; 0->lose):0, Score:32.0, timesteps:447
25 Result (1->win; 0->lose):0, Score:20.0, timesteps:374
26 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
27 Result (1->win; 0->lose):0, Score:18.0, timesteps:717
28 Result (1->win; 0->lose):0, Score:8.0, timesteps:797
29 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:36.0, timesteps:834
31 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
32 Result (1->win; 0->lose):0, Score:20.0, timesteps:485
33 Result (1->win; 0->lose):0, Score:26.0, timesteps:862
34 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
35 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
36 Result (1->win; 0->lose):0, Score:28.0, timesteps:951
37 Result (1->win; 0->lose):0, Score:10.0, timesteps:573
38 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
39 Result (1->win; 0->lose):0, Score:24.0, timesteps:788
40 Result (1->win; 0->lose):0, Score:14.0, timesteps:603
41 Result (1->win; 0->lose):0, Score:44.0, timesteps:896
42 Result (1->win; 0->lose):0, Score:22.0, timesteps:601
43 Result (1->win; 0->lose):0, Score:6.0, timesteps:778
44 Result (1->win; 0->lose):0, Score:18.0, timesteps:610
45 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:26.0, timesteps:301
47 Result (1->win; 0->lose):0, Score:30.0, timesteps:715
48 Result (1->win; 0->lose):0, Score:44.0, timesteps:1000
49 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
50 Result (1->win; 0->lose):0, Score:24.0, timesteps:713
51 Result (1->win; 0->lose):0, Score:10.0, timesteps:861
52 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:12.0, timesteps:859
54 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
55 Result (1->win; 0->lose):0, Score:18.0, timesteps:398
56 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:20.0, timesteps:692
58 Result (1->win; 0->lose):0, Score:40.0, timesteps:894
59 Result (1->win; 0->lose):0, Score:32.0, timesteps:654
60 Result (1->win; 0->lose):0, Score:14.0, timesteps:638
61 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
64 Result (1->win; 0->lose):0, Score:10.0, timesteps:548
65 Result (1->win; 0->lose):0, Score:22.0, timesteps:452
66 Result (1->win; 0->lose):0, Score:34.0, timesteps:909
67 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
69 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:22.0, timesteps:625
71 Result (1->win; 0->lose):0, Score:24.0, timesteps:644
72 Result (1->win; 0->lose):0, Score:36.0, timesteps:731
73 Result (1->win; 0->lose):0, Score:16.0, timesteps:799
