 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:33.0, timesteps:912
1 Result (1->win; 0->lose):1, Score:58.0, timesteps:921
2 Result (1->win; 0->lose):0, Score:9.0, timesteps:657
3 Result (1->win; 0->lose):0, Score:14.0, timesteps:698
4 Result (1->win; 0->lose):0, Score:13.0, timesteps:444
5 Result (1->win; 0->lose):0, Score:11.0, timesteps:714
6 Result (1->win; 0->lose):0, Score:44.0, timesteps:988
7 Result (1->win; 0->lose):0, Score:14.0, timesteps:471
8 Result (1->win; 0->lose):0, Score:1.0, timesteps:154
9 Result (1->win; 0->lose):0, Score:33.0, timesteps:717
10 Result (1->win; 0->lose):0, Score:1.0, timesteps:355
11 Result (1->win; 0->lose):0, Score:19.0, timesteps:711
12 Result (1->win; 0->lose):0, Score:15.0, timesteps:828
13 Result (1->win; 0->lose):0, Score:33.0, timesteps:825
14 Result (1->win; 0->lose):0, Score:17.0, timesteps:844
15 Result (1->win; 0->lose):0, Score:33.0, timesteps:367
16 Result (1->win; 0->lose):0, Score:49.0, timesteps:890
17 Result (1->win; 0->lose):1, Score:54.0, timesteps:568
18 Result (1->win; 0->lose):1, Score:50.0, timesteps:491
19 Result (1->win; 0->lose):0, Score:28.0, timesteps:343
20 Result (1->win; 0->lose):0, Score:39.0, timesteps:334
21 Result (1->win; 0->lose):0, Score:22.0, timesteps:211
22 Result (1->win; 0->lose):1, Score:51.0, timesteps:927
23 Result (1->win; 0->lose):0, Score:46.0, timesteps:885
24 Result (1->win; 0->lose):0, Score:8.0, timesteps:160
25 Result (1->win; 0->lose):0, Score:7.0, timesteps:142
26 Result (1->win; 0->lose):1, Score:53.0, timesteps:503
27 Result (1->win; 0->lose):0, Score:51.0, timesteps:1000
28 Result (1->win; 0->lose):0, Score:32.0, timesteps:325
29 Result (1->win; 0->lose):0, Score:50.0, timesteps:1000
30 Result (1->win; 0->lose):1, Score:57.0, timesteps:805
31 Result (1->win; 0->lose):0, Score:20.0, timesteps:331
32 Result (1->win; 0->lose):0, Score:37.0, timesteps:352
33 Result (1->win; 0->lose):0, Score:36.0, timesteps:385
34 Result (1->win; 0->lose):0, Score:28.0, timesteps:436
35 Result (1->win; 0->lose):0, Score:35.0, timesteps:334
36 Result (1->win; 0->lose):1, Score:63.0, timesteps:724
37 Result (1->win; 0->lose):0, Score:25.0, timesteps:332
38 Result (1->win; 0->lose):0, Score:22.0, timesteps:292
39 Result (1->win; 0->lose):1, Score:49.0, timesteps:543
40 Result (1->win; 0->lose):0, Score:23.0, timesteps:313
41 Result (1->win; 0->lose):0, Score:33.0, timesteps:283
42 Result (1->win; 0->lose):1, Score:58.0, timesteps:668
43 Result (1->win; 0->lose):0, Score:50.0, timesteps:859
44 Result (1->win; 0->lose):0, Score:48.0, timesteps:816
45 Result (1->win; 0->lose):1, Score:53.0, timesteps:694
46 Result (1->win; 0->lose):0, Score:27.0, timesteps:844
47 Result (1->win; 0->lose):0, Score:15.0, timesteps:193
48 Result (1->win; 0->lose):1, Score:53.0, timesteps:584
49 Result (1->win; 0->lose):0, Score:27.0, timesteps:286
50 Result (1->win; 0->lose):0, Score:28.0, timesteps:343
51 Result (1->win; 0->lose):1, Score:50.0, timesteps:671
52 Result (1->win; 0->lose):0, Score:55.0, timesteps:986
53 Result (1->win; 0->lose):1, Score:54.0, timesteps:546
54 Result (1->win; 0->lose):1, Score:63.0, timesteps:918
55 Result (1->win; 0->lose):0, Score:49.0, timesteps:1000
56 Result (1->win; 0->lose):1, Score:55.0, timesteps:645
57 Result (1->win; 0->lose):0, Score:52.0, timesteps:738
58 Result (1->win; 0->lose):0, Score:10.0, timesteps:154
59 Result (1->win; 0->lose):0, Score:48.0, timesteps:720
60 Result (1->win; 0->lose):1, Score:53.0, timesteps:641
61 Result (1->win; 0->lose):1, Score:57.0, timesteps:950
62 Result (1->win; 0->lose):1, Score:48.0, timesteps:690
63 Result (1->win; 0->lose):0, Score:36.0, timesteps:355
64 Result (1->win; 0->lose):0, Score:38.0, timesteps:367
65 Result (1->win; 0->lose):0, Score:27.0, timesteps:208
66 Result (1->win; 0->lose):0, Score:35.0, timesteps:349
67 Result (1->win; 0->lose):0, Score:28.0, timesteps:328
68 Result (1->win; 0->lose):0, Score:25.0, timesteps:268
69 Result (1->win; 0->lose):0, Score:30.0, timesteps:343
70 Result (1->win; 0->lose):0, Score:42.0, timesteps:460
71 Result (1->win; 0->lose):0, Score:26.0, timesteps:301
72 Result (1->win; 0->lose):0, Score:54.0, timesteps:972
73 Result (1->win; 0->lose):1, Score:47.0, timesteps:443
74 Result (1->win; 0->lose):1, Score:53.0, timesteps:621
75 Result (1->win; 0->lose):0, Score:50.0, timesteps:790
76 Result (1->win; 0->lose):1, Score:51.0, timesteps:717
77 Result (1->win; 0->lose):0, Score:33.0, timesteps:391
78 Result (1->win; 0->lose):0, Score:24.0, timesteps:238
79 Result (1->win; 0->lose):1, Score:56.0, timesteps:763
80 Result (1->win; 0->lose):1, Score:53.0, timesteps:474
81 Result (1->win; 0->lose):0, Score:54.0, timesteps:895
82 Result (1->win; 0->lose):0, Score:32.0, timesteps:322
83 Result (1->win; 0->lose):0, Score:49.0, timesteps:964
84 Result (1->win; 0->lose):1, Score:50.0, timesteps:465
85 Result (1->win; 0->lose):0, Score:9.0, timesteps:142
86 Result (1->win; 0->lose):0, Score:36.0, timesteps:343
87 Result (1->win; 0->lose):1, Score:55.0, timesteps:605
88 Result (1->win; 0->lose):1, Score:53.0, timesteps:588
89 Result (1->win; 0->lose):1, Score:52.0, timesteps:442
90 Result (1->win; 0->lose):1, Score:54.0, timesteps:725
91 Result (1->win; 0->lose):0, Score:40.0, timesteps:505
92 Result (1->win; 0->lose):1, Score:56.0, timesteps:592
93 Result (1->win; 0->lose):1, Score:53.0, timesteps:794
94 Result (1->win; 0->lose):0, Score:37.0, timesteps:388
95 Result (1->win; 0->lose):1, Score:55.0, timesteps:563
96 Result (1->win; 0->lose):1, Score:48.0, timesteps:679
97 Result (1->win; 0->lose):1, Score:49.0, timesteps:477
