 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
101 Result (1->win; 0->lose):0, Score:38.0, timesteps:337
102 Result (1->win; 0->lose):1, Score:58.0, timesteps:628
103 Result (1->win; 0->lose):0, Score:32.0, timesteps:310
104 Result (1->win; 0->lose):1, Score:56.0, timesteps:662
105 Result (1->win; 0->lose):1, Score:50.0, timesteps:545
106 Result (1->win; 0->lose):1, Score:60.0, timesteps:828
107 Result (1->win; 0->lose):0, Score:46.0, timesteps:451
108 Result (1->win; 0->lose):1, Score:53.0, timesteps:572
109 Result (1->win; 0->lose):0, Score:34.0, timesteps:319
110 Result (1->win; 0->lose):0, Score:44.0, timesteps:831
111 Result (1->win; 0->lose):1, Score:50.0, timesteps:866
112 Result (1->win; 0->lose):1, Score:49.0, timesteps:509
113 Result (1->win; 0->lose):0, Score:9.0, timesteps:142
114 Result (1->win; 0->lose):0, Score:11.0, timesteps:358
115 Result (1->win; 0->lose):1, Score:49.0, timesteps:574
116 Result (1->win; 0->lose):1, Score:53.0, timesteps:919
117 Result (1->win; 0->lose):0, Score:31.0, timesteps:698
118 Result (1->win; 0->lose):0, Score:51.0, timesteps:568
119 Result (1->win; 0->lose):0, Score:39.0, timesteps:421
120 Result (1->win; 0->lose):0, Score:55.0, timesteps:901
121 Result (1->win; 0->lose):0, Score:48.0, timesteps:849
122 Result (1->win; 0->lose):0, Score:3.0, timesteps:469
123 Result (1->win; 0->lose):0, Score:48.0, timesteps:594
124 Result (1->win; 0->lose):0, Score:25.0, timesteps:274
125 Result (1->win; 0->lose):0, Score:44.0, timesteps:857
126 Result (1->win; 0->lose):1, Score:53.0, timesteps:553
127 Result (1->win; 0->lose):0, Score:22.0, timesteps:202
128 Result (1->win; 0->lose):0, Score:20.0, timesteps:203
129 Result (1->win; 0->lose):1, Score:51.0, timesteps:715
130 Result (1->win; 0->lose):0, Score:49.0, timesteps:884
131 Result (1->win; 0->lose):0, Score:50.0, timesteps:949
132 Result (1->win; 0->lose):0, Score:46.0, timesteps:364
133 Result (1->win; 0->lose):1, Score:56.0, timesteps:609
134 Result (1->win; 0->lose):0, Score:18.0, timesteps:196
135 Result (1->win; 0->lose):1, Score:56.0, timesteps:562
136 Result (1->win; 0->lose):0, Score:23.0, timesteps:310
137 Result (1->win; 0->lose):0, Score:14.0, timesteps:196
138 Result (1->win; 0->lose):0, Score:18.0, timesteps:208
139 Result (1->win; 0->lose):0, Score:37.0, timesteps:550
140 Result (1->win; 0->lose):1, Score:59.0, timesteps:863
141 Result (1->win; 0->lose):0, Score:20.0, timesteps:229
142 Result (1->win; 0->lose):0, Score:56.0, timesteps:878
143 Result (1->win; 0->lose):1, Score:50.0, timesteps:699
144 Result (1->win; 0->lose):0, Score:49.0, timesteps:805
145 Result (1->win; 0->lose):1, Score:54.0, timesteps:812
146 Result (1->win; 0->lose):0, Score:56.0, timesteps:848
