 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:28.0, timesteps:825
1 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
2 Result (1->win; 0->lose):0, Score:12.0, timesteps:669
3 Result (1->win; 0->lose):0, Score:18.0, timesteps:775
4 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:8.0, timesteps:874
7 Result (1->win; 0->lose):0, Score:8.0, timesteps:552
8 Result (1->win; 0->lose):0, Score:20.0, timesteps:560
9 Result (1->win; 0->lose):0, Score:24.0, timesteps:903
10 Result (1->win; 0->lose):0, Score:6.0, timesteps:316
11 Result (1->win; 0->lose):0, Score:4.0, timesteps:676
12 Result (1->win; 0->lose):0, Score:16.0, timesteps:581
13 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
14 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
15 Result (1->win; 0->lose):0, Score:8.0, timesteps:279
16 Result (1->win; 0->lose):0, Score:8.0, timesteps:787
17 Result (1->win; 0->lose):0, Score:16.0, timesteps:589
18 Result (1->win; 0->lose):0, Score:8.0, timesteps:275
19 Result (1->win; 0->lose):0, Score:16.0, timesteps:995
20 Result (1->win; 0->lose):0, Score:14.0, timesteps:888
21 Result (1->win; 0->lose):0, Score:50.0, timesteps:606
22 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:18.0, timesteps:608
24 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
25 Result (1->win; 0->lose):0, Score:4.0, timesteps:339
26 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
27 Result (1->win; 0->lose):0, Score:8.0, timesteps:461
28 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
29 Result (1->win; 0->lose):0, Score:14.0, timesteps:506
30 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:12.0, timesteps:368
32 Result (1->win; 0->lose):0, Score:10.0, timesteps:579
33 Result (1->win; 0->lose):0, Score:6.0, timesteps:366
34 Result (1->win; 0->lose):0, Score:6.0, timesteps:388
35 Result (1->win; 0->lose):0, Score:8.0, timesteps:758
36 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
37 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:10.0, timesteps:404
39 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
40 Result (1->win; 0->lose):0, Score:34.0, timesteps:869
41 Result (1->win; 0->lose):0, Score:6.0, timesteps:276
42 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
43 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:6.0, timesteps:609
45 Result (1->win; 0->lose):0, Score:10.0, timesteps:438
46 Result (1->win; 0->lose):0, Score:16.0, timesteps:685
47 Result (1->win; 0->lose):0, Score:10.0, timesteps:783
48 Result (1->win; 0->lose):0, Score:18.0, timesteps:755
49 Result (1->win; 0->lose):0, Score:10.0, timesteps:663
50 Result (1->win; 0->lose):0, Score:2.0, timesteps:926
51 Result (1->win; 0->lose):0, Score:12.0, timesteps:815
52 Result (1->win; 0->lose):0, Score:10.0, timesteps:453
53 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
54 Result (1->win; 0->lose):0, Score:8.0, timesteps:552
55 Result (1->win; 0->lose):0, Score:8.0, timesteps:458
56 Result (1->win; 0->lose):0, Score:12.0, timesteps:580
57 Result (1->win; 0->lose):0, Score:6.0, timesteps:566
58 Result (1->win; 0->lose):0, Score:12.0, timesteps:955
59 Result (1->win; 0->lose):0, Score:16.0, timesteps:554
60 Result (1->win; 0->lose):0, Score:24.0, timesteps:793
61 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:10.0, timesteps:276
64 Result (1->win; 0->lose):0, Score:12.0, timesteps:544
65 Result (1->win; 0->lose):0, Score:18.0, timesteps:628
66 Result (1->win; 0->lose):0, Score:22.0, timesteps:604
67 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:20.0, timesteps:711
69 Result (1->win; 0->lose):0, Score:10.0, timesteps:342
70 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
71 Result (1->win; 0->lose):0, Score:12.0, timesteps:417
72 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
73 Result (1->win; 0->lose):0, Score:20.0, timesteps:747
74 Result (1->win; 0->lose):0, Score:20.0, timesteps:623
75 Result (1->win; 0->lose):0, Score:44.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
77 Result (1->win; 0->lose):0, Score:12.0, timesteps:611
78 Result (1->win; 0->lose):0, Score:18.0, timesteps:360
79 Result (1->win; 0->lose):0, Score:24.0, timesteps:588
80 Result (1->win; 0->lose):0, Score:8.0, timesteps:712
81 Result (1->win; 0->lose):0, Score:26.0, timesteps:709
82 Result (1->win; 0->lose):0, Score:8.0, timesteps:456
83 Result (1->win; 0->lose):0, Score:14.0, timesteps:665
84 Result (1->win; 0->lose):0, Score:14.0, timesteps:504
