 ** Playing game examples/gridphysics/portals.txt, level examples/gridphysics/portals_lvl0.txt **
101 Result (1->win; 0->lose):0, Score:0.0, timesteps:607
102 Result (1->win; 0->lose):0, Score:0.0, timesteps:998
103 Result (1->win; 0->lose):0, Score:0.0, timesteps:243
104 Result (1->win; 0->lose):0, Score:0.0, timesteps:53
105 Result (1->win; 0->lose):0, Score:0.0, timesteps:600
106 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
108 Result (1->win; 0->lose):0, Score:0.0, timesteps:674
109 Result (1->win; 0->lose):0, Score:0.0, timesteps:599
110 Result (1->win; 0->lose):0, Score:0.0, timesteps:159
111 Result (1->win; 0->lose):0, Score:0.0, timesteps:317
112 Result (1->win; 0->lose):0, Score:0.0, timesteps:242
113 Result (1->win; 0->lose):0, Score:0.0, timesteps:700
114 Result (1->win; 0->lose):0, Score:0.0, timesteps:405
115 Result (1->win; 0->lose):0, Score:0.0, timesteps:397
116 Result (1->win; 0->lose):0, Score:0.0, timesteps:727
117 Result (1->win; 0->lose):0, Score:0.0, timesteps:808
118 Result (1->win; 0->lose):0, Score:0.0, timesteps:183
119 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
120 Result (1->win; 0->lose):0, Score:0.0, timesteps:311
121 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
122 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
123 Result (1->win; 0->lose):0, Score:0.0, timesteps:375
124 Result (1->win; 0->lose):0, Score:0.0, timesteps:382
125 Result (1->win; 0->lose):0, Score:0.0, timesteps:345
126 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
127 Result (1->win; 0->lose):0, Score:0.0, timesteps:243
128 Result (1->win; 0->lose):0, Score:0.0, timesteps:91
129 Result (1->win; 0->lose):0, Score:0.0, timesteps:89
130 Result (1->win; 0->lose):0, Score:0.0, timesteps:665
131 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
132 Result (1->win; 0->lose):0, Score:0.0, timesteps:93
133 Result (1->win; 0->lose):0, Score:0.0, timesteps:87
134 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
