 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
99 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
100 Result (1->win; 0->lose):0, Score:-1.0, timesteps:167
101 Result (1->win; 0->lose):0, Score:1.0, timesteps:71
102 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
103 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
105 Result (1->win; 0->lose):0, Score:1.0, timesteps:331
106 Result (1->win; 0->lose):0, Score:1.0, timesteps:575
107 Result (1->win; 0->lose):0, Score:1.0, timesteps:555
108 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
109 Result (1->win; 0->lose):0, Score:1.0, timesteps:583
110 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
111 Result (1->win; 0->lose):0, Score:1.0, timesteps:587
112 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
113 Result (1->win; 0->lose):0, Score:-1.0, timesteps:93
114 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
115 Result (1->win; 0->lose):0, Score:-1.0, timesteps:163
116 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
117 Result (1->win; 0->lose):0, Score:1.0, timesteps:587
118 Result (1->win; 0->lose):0, Score:1.0, timesteps:583
119 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
120 Result (1->win; 0->lose):0, Score:-1.0, timesteps:163
121 Result (1->win; 0->lose):0, Score:3.0, timesteps:535
122 Result (1->win; 0->lose):0, Score:1.0, timesteps:595
123 Result (1->win; 0->lose):0, Score:3.0, timesteps:499
124 Result (1->win; 0->lose):0, Score:-1.0, timesteps:91
125 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
126 Result (1->win; 0->lose):0, Score:-1.0, timesteps:163
127 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
128 Result (1->win; 0->lose):0, Score:1.0, timesteps:675
129 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
130 Result (1->win; 0->lose):0, Score:1.0, timesteps:659
131 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
132 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
133 Result (1->win; 0->lose):0, Score:1.0, timesteps:551
134 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
135 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
136 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
137 Result (1->win; 0->lose):0, Score:1.0, timesteps:339
138 Result (1->win; 0->lose):0, Score:1.0, timesteps:723
139 Result (1->win; 0->lose):0, Score:1.0, timesteps:747
140 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
141 Result (1->win; 0->lose):0, Score:1.0, timesteps:522
142 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
143 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
144 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
145 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
146 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
147 Result (1->win; 0->lose):0, Score:1.0, timesteps:711
148 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
149 Result (1->win; 0->lose):0, Score:1.0, timesteps:431
150 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
151 Result (1->win; 0->lose):0, Score:1.0, timesteps:655
152 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
153 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
154 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
155 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
156 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
157 Result (1->win; 0->lose):0, Score:1.0, timesteps:443
158 Result (1->win; 0->lose):0, Score:1.0, timesteps:419
159 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
160 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
161 Result (1->win; 0->lose):0, Score:1.0, timesteps:903
162 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
163 Result (1->win; 0->lose):0, Score:1.0, timesteps:579
164 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
165 Result (1->win; 0->lose):0, Score:1.0, timesteps:783
166 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
167 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
168 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
169 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
170 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
171 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
172 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
173 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
174 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
175 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
176 Result (1->win; 0->lose):0, Score:1.0, timesteps:539
177 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
178 Result (1->win; 0->lose):0, Score:1.0, timesteps:427
179 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
180 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
181 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
182 Result (1->win; 0->lose):0, Score:1.0, timesteps:687
183 Result (1->win; 0->lose):0, Score:1.0, timesteps:339
184 Result (1->win; 0->lose):0, Score:1.0, timesteps:103
185 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
186 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
187 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
188 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
189 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
190 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
191 Result (1->win; 0->lose):0, Score:-1.0, timesteps:307
192 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
193 Result (1->win; 0->lose):0, Score:1.0, timesteps:535
194 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
195 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
196 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
197 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
198 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
199 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
200 Result (1->win; 0->lose):0, Score:-1.0, timesteps:167
201 Result (1->win; 0->lose):0, Score:-1.0, timesteps:107
202 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
203 Result (1->win; 0->lose):0, Score:1.0, timesteps:723
204 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
205 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
206 Result (1->win; 0->lose):0, Score:1.0, timesteps:951
207 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
208 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
209 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
210 Result (1->win; 0->lose):0, Score:1.0, timesteps:791
211 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
212 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
213 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
214 Result (1->win; 0->lose):0, Score:1.0, timesteps:571
215 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
216 Result (1->win; 0->lose):0, Score:1.0, timesteps:567
217 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
218 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
219 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
220 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
221 Result (1->win; 0->lose):0, Score:1.0, timesteps:939
222 Result (1->win; 0->lose):0, Score:3.0, timesteps:671
223 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
224 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
225 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
226 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
227 Result (1->win; 0->lose):0, Score:1.0, timesteps:787
228 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
229 Result (1->win; 0->lose):0, Score:3.0, timesteps:463
230 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
231 Result (1->win; 0->lose):0, Score:1.0, timesteps:583
232 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
