 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
100 Result (1->win; 0->lose):0, Score:14.0, timesteps:517
101 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
102 Result (1->win; 0->lose):0, Score:22.0, timesteps:680
103 Result (1->win; 0->lose):0, Score:4.0, timesteps:422
104 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
105 Result (1->win; 0->lose):0, Score:8.0, timesteps:902
106 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
107 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
108 Result (1->win; 0->lose):0, Score:24.0, timesteps:772
109 Result (1->win; 0->lose):0, Score:8.0, timesteps:656
110 Result (1->win; 0->lose):0, Score:32.0, timesteps:533
111 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
112 Result (1->win; 0->lose):0, Score:10.0, timesteps:403
113 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
114 Result (1->win; 0->lose):0, Score:2.0, timesteps:510
115 Result (1->win; 0->lose):0, Score:6.0, timesteps:515
116 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
117 Result (1->win; 0->lose):0, Score:34.0, timesteps:904
118 Result (1->win; 0->lose):0, Score:2.0, timesteps:510
119 Result (1->win; 0->lose):0, Score:4.0, timesteps:422
120 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
121 Result (1->win; 0->lose):0, Score:38.0, timesteps:813
122 Result (1->win; 0->lose):0, Score:4.0, timesteps:410
123 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
124 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
125 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
126 Result (1->win; 0->lose):0, Score:12.0, timesteps:473
127 Result (1->win; 0->lose):0, Score:16.0, timesteps:762
128 Result (1->win; 0->lose):0, Score:4.0, timesteps:422
129 Result (1->win; 0->lose):0, Score:26.0, timesteps:675
130 Result (1->win; 0->lose):0, Score:42.0, timesteps:771
131 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
132 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
133 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
134 Result (1->win; 0->lose):0, Score:46.0, timesteps:1000
135 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
136 Result (1->win; 0->lose):0, Score:14.0, timesteps:614
137 Result (1->win; 0->lose):0, Score:4.0, timesteps:422
138 Result (1->win; 0->lose):0, Score:22.0, timesteps:619
139 Result (1->win; 0->lose):0, Score:30.0, timesteps:735
140 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
141 Result (1->win; 0->lose):0, Score:26.0, timesteps:549
142 Result (1->win; 0->lose):0, Score:34.0, timesteps:760
143 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
144 Result (1->win; 0->lose):0, Score:30.0, timesteps:702
145 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
146 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
147 Result (1->win; 0->lose):0, Score:46.0, timesteps:1000
148 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
149 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
150 Result (1->win; 0->lose):0, Score:8.0, timesteps:597
151 Result (1->win; 0->lose):0, Score:14.0, timesteps:693
152 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
153 Result (1->win; 0->lose):0, Score:16.0, timesteps:584
154 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
155 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
156 Result (1->win; 0->lose):0, Score:30.0, timesteps:607
157 Result (1->win; 0->lose):0, Score:32.0, timesteps:901
158 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
159 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
160 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
161 Result (1->win; 0->lose):0, Score:46.0, timesteps:845
162 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
163 Result (1->win; 0->lose):0, Score:12.0, timesteps:334
164 Result (1->win; 0->lose):0, Score:8.0, timesteps:656
165 Result (1->win; 0->lose):0, Score:20.0, timesteps:812
166 Result (1->win; 0->lose):0, Score:26.0, timesteps:900
167 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
168 Result (1->win; 0->lose):0, Score:34.0, timesteps:723
169 Result (1->win; 0->lose):0, Score:28.0, timesteps:781
170 Result (1->win; 0->lose):0, Score:42.0, timesteps:774
171 Result (1->win; 0->lose):0, Score:8.0, timesteps:637
172 Result (1->win; 0->lose):0, Score:36.0, timesteps:773
173 Result (1->win; 0->lose):0, Score:16.0, timesteps:358
174 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
175 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
176 Result (1->win; 0->lose):0, Score:16.0, timesteps:440
177 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
178 Result (1->win; 0->lose):0, Score:16.0, timesteps:631
179 Result (1->win; 0->lose):0, Score:34.0, timesteps:807
180 Result (1->win; 0->lose):0, Score:6.0, timesteps:584
181 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
182 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
183 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
184 Result (1->win; 0->lose):0, Score:10.0, timesteps:381
185 Result (1->win; 0->lose):0, Score:14.0, timesteps:332
186 Result (1->win; 0->lose):0, Score:4.0, timesteps:628
187 Result (1->win; 0->lose):0, Score:24.0, timesteps:698
188 Result (1->win; 0->lose):0, Score:34.0, timesteps:988
189 Result (1->win; 0->lose):0, Score:14.0, timesteps:344
190 Result (1->win; 0->lose):0, Score:28.0, timesteps:832
191 Result (1->win; 0->lose):0, Score:2.0, timesteps:510
192 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
193 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
194 Result (1->win; 0->lose):0, Score:16.0, timesteps:716
195 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
196 Result (1->win; 0->lose):0, Score:10.0, timesteps:444
197 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
198 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
199 Result (1->win; 0->lose):0, Score:20.0, timesteps:843
200 Result (1->win; 0->lose):0, Score:2.0, timesteps:510
201 Result (1->win; 0->lose):0, Score:6.0, timesteps:906
202 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
203 Result (1->win; 0->lose):0, Score:4.0, timesteps:628
204 Result (1->win; 0->lose):0, Score:38.0, timesteps:811
205 Result (1->win; 0->lose):0, Score:18.0, timesteps:905
206 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
207 Result (1->win; 0->lose):0, Score:18.0, timesteps:678
208 Result (1->win; 0->lose):0, Score:36.0, timesteps:680
209 Result (1->win; 0->lose):0, Score:22.0, timesteps:546
210 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
211 Result (1->win; 0->lose):0, Score:40.0, timesteps:773
212 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
213 Result (1->win; 0->lose):0, Score:22.0, timesteps:515
214 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
215 Result (1->win; 0->lose):0, Score:8.0, timesteps:581
216 Result (1->win; 0->lose):0, Score:18.0, timesteps:937
217 Result (1->win; 0->lose):0, Score:8.0, timesteps:733
218 Result (1->win; 0->lose):0, Score:22.0, timesteps:732
219 Result (1->win; 0->lose):0, Score:34.0, timesteps:512
220 Result (1->win; 0->lose):0, Score:16.0, timesteps:456
221 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
222 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
223 Result (1->win; 0->lose):0, Score:8.0, timesteps:914
224 Result (1->win; 0->lose):0, Score:32.0, timesteps:391
225 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
226 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
227 Result (1->win; 0->lose):0, Score:8.0, timesteps:656
228 Result (1->win; 0->lose):0, Score:18.0, timesteps:625
229 Result (1->win; 0->lose):0, Score:6.0, timesteps:743
230 Result (1->win; 0->lose):0, Score:8.0, timesteps:786
231 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
232 Result (1->win; 0->lose):0, Score:20.0, timesteps:656
233 Result (1->win; 0->lose):0, Score:48.0, timesteps:1000
234 Result (1->win; 0->lose):0, Score:26.0, timesteps:860
235 Result (1->win; 0->lose):0, Score:18.0, timesteps:605
236 Result (1->win; 0->lose):0, Score:40.0, timesteps:731
237 Result (1->win; 0->lose):0, Score:4.0, timesteps:422
238 Result (1->win; 0->lose):0, Score:32.0, timesteps:800
239 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
240 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
241 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
242 Result (1->win; 0->lose):0, Score:4.0, timesteps:410
243 Result (1->win; 0->lose):0, Score:26.0, timesteps:692
244 Result (1->win; 0->lose):0, Score:22.0, timesteps:489
245 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
246 Result (1->win; 0->lose):0, Score:2.0, timesteps:510
247 Result (1->win; 0->lose):0, Score:30.0, timesteps:630
248 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
249 Result (1->win; 0->lose):0, Score:12.0, timesteps:513
250 Result (1->win; 0->lose):0, Score:14.0, timesteps:745
251 Result (1->win; 0->lose):0, Score:16.0, timesteps:661
252 Result (1->win; 0->lose):0, Score:26.0, timesteps:810
253 Result (1->win; 0->lose):0, Score:36.0, timesteps:823
254 Result (1->win; 0->lose):0, Score:16.0, timesteps:898
255 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
256 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
257 Result (1->win; 0->lose):0, Score:44.0, timesteps:752
258 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
259 Result (1->win; 0->lose):0, Score:8.0, timesteps:649
260 Result (1->win; 0->lose):0, Score:12.0, timesteps:350
261 Result (1->win; 0->lose):0, Score:10.0, timesteps:864
262 Result (1->win; 0->lose):0, Score:8.0, timesteps:597
263 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
264 Result (1->win; 0->lose):0, Score:12.0, timesteps:672
265 Result (1->win; 0->lose):0, Score:8.0, timesteps:786
266 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
267 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
268 Result (1->win; 0->lose):0, Score:22.0, timesteps:682
269 Result (1->win; 0->lose):0, Score:34.0, timesteps:966
270 Result (1->win; 0->lose):0, Score:2.0, timesteps:510
271 Result (1->win; 0->lose):0, Score:38.0, timesteps:756
272 Result (1->win; 0->lose):0, Score:6.0, timesteps:346
273 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
274 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
275 Result (1->win; 0->lose):0, Score:18.0, timesteps:406
276 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
277 Result (1->win; 0->lose):0, Score:46.0, timesteps:1000
278 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
279 Result (1->win; 0->lose):0, Score:34.0, timesteps:873
280 Result (1->win; 0->lose):0, Score:8.0, timesteps:628
281 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
282 Result (1->win; 0->lose):0, Score:22.0, timesteps:481
283 Result (1->win; 0->lose):0, Score:2.0, timesteps:510
284 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
285 Result (1->win; 0->lose):0, Score:4.0, timesteps:422
286 Result (1->win; 0->lose):0, Score:16.0, timesteps:838
287 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
288 Result (1->win; 0->lose):0, Score:38.0, timesteps:507
289 Result (1->win; 0->lose):0, Score:4.0, timesteps:299
290 Result (1->win; 0->lose):0, Score:38.0, timesteps:930
291 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
292 Result (1->win; 0->lose):0, Score:14.0, timesteps:503
293 Result (1->win; 0->lose):0, Score:18.0, timesteps:640
294 Result (1->win; 0->lose):0, Score:22.0, timesteps:614
295 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
296 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
297 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
298 Result (1->win; 0->lose):0, Score:10.0, timesteps:290
299 Result (1->win; 0->lose):0, Score:28.0, timesteps:461
300 Result (1->win; 0->lose):0, Score:40.0, timesteps:971
301 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
302 Result (1->win; 0->lose):0, Score:22.0, timesteps:517
303 Result (1->win; 0->lose):0, Score:10.0, timesteps:550
304 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
305 Result (1->win; 0->lose):0, Score:10.0, timesteps:296
306 Result (1->win; 0->lose):0, Score:18.0, timesteps:593
307 Result (1->win; 0->lose):0, Score:2.0, timesteps:510
308 Result (1->win; 0->lose):0, Score:34.0, timesteps:899
309 Result (1->win; 0->lose):0, Score:22.0, timesteps:612
310 Result (1->win; 0->lose):0, Score:12.0, timesteps:433
311 Result (1->win; 0->lose):0, Score:6.0, timesteps:655
312 Result (1->win; 0->lose):0, Score:8.0, timesteps:900
313 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
314 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
315 Result (1->win; 0->lose):0, Score:10.0, timesteps:431
316 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
317 Result (1->win; 0->lose):0, Score:16.0, timesteps:801
318 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
319 Result (1->win; 0->lose):0, Score:16.0, timesteps:534
320 Result (1->win; 0->lose):0, Score:46.0, timesteps:976
321 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
322 Result (1->win; 0->lose):0, Score:8.0, timesteps:396
323 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
324 Result (1->win; 0->lose):0, Score:26.0, timesteps:710
325 Result (1->win; 0->lose):0, Score:42.0, timesteps:1000
326 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
327 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
