 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-2.0, timesteps:85
1 Result (1->win; 0->lose):0, Score:-2.0, timesteps:180
2 Result (1->win; 0->lose):0, Score:-2.0, timesteps:60
3 Result (1->win; 0->lose):0, Score:-2.0, timesteps:23
4 Result (1->win; 0->lose):0, Score:0.0, timesteps:15
5 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
6 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
7 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
8 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
9 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
10 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
11 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
12 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
13 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
14 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
15 Result (1->win; 0->lose):0, Score:-2.0, timesteps:34
16 Result (1->win; 0->lose):0, Score:-2.0, timesteps:16
17 Result (1->win; 0->lose):0, Score:-2.0, timesteps:113
18 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
19 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
20 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
21 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
22 Result (1->win; 0->lose):0, Score:-2.0, timesteps:74
23 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
24 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
25 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
26 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
27 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
28 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
29 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
30 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
31 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
32 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
33 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
34 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
35 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
36 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
37 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
38 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
39 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
40 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
41 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
