 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-2.0, timesteps:24
1 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
2 Result (1->win; 0->lose):0, Score:-2.0, timesteps:188
3 Result (1->win; 0->lose):0, Score:-2.0, timesteps:26
4 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
5 Result (1->win; 0->lose):0, Score:-2.0, timesteps:42
6 Result (1->win; 0->lose):0, Score:-2.0, timesteps:169
7 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
8 Result (1->win; 0->lose):0, Score:-2.0, timesteps:35
9 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
10 Result (1->win; 0->lose):0, Score:-2.0, timesteps:156
11 Result (1->win; 0->lose):0, Score:-2.0, timesteps:36
12 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
13 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
14 Result (1->win; 0->lose):0, Score:-2.0, timesteps:65
15 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
16 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
17 Result (1->win; 0->lose):0, Score:-2.0, timesteps:38
18 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
19 Result (1->win; 0->lose):0, Score:-2.0, timesteps:48
20 Result (1->win; 0->lose):0, Score:-2.0, timesteps:51
21 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
22 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
23 Result (1->win; 0->lose):0, Score:-2.0, timesteps:115
24 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
25 Result (1->win; 0->lose):0, Score:-2.0, timesteps:22
26 Result (1->win; 0->lose):0, Score:-2.0, timesteps:277
27 Result (1->win; 0->lose):0, Score:-2.0, timesteps:59
28 Result (1->win; 0->lose):0, Score:-2.0, timesteps:69
29 Result (1->win; 0->lose):0, Score:-2.0, timesteps:456
30 Result (1->win; 0->lose):0, Score:-2.0, timesteps:90
31 Result (1->win; 0->lose):0, Score:-2.0, timesteps:65
