 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
100 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
101 Result (1->win; 0->lose):0, Score:3.0, timesteps:484
102 Result (1->win; 0->lose):0, Score:4.0, timesteps:455
103 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:3.0, timesteps:243
105 Result (1->win; 0->lose):0, Score:3.0, timesteps:204
106 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:7.0, timesteps:720
108 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
109 Result (1->win; 0->lose):0, Score:3.0, timesteps:176
110 Result (1->win; 0->lose):0, Score:12.0, timesteps:810
111 Result (1->win; 0->lose):0, Score:5.0, timesteps:539
112 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
113 Result (1->win; 0->lose):0, Score:6.0, timesteps:466
114 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
115 Result (1->win; 0->lose):0, Score:5.0, timesteps:398
116 Result (1->win; 0->lose):0, Score:5.0, timesteps:206
117 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
118 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
119 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
120 Result (1->win; 0->lose):0, Score:11.0, timesteps:240
121 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
122 Result (1->win; 0->lose):0, Score:5.0, timesteps:210
123 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
124 Result (1->win; 0->lose):0, Score:10.0, timesteps:484
125 Result (1->win; 0->lose):0, Score:4.0, timesteps:163
126 Result (1->win; 0->lose):0, Score:4.0, timesteps:162
127 Result (1->win; 0->lose):0, Score:5.0, timesteps:887
128 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
129 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
130 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
131 Result (1->win; 0->lose):0, Score:4.0, timesteps:360
132 Result (1->win; 0->lose):0, Score:1.0, timesteps:321
133 Result (1->win; 0->lose):0, Score:5.0, timesteps:169
134 Result (1->win; 0->lose):0, Score:1.0, timesteps:366
135 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
136 Result (1->win; 0->lose):0, Score:5.0, timesteps:192
137 Result (1->win; 0->lose):0, Score:14.0, timesteps:288
138 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
139 Result (1->win; 0->lose):0, Score:1.0, timesteps:314
140 Result (1->win; 0->lose):0, Score:5.0, timesteps:652
141 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
142 Result (1->win; 0->lose):0, Score:3.0, timesteps:297
143 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
144 Result (1->win; 0->lose):0, Score:3.0, timesteps:179
145 Result (1->win; 0->lose):0, Score:5.0, timesteps:956
146 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
147 Result (1->win; 0->lose):0, Score:5.0, timesteps:246
148 Result (1->win; 0->lose):0, Score:3.0, timesteps:282
149 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
150 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
151 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
152 Result (1->win; 0->lose):0, Score:1.0, timesteps:212
153 Result (1->win; 0->lose):0, Score:5.0, timesteps:341
154 Result (1->win; 0->lose):0, Score:5.0, timesteps:305
155 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
156 Result (1->win; 0->lose):0, Score:6.0, timesteps:726
157 Result (1->win; 0->lose):0, Score:3.0, timesteps:180
158 Result (1->win; 0->lose):0, Score:3.0, timesteps:889
159 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
160 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
161 Result (1->win; 0->lose):0, Score:1.0, timesteps:348
162 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
163 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
164 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
165 Result (1->win; 0->lose):0, Score:5.0, timesteps:928
166 Result (1->win; 0->lose):0, Score:12.0, timesteps:231
167 Result (1->win; 0->lose):0, Score:9.0, timesteps:797
168 Result (1->win; 0->lose):0, Score:3.0, timesteps:201
169 Result (1->win; 0->lose):0, Score:7.0, timesteps:263
170 Result (1->win; 0->lose):0, Score:6.0, timesteps:89
171 Result (1->win; 0->lose):0, Score:5.0, timesteps:276
172 Result (1->win; 0->lose):0, Score:5.0, timesteps:269
173 Result (1->win; 0->lose):0, Score:5.0, timesteps:324
174 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
175 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
176 Result (1->win; 0->lose):0, Score:5.0, timesteps:345
177 Result (1->win; 0->lose):0, Score:1.0, timesteps:282
178 Result (1->win; 0->lose):0, Score:3.0, timesteps:338
179 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
180 Result (1->win; 0->lose):0, Score:4.0, timesteps:304
181 Result (1->win; 0->lose):0, Score:5.0, timesteps:186
182 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
183 Result (1->win; 0->lose):0, Score:1.0, timesteps:286
184 Result (1->win; 0->lose):0, Score:5.0, timesteps:348
185 Result (1->win; 0->lose):0, Score:1.0, timesteps:363
186 Result (1->win; 0->lose):0, Score:9.0, timesteps:680
187 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
188 Result (1->win; 0->lose):0, Score:3.0, timesteps:180
189 Result (1->win; 0->lose):0, Score:5.0, timesteps:995
190 Result (1->win; 0->lose):0, Score:5.0, timesteps:480
191 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
192 Result (1->win; 0->lose):0, Score:7.0, timesteps:457
193 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
194 Result (1->win; 0->lose):0, Score:3.0, timesteps:324
195 Result (1->win; 0->lose):0, Score:7.0, timesteps:616
196 Result (1->win; 0->lose):0, Score:9.0, timesteps:966
197 Result (1->win; 0->lose):0, Score:12.0, timesteps:232
198 Result (1->win; 0->lose):0, Score:6.0, timesteps:623
199 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
200 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
201 Result (1->win; 0->lose):0, Score:6.0, timesteps:554
202 Result (1->win; 0->lose):0, Score:5.0, timesteps:242
203 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
204 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
205 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
206 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
207 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
208 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
209 Result (1->win; 0->lose):0, Score:5.0, timesteps:674
210 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
211 Result (1->win; 0->lose):0, Score:6.0, timesteps:366
212 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
213 Result (1->win; 0->lose):0, Score:1.0, timesteps:346
214 Result (1->win; 0->lose):0, Score:6.0, timesteps:510
215 Result (1->win; 0->lose):0, Score:1.0, timesteps:348
216 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
217 Result (1->win; 0->lose):0, Score:6.0, timesteps:272
218 Result (1->win; 0->lose):0, Score:2.0, timesteps:249
219 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
220 Result (1->win; 0->lose):0, Score:1.0, timesteps:359
221 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
222 Result (1->win; 0->lose):0, Score:3.0, timesteps:337
223 Result (1->win; 0->lose):0, Score:7.0, timesteps:705
224 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
225 Result (1->win; 0->lose):0, Score:1.0, timesteps:305
226 Result (1->win; 0->lose):0, Score:7.0, timesteps:602
227 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
228 Result (1->win; 0->lose):0, Score:5.0, timesteps:212
229 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
230 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
231 Result (1->win; 0->lose):0, Score:14.0, timesteps:374
232 Result (1->win; 0->lose):0, Score:8.0, timesteps:580
233 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
234 Result (1->win; 0->lose):0, Score:13.0, timesteps:785
235 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
236 Result (1->win; 0->lose):0, Score:7.0, timesteps:587
237 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
238 Result (1->win; 0->lose):0, Score:5.0, timesteps:272
239 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
240 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
241 Result (1->win; 0->lose):0, Score:3.0, timesteps:396
242 Result (1->win; 0->lose):0, Score:3.0, timesteps:236
243 Result (1->win; 0->lose):0, Score:5.0, timesteps:222
244 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
245 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
246 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
247 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
248 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
249 Result (1->win; 0->lose):0, Score:7.0, timesteps:344
250 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
251 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
252 Result (1->win; 0->lose):0, Score:1.0, timesteps:354
253 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
254 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
255 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
256 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
257 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
258 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
259 Result (1->win; 0->lose):0, Score:1.0, timesteps:297
