 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:1.0, timesteps:27
1 Result (1->win; 0->lose):0, Score:3.0, timesteps:320
2 Result (1->win; 0->lose):0, Score:1.0, timesteps:70
3 Result (1->win; 0->lose):0, Score:14.0, timesteps:278
4 Result (1->win; 0->lose):0, Score:1.0, timesteps:208
5 Result (1->win; 0->lose):0, Score:1.0, timesteps:149
6 Result (1->win; 0->lose):1, Score:19.0, timesteps:1000
7 Result (1->win; 0->lose):0, Score:0.0, timesteps:196
8 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
9 Result (1->win; 0->lose):0, Score:1.0, timesteps:136
10 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
11 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
12 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
13 Result (1->win; 0->lose):0, Score:3.0, timesteps:22
14 Result (1->win; 0->lose):0, Score:4.0, timesteps:127
15 Result (1->win; 0->lose):0, Score:7.0, timesteps:843
16 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
17 Result (1->win; 0->lose):0, Score:3.0, timesteps:17
18 Result (1->win; 0->lose):0, Score:3.0, timesteps:27
19 Result (1->win; 0->lose):0, Score:4.0, timesteps:30
20 Result (1->win; 0->lose):0, Score:5.0, timesteps:223
21 Result (1->win; 0->lose):0, Score:1.0, timesteps:202
22 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:1.0, timesteps:618
24 Result (1->win; 0->lose):0, Score:4.0, timesteps:470
25 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
26 Result (1->win; 0->lose):0, Score:1.0, timesteps:220
27 Result (1->win; 0->lose):0, Score:1.0, timesteps:208
28 Result (1->win; 0->lose):0, Score:7.0, timesteps:542
29 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
30 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:5.0, timesteps:690
32 Result (1->win; 0->lose):0, Score:5.0, timesteps:574
33 Result (1->win; 0->lose):1, Score:11.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:5.0, timesteps:362
35 Result (1->win; 0->lose):0, Score:6.0, timesteps:397
36 Result (1->win; 0->lose):0, Score:1.0, timesteps:214
37 Result (1->win; 0->lose):0, Score:3.0, timesteps:318
38 Result (1->win; 0->lose):0, Score:3.0, timesteps:479
39 Result (1->win; 0->lose):0, Score:3.0, timesteps:256
40 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
41 Result (1->win; 0->lose):0, Score:1.0, timesteps:196
42 Result (1->win; 0->lose):0, Score:5.0, timesteps:737
43 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
44 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
45 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:7.0, timesteps:495
47 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
48 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
49 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
50 Result (1->win; 0->lose):0, Score:6.0, timesteps:441
51 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
52 Result (1->win; 0->lose):0, Score:1.0, timesteps:232
53 Result (1->win; 0->lose):0, Score:5.0, timesteps:566
54 Result (1->win; 0->lose):0, Score:1.0, timesteps:203
55 Result (1->win; 0->lose):0, Score:1.0, timesteps:178
56 Result (1->win; 0->lose):0, Score:0.0, timesteps:217
57 Result (1->win; 0->lose):0, Score:6.0, timesteps:480
58 Result (1->win; 0->lose):0, Score:1.0, timesteps:335
59 Result (1->win; 0->lose):0, Score:0.0, timesteps:178
60 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
61 Result (1->win; 0->lose):0, Score:1.0, timesteps:256
62 Result (1->win; 0->lose):0, Score:3.0, timesteps:366
63 Result (1->win; 0->lose):0, Score:1.0, timesteps:184
64 Result (1->win; 0->lose):0, Score:3.0, timesteps:254
65 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:1.0, timesteps:208
67 Result (1->win; 0->lose):0, Score:1.0, timesteps:119
68 Result (1->win; 0->lose):0, Score:5.0, timesteps:397
69 Result (1->win; 0->lose):0, Score:1.0, timesteps:227
70 Result (1->win; 0->lose):0, Score:5.0, timesteps:674
71 Result (1->win; 0->lose):0, Score:5.0, timesteps:424
72 Result (1->win; 0->lose):0, Score:3.0, timesteps:409
73 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
74 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:1.0, timesteps:250
76 Result (1->win; 0->lose):0, Score:5.0, timesteps:431
77 Result (1->win; 0->lose):0, Score:5.0, timesteps:787
78 Result (1->win; 0->lose):0, Score:5.0, timesteps:501
79 Result (1->win; 0->lose):0, Score:3.0, timesteps:482
80 Result (1->win; 0->lose):0, Score:9.0, timesteps:682
81 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
82 Result (1->win; 0->lose):0, Score:5.0, timesteps:372
83 Result (1->win; 0->lose):0, Score:1.0, timesteps:196
84 Result (1->win; 0->lose):0, Score:1.0, timesteps:202
85 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
86 Result (1->win; 0->lose):0, Score:3.0, timesteps:417
87 Result (1->win; 0->lose):0, Score:3.0, timesteps:371
88 Result (1->win; 0->lose):0, Score:1.0, timesteps:227
89 Result (1->win; 0->lose):0, Score:9.0, timesteps:947
90 Result (1->win; 0->lose):0, Score:5.0, timesteps:287
91 Result (1->win; 0->lose):0, Score:4.0, timesteps:151
92 Result (1->win; 0->lose):0, Score:1.0, timesteps:196
93 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
94 Result (1->win; 0->lose):0, Score:5.0, timesteps:821
95 Result (1->win; 0->lose):0, Score:1.0, timesteps:184
96 Result (1->win; 0->lose):0, Score:1.0, timesteps:154
97 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
98 Result (1->win; 0->lose):0, Score:1.0, timesteps:229
99 Result (1->win; 0->lose):0, Score:9.0, timesteps:782
100 Result (1->win; 0->lose):0, Score:1.0, timesteps:219
101 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
102 Result (1->win; 0->lose):0, Score:1.0, timesteps:347
103 Result (1->win; 0->lose):0, Score:1.0, timesteps:268
104 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
105 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
106 Result (1->win; 0->lose):0, Score:7.0, timesteps:652
107 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
108 Result (1->win; 0->lose):0, Score:1.0, timesteps:220
109 Result (1->win; 0->lose):0, Score:5.0, timesteps:567
110 Result (1->win; 0->lose):0, Score:3.0, timesteps:418
111 Result (1->win; 0->lose):0, Score:1.0, timesteps:208
112 Result (1->win; 0->lose):0, Score:1.0, timesteps:216
113 Result (1->win; 0->lose):0, Score:1.0, timesteps:220
114 Result (1->win; 0->lose):0, Score:4.0, timesteps:879
115 Result (1->win; 0->lose):0, Score:9.0, timesteps:957
116 Result (1->win; 0->lose):0, Score:9.0, timesteps:815
117 Result (1->win; 0->lose):0, Score:1.0, timesteps:160
118 Result (1->win; 0->lose):0, Score:1.0, timesteps:220
119 Result (1->win; 0->lose):0, Score:1.0, timesteps:244
120 Result (1->win; 0->lose):0, Score:6.0, timesteps:193
121 Result (1->win; 0->lose):0, Score:1.0, timesteps:226
122 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
123 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
124 Result (1->win; 0->lose):0, Score:8.0, timesteps:224
125 Result (1->win; 0->lose):0, Score:5.0, timesteps:320
126 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
127 Result (1->win; 0->lose):0, Score:1.0, timesteps:653
128 Result (1->win; 0->lose):0, Score:3.0, timesteps:410
129 Result (1->win; 0->lose):0, Score:5.0, timesteps:446
130 Result (1->win; 0->lose):0, Score:3.0, timesteps:421
131 Result (1->win; 0->lose):0, Score:5.0, timesteps:451
132 Result (1->win; 0->lose):0, Score:1.0, timesteps:196
133 Result (1->win; 0->lose):0, Score:1.0, timesteps:232
134 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
135 Result (1->win; 0->lose):0, Score:5.0, timesteps:254
136 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
137 Result (1->win; 0->lose):0, Score:1.0, timesteps:220
138 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
139 Result (1->win; 0->lose):0, Score:3.0, timesteps:459
140 Result (1->win; 0->lose):0, Score:1.0, timesteps:244
141 Result (1->win; 0->lose):0, Score:1.0, timesteps:214
142 Result (1->win; 0->lose):0, Score:3.0, timesteps:357
143 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
144 Result (1->win; 0->lose):0, Score:1.0, timesteps:915
145 Result (1->win; 0->lose):0, Score:8.0, timesteps:650
146 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
147 Result (1->win; 0->lose):0, Score:1.0, timesteps:208
148 Result (1->win; 0->lose):0, Score:5.0, timesteps:292
149 Result (1->win; 0->lose):0, Score:1.0, timesteps:214
150 Result (1->win; 0->lose):0, Score:5.0, timesteps:357
151 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
152 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
153 Result (1->win; 0->lose):0, Score:1.0, timesteps:220
154 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
155 Result (1->win; 0->lose):0, Score:7.0, timesteps:249
156 Result (1->win; 0->lose):0, Score:8.0, timesteps:738
157 Result (1->win; 0->lose):0, Score:7.0, timesteps:304
158 Result (1->win; 0->lose):0, Score:6.0, timesteps:763
159 Result (1->win; 0->lose):0, Score:5.0, timesteps:407
160 Result (1->win; 0->lose):0, Score:1.0, timesteps:172
161 Result (1->win; 0->lose):0, Score:7.0, timesteps:430
162 Result (1->win; 0->lose):0, Score:1.0, timesteps:196
163 Result (1->win; 0->lose):0, Score:3.0, timesteps:800
164 Result (1->win; 0->lose):0, Score:1.0, timesteps:208
165 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
166 Result (1->win; 0->lose):0, Score:5.0, timesteps:456
167 Result (1->win; 0->lose):0, Score:11.0, timesteps:278
168 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
