 ** Playing game examples/gridphysics/missilecommand.txt, level examples/gridphysics/missilecommand_lvl0.txt **
42 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
44 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
45 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
46 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
47 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
48 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
49 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
50 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
51 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
52 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
53 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
54 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
55 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
56 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
57 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
58 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
59 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
60 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
61 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
62 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
63 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
64 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
65 Result (1->win; 0->lose):1, Score:5.0, timesteps:110
66 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
67 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
68 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
69 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
70 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
71 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
72 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
73 Result (1->win; 0->lose):1, Score:2.0, timesteps:198
74 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
75 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
76 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
77 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
78 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
79 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
80 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
81 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
82 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
83 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
84 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
85 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
86 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
87 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
88 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
89 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
90 Result (1->win; 0->lose):1, Score:5.0, timesteps:110
91 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
92 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
93 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
94 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
95 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
96 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
97 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
98 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
99 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
100 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
101 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
102 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
103 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
104 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
105 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
106 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
107 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
108 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
109 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
110 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
111 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
112 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
113 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
114 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
115 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
116 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
117 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
118 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
119 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
120 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
121 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
122 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
123 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
124 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
125 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
126 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
127 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
128 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
129 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
130 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
131 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
132 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
133 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
134 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
135 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
136 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
137 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
138 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
139 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
140 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
141 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
142 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
143 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
144 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
145 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
146 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
147 Result (1->win; 0->lose):1, Score:2.0, timesteps:198
148 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
149 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
150 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
151 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
152 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
153 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
154 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
155 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
156 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
157 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
158 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
159 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
160 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
161 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
162 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
163 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
164 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
165 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
166 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
167 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
168 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
169 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
170 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
