 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:9.0, timesteps:355
1 Result (1->win; 0->lose):0, Score:49.0, timesteps:881
2 Result (1->win; 0->lose):0, Score:27.0, timesteps:811
3 Result (1->win; 0->lose):0, Score:54.0, timesteps:1000
4 Result (1->win; 0->lose):0, Score:1.0, timesteps:244
5 Result (1->win; 0->lose):0, Score:12.0, timesteps:229
6 Result (1->win; 0->lose):0, Score:7.0, timesteps:193
7 Result (1->win; 0->lose):1, Score:53.0, timesteps:833
8 Result (1->win; 0->lose):0, Score:35.0, timesteps:892
9 Result (1->win; 0->lose):0, Score:4.0, timesteps:244
10 Result (1->win; 0->lose):1, Score:52.0, timesteps:701
11 Result (1->win; 0->lose):0, Score:24.0, timesteps:598
12 Result (1->win; 0->lose):0, Score:22.0, timesteps:265
13 Result (1->win; 0->lose):0, Score:41.0, timesteps:436
14 Result (1->win; 0->lose):0, Score:15.0, timesteps:698
15 Result (1->win; 0->lose):0, Score:15.0, timesteps:291
16 Result (1->win; 0->lose):0, Score:1.0, timesteps:244
17 Result (1->win; 0->lose):0, Score:5.0, timesteps:292
18 Result (1->win; 0->lose):0, Score:11.0, timesteps:486
19 Result (1->win; 0->lose):0, Score:25.0, timesteps:728
20 Result (1->win; 0->lose):0, Score:8.0, timesteps:543
21 Result (1->win; 0->lose):0, Score:2.0, timesteps:244
22 Result (1->win; 0->lose):0, Score:2.0, timesteps:244
23 Result (1->win; 0->lose):0, Score:0.0, timesteps:244
24 Result (1->win; 0->lose):0, Score:36.0, timesteps:504
25 Result (1->win; 0->lose):0, Score:55.0, timesteps:954
26 Result (1->win; 0->lose):0, Score:22.0, timesteps:571
27 Result (1->win; 0->lose):0, Score:0.0, timesteps:244
28 Result (1->win; 0->lose):0, Score:1.0, timesteps:244
29 Result (1->win; 0->lose):1, Score:50.0, timesteps:771
30 Result (1->win; 0->lose):0, Score:53.0, timesteps:942
31 Result (1->win; 0->lose):0, Score:36.0, timesteps:370
32 Result (1->win; 0->lose):0, Score:44.0, timesteps:910
33 Result (1->win; 0->lose):0, Score:29.0, timesteps:804
34 Result (1->win; 0->lose):0, Score:46.0, timesteps:750
35 Result (1->win; 0->lose):0, Score:25.0, timesteps:651
36 Result (1->win; 0->lose):0, Score:12.0, timesteps:367
37 Result (1->win; 0->lose):0, Score:46.0, timesteps:764
38 Result (1->win; 0->lose):0, Score:8.0, timesteps:121
39 Result (1->win; 0->lose):0, Score:2.0, timesteps:244
40 Result (1->win; 0->lose):0, Score:5.0, timesteps:208
41 Result (1->win; 0->lose):0, Score:30.0, timesteps:746
42 Result (1->win; 0->lose):0, Score:43.0, timesteps:778
43 Result (1->win; 0->lose):1, Score:47.0, timesteps:522
44 Result (1->win; 0->lose):0, Score:48.0, timesteps:807
45 Result (1->win; 0->lose):0, Score:40.0, timesteps:478
46 Result (1->win; 0->lose):0, Score:13.0, timesteps:157
47 Result (1->win; 0->lose):0, Score:4.0, timesteps:244
48 Result (1->win; 0->lose):0, Score:3.0, timesteps:244
49 Result (1->win; 0->lose):0, Score:48.0, timesteps:893
50 Result (1->win; 0->lose):1, Score:51.0, timesteps:577
51 Result (1->win; 0->lose):0, Score:2.0, timesteps:196
52 Result (1->win; 0->lose):0, Score:49.0, timesteps:791
53 Result (1->win; 0->lose):1, Score:52.0, timesteps:460
54 Result (1->win; 0->lose):0, Score:1.0, timesteps:244
55 Result (1->win; 0->lose):0, Score:21.0, timesteps:280
56 Result (1->win; 0->lose):0, Score:52.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:44.0, timesteps:883
58 Result (1->win; 0->lose):0, Score:51.0, timesteps:1000
59 Result (1->win; 0->lose):1, Score:55.0, timesteps:736
60 Result (1->win; 0->lose):0, Score:10.0, timesteps:124
61 Result (1->win; 0->lose):1, Score:46.0, timesteps:736
62 Result (1->win; 0->lose):1, Score:44.0, timesteps:854
63 Result (1->win; 0->lose):1, Score:55.0, timesteps:588
64 Result (1->win; 0->lose):0, Score:1.0, timesteps:244
65 Result (1->win; 0->lose):0, Score:40.0, timesteps:912
66 Result (1->win; 0->lose):0, Score:30.0, timesteps:599
67 Result (1->win; 0->lose):0, Score:1.0, timesteps:244
68 Result (1->win; 0->lose):0, Score:39.0, timesteps:746
69 Result (1->win; 0->lose):0, Score:6.0, timesteps:274
70 Result (1->win; 0->lose):0, Score:29.0, timesteps:247
71 Result (1->win; 0->lose):1, Score:48.0, timesteps:673
72 Result (1->win; 0->lose):1, Score:50.0, timesteps:620
73 Result (1->win; 0->lose):0, Score:35.0, timesteps:348
74 Result (1->win; 0->lose):0, Score:7.0, timesteps:244
75 Result (1->win; 0->lose):0, Score:42.0, timesteps:794
76 Result (1->win; 0->lose):1, Score:51.0, timesteps:755
77 Result (1->win; 0->lose):1, Score:56.0, timesteps:811
78 Result (1->win; 0->lose):1, Score:61.0, timesteps:855
79 Result (1->win; 0->lose):1, Score:53.0, timesteps:473
80 Result (1->win; 0->lose):0, Score:18.0, timesteps:319
81 Result (1->win; 0->lose):0, Score:21.0, timesteps:256
82 Result (1->win; 0->lose):1, Score:50.0, timesteps:567
83 Result (1->win; 0->lose):0, Score:35.0, timesteps:390
84 Result (1->win; 0->lose):1, Score:59.0, timesteps:807
85 Result (1->win; 0->lose):0, Score:26.0, timesteps:349
