 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:16.0, timesteps:547
1 Result (1->win; 0->lose):0, Score:42.0, timesteps:1000
2 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
3 Result (1->win; 0->lose):0, Score:14.0, timesteps:293
4 Result (1->win; 0->lose):0, Score:24.0, timesteps:311
5 Result (1->win; 0->lose):0, Score:14.0, timesteps:534
6 Result (1->win; 0->lose):0, Score:6.0, timesteps:391
7 Result (1->win; 0->lose):0, Score:12.0, timesteps:364
8 Result (1->win; 0->lose):0, Score:22.0, timesteps:625
9 Result (1->win; 0->lose):0, Score:6.0, timesteps:247
10 Result (1->win; 0->lose):0, Score:22.0, timesteps:890
11 Result (1->win; 0->lose):0, Score:10.0, timesteps:633
12 Result (1->win; 0->lose):0, Score:60.0, timesteps:581
13 Result (1->win; 0->lose):0, Score:26.0, timesteps:795
14 Result (1->win; 0->lose):0, Score:10.0, timesteps:400
15 Result (1->win; 0->lose):0, Score:4.0, timesteps:503
16 Result (1->win; 0->lose):0, Score:2.0, timesteps:279
17 Result (1->win; 0->lose):0, Score:4.0, timesteps:450
18 Result (1->win; 0->lose):0, Score:24.0, timesteps:674
19 Result (1->win; 0->lose):0, Score:6.0, timesteps:263
20 Result (1->win; 0->lose):0, Score:6.0, timesteps:873
21 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
22 Result (1->win; 0->lose):0, Score:58.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:2.0, timesteps:192
24 Result (1->win; 0->lose):0, Score:44.0, timesteps:804
25 Result (1->win; 0->lose):0, Score:18.0, timesteps:504
26 Result (1->win; 0->lose):0, Score:2.0, timesteps:250
27 Result (1->win; 0->lose):0, Score:2.0, timesteps:192
28 Result (1->win; 0->lose):0, Score:2.0, timesteps:768
29 Result (1->win; 0->lose):0, Score:48.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:14.0, timesteps:305
31 Result (1->win; 0->lose):0, Score:8.0, timesteps:305
32 Result (1->win; 0->lose):0, Score:10.0, timesteps:352
33 Result (1->win; 0->lose):0, Score:16.0, timesteps:421
34 Result (1->win; 0->lose):0, Score:12.0, timesteps:358
35 Result (1->win; 0->lose):0, Score:34.0, timesteps:935
36 Result (1->win; 0->lose):0, Score:30.0, timesteps:324
37 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
39 Result (1->win; 0->lose):0, Score:10.0, timesteps:382
40 Result (1->win; 0->lose):0, Score:10.0, timesteps:971
41 Result (1->win; 0->lose):0, Score:6.0, timesteps:583
42 Result (1->win; 0->lose):0, Score:22.0, timesteps:652
43 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
45 Result (1->win; 0->lose):0, Score:8.0, timesteps:312
46 Result (1->win; 0->lose):0, Score:8.0, timesteps:443
47 Result (1->win; 0->lose):0, Score:4.0, timesteps:313
48 Result (1->win; 0->lose):0, Score:46.0, timesteps:366
49 Result (1->win; 0->lose):0, Score:4.0, timesteps:509
50 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
51 Result (1->win; 0->lose):0, Score:6.0, timesteps:319
52 Result (1->win; 0->lose):0, Score:10.0, timesteps:999
53 Result (1->win; 0->lose):0, Score:24.0, timesteps:636
54 Result (1->win; 0->lose):0, Score:8.0, timesteps:197
55 Result (1->win; 0->lose):0, Score:50.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:18.0, timesteps:478
57 Result (1->win; 0->lose):0, Score:8.0, timesteps:587
58 Result (1->win; 0->lose):0, Score:30.0, timesteps:377
59 Result (1->win; 0->lose):0, Score:38.0, timesteps:527
60 Result (1->win; 0->lose):0, Score:22.0, timesteps:387
61 Result (1->win; 0->lose):0, Score:4.0, timesteps:404
62 Result (1->win; 0->lose):0, Score:14.0, timesteps:363
63 Result (1->win; 0->lose):0, Score:26.0, timesteps:535
64 Result (1->win; 0->lose):0, Score:38.0, timesteps:445
65 Result (1->win; 0->lose):0, Score:14.0, timesteps:558
66 Result (1->win; 0->lose):0, Score:58.0, timesteps:1000
67 Result (1->win; 0->lose):0, Score:16.0, timesteps:386
68 Result (1->win; 0->lose):0, Score:8.0, timesteps:481
69 Result (1->win; 0->lose):0, Score:4.0, timesteps:253
70 Result (1->win; 0->lose):0, Score:10.0, timesteps:350
71 Result (1->win; 0->lose):0, Score:20.0, timesteps:332
72 Result (1->win; 0->lose):0, Score:8.0, timesteps:197
73 Result (1->win; 0->lose):0, Score:8.0, timesteps:464
74 Result (1->win; 0->lose):0, Score:24.0, timesteps:214
75 Result (1->win; 0->lose):0, Score:28.0, timesteps:418
76 Result (1->win; 0->lose):0, Score:8.0, timesteps:347
77 Result (1->win; 0->lose):0, Score:28.0, timesteps:692
78 Result (1->win; 0->lose):0, Score:36.0, timesteps:509
79 Result (1->win; 0->lose):0, Score:6.0, timesteps:534
80 Result (1->win; 0->lose):0, Score:32.0, timesteps:421
