 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-2.0, timesteps:163
1 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
2 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
3 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
4 Result (1->win; 0->lose):0, Score:-2.0, timesteps:25
5 Result (1->win; 0->lose):0, Score:-2.0, timesteps:104
6 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
7 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
8 Result (1->win; 0->lose):0, Score:-2.0, timesteps:58
9 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
10 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
11 Result (1->win; 0->lose):0, Score:-2.0, timesteps:49
12 Result (1->win; 0->lose):0, Score:-2.0, timesteps:97
13 Result (1->win; 0->lose):0, Score:-2.0, timesteps:9
14 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
15 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
16 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
17 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
18 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
19 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
20 Result (1->win; 0->lose):0, Score:-2.0, timesteps:88
21 Result (1->win; 0->lose):0, Score:-2.0, timesteps:82
22 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
23 Result (1->win; 0->lose):0, Score:-2.0, timesteps:75
24 Result (1->win; 0->lose):0, Score:-2.0, timesteps:10
25 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
26 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
27 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
28 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
29 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
30 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
31 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
32 Result (1->win; 0->lose):0, Score:-2.0, timesteps:51
33 Result (1->win; 0->lose):0, Score:-2.0, timesteps:54
34 Result (1->win; 0->lose):0, Score:-2.0, timesteps:26
35 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
36 Result (1->win; 0->lose):0, Score:-2.0, timesteps:27
37 Result (1->win; 0->lose):0, Score:-2.0, timesteps:60
38 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
39 Result (1->win; 0->lose):0, Score:-2.0, timesteps:22
40 Result (1->win; 0->lose):0, Score:-2.0, timesteps:49
41 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
42 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
43 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
44 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
