 ** Playing game examples/gridphysics/portals.txt, level examples/gridphysics/portals_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
2 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
3 Result (1->win; 0->lose):0, Score:0.0, timesteps:540
4 Result (1->win; 0->lose):0, Score:0.0, timesteps:529
5 Result (1->win; 0->lose):0, Score:0.0, timesteps:533
6 Result (1->win; 0->lose):0, Score:0.0, timesteps:125
7 Result (1->win; 0->lose):0, Score:0.0, timesteps:89
8 Result (1->win; 0->lose):0, Score:0.0, timesteps:111
9 Result (1->win; 0->lose):0, Score:0.0, timesteps:52
10 Result (1->win; 0->lose):0, Score:0.0, timesteps:76
11 Result (1->win; 0->lose):0, Score:0.0, timesteps:533
12 Result (1->win; 0->lose):0, Score:0.0, timesteps:15
13 Result (1->win; 0->lose):0, Score:0.0, timesteps:58
14 Result (1->win; 0->lose):0, Score:0.0, timesteps:455
15 Result (1->win; 0->lose):0, Score:0.0, timesteps:222
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:121
17 Result (1->win; 0->lose):0, Score:0.0, timesteps:749
18 Result (1->win; 0->lose):0, Score:0.0, timesteps:747
19 Result (1->win; 0->lose):0, Score:0.0, timesteps:199
20 Result (1->win; 0->lose):0, Score:0.0, timesteps:181
21 Result (1->win; 0->lose):0, Score:0.0, timesteps:849
22 Result (1->win; 0->lose):0, Score:0.0, timesteps:49
23 Result (1->win; 0->lose):0, Score:0.0, timesteps:381
24 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
25 Result (1->win; 0->lose):0, Score:0.0, timesteps:45
26 Result (1->win; 0->lose):0, Score:0.0, timesteps:193
27 Result (1->win; 0->lose):0, Score:0.0, timesteps:941
28 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
29 Result (1->win; 0->lose):0, Score:0.0, timesteps:364
30 Result (1->win; 0->lose):0, Score:0.0, timesteps:327
31 Result (1->win; 0->lose):0, Score:0.0, timesteps:88
32 Result (1->win; 0->lose):0, Score:0.0, timesteps:39
33 Result (1->win; 0->lose):0, Score:0.0, timesteps:90
34 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
35 Result (1->win; 0->lose):0, Score:0.0, timesteps:871
36 Result (1->win; 0->lose):0, Score:0.0, timesteps:533
37 Result (1->win; 0->lose):0, Score:0.0, timesteps:665
38 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
39 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
40 Result (1->win; 0->lose):0, Score:0.0, timesteps:183
41 Result (1->win; 0->lose):0, Score:0.0, timesteps:443
42 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
43 Result (1->win; 0->lose):0, Score:0.0, timesteps:471
44 Result (1->win; 0->lose):0, Score:0.0, timesteps:259
45 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:0.0, timesteps:325
47 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
48 Result (1->win; 0->lose):0, Score:0.0, timesteps:259
49 Result (1->win; 0->lose):0, Score:0.0, timesteps:328
50 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
51 Result (1->win; 0->lose):0, Score:0.0, timesteps:260
52 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:0.0, timesteps:524
54 Result (1->win; 0->lose):0, Score:0.0, timesteps:144
55 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:0.0, timesteps:733
57 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:0.0, timesteps:93
59 Result (1->win; 0->lose):0, Score:0.0, timesteps:873
60 Result (1->win; 0->lose):0, Score:0.0, timesteps:569
61 Result (1->win; 0->lose):0, Score:0.0, timesteps:569
62 Result (1->win; 0->lose):0, Score:0.0, timesteps:219
63 Result (1->win; 0->lose):0, Score:0.0, timesteps:257
64 Result (1->win; 0->lose):0, Score:0.0, timesteps:541
65 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
67 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
69 Result (1->win; 0->lose):0, Score:0.0, timesteps:245
70 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
71 Result (1->win; 0->lose):0, Score:0.0, timesteps:334
72 Result (1->win; 0->lose):0, Score:0.0, timesteps:25
73 Result (1->win; 0->lose):0, Score:0.0, timesteps:249
74 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:0.0, timesteps:152
77 Result (1->win; 0->lose):0, Score:0.0, timesteps:346
78 Result (1->win; 0->lose):0, Score:0.0, timesteps:185
79 Result (1->win; 0->lose):0, Score:0.0, timesteps:465
80 Result (1->win; 0->lose):0, Score:0.0, timesteps:53
81 Result (1->win; 0->lose):0, Score:0.0, timesteps:177
82 Result (1->win; 0->lose):0, Score:0.0, timesteps:517
83 Result (1->win; 0->lose):0, Score:0.0, timesteps:498
84 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
85 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
86 Result (1->win; 0->lose):0, Score:0.0, timesteps:458
87 Result (1->win; 0->lose):0, Score:0.0, timesteps:803
88 Result (1->win; 0->lose):0, Score:0.0, timesteps:25
89 Result (1->win; 0->lose):0, Score:0.0, timesteps:255
90 Result (1->win; 0->lose):0, Score:0.0, timesteps:123
91 Result (1->win; 0->lose):0, Score:0.0, timesteps:89
92 Result (1->win; 0->lose):0, Score:0.0, timesteps:48
93 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
94 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
95 Result (1->win; 0->lose):0, Score:0.0, timesteps:25
96 Result (1->win; 0->lose):0, Score:0.0, timesteps:939
97 Result (1->win; 0->lose):0, Score:0.0, timesteps:279
98 Result (1->win; 0->lose):0, Score:0.0, timesteps:727
99 Result (1->win; 0->lose):0, Score:0.0, timesteps:374
100 Result (1->win; 0->lose):0, Score:0.0, timesteps:87
101 Result (1->win; 0->lose):0, Score:0.0, timesteps:109
102 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
103 Result (1->win; 0->lose):0, Score:0.0, timesteps:217
104 Result (1->win; 0->lose):0, Score:0.0, timesteps:153
105 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
106 Result (1->win; 0->lose):0, Score:0.0, timesteps:247
107 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
108 Result (1->win; 0->lose):0, Score:0.0, timesteps:244
109 Result (1->win; 0->lose):0, Score:0.0, timesteps:313
110 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
111 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
112 Result (1->win; 0->lose):0, Score:0.0, timesteps:526
113 Result (1->win; 0->lose):0, Score:0.0, timesteps:183
114 Result (1->win; 0->lose):0, Score:0.0, timesteps:201
115 Result (1->win; 0->lose):0, Score:0.0, timesteps:691
116 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
117 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
118 Result (1->win; 0->lose):0, Score:0.0, timesteps:313
119 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
120 Result (1->win; 0->lose):0, Score:0.0, timesteps:183
121 Result (1->win; 0->lose):0, Score:0.0, timesteps:667
122 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
123 Result (1->win; 0->lose):0, Score:0.0, timesteps:401
124 Result (1->win; 0->lose):0, Score:0.0, timesteps:575
125 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
126 Result (1->win; 0->lose):0, Score:0.0, timesteps:535
127 Result (1->win; 0->lose):0, Score:0.0, timesteps:628
128 Result (1->win; 0->lose):0, Score:0.0, timesteps:117
129 Result (1->win; 0->lose):0, Score:0.0, timesteps:394
130 Result (1->win; 0->lose):0, Score:0.0, timesteps:55
131 Result (1->win; 0->lose):0, Score:0.0, timesteps:26
132 Result (1->win; 0->lose):0, Score:0.0, timesteps:397
133 Result (1->win; 0->lose):0, Score:0.0, timesteps:193
134 Result (1->win; 0->lose):0, Score:0.0, timesteps:399
135 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
136 Result (1->win; 0->lose):0, Score:0.0, timesteps:134
137 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
138 Result (1->win; 0->lose):0, Score:0.0, timesteps:187
139 Result (1->win; 0->lose):0, Score:0.0, timesteps:186
140 Result (1->win; 0->lose):0, Score:0.0, timesteps:159
141 Result (1->win; 0->lose):0, Score:0.0, timesteps:313
142 Result (1->win; 0->lose):0, Score:0.0, timesteps:193
143 Result (1->win; 0->lose):0, Score:0.0, timesteps:248
144 Result (1->win; 0->lose):0, Score:0.0, timesteps:531
145 Result (1->win; 0->lose):0, Score:0.0, timesteps:677
146 Result (1->win; 0->lose):0, Score:0.0, timesteps:51
147 Result (1->win; 0->lose):0, Score:0.0, timesteps:273
148 Result (1->win; 0->lose):0, Score:0.0, timesteps:106
149 Result (1->win; 0->lose):0, Score:0.0, timesteps:140
150 Result (1->win; 0->lose):0, Score:0.0, timesteps:321
151 Result (1->win; 0->lose):0, Score:0.0, timesteps:476
152 Result (1->win; 0->lose):0, Score:0.0, timesteps:46
153 Result (1->win; 0->lose):0, Score:0.0, timesteps:68
154 Result (1->win; 0->lose):0, Score:0.0, timesteps:151
155 Result (1->win; 0->lose):0, Score:0.0, timesteps:753
156 Result (1->win; 0->lose):0, Score:0.0, timesteps:643
157 Result (1->win; 0->lose):0, Score:0.0, timesteps:727
158 Result (1->win; 0->lose):0, Score:0.0, timesteps:563
159 Result (1->win; 0->lose):0, Score:0.0, timesteps:496
160 Result (1->win; 0->lose):0, Score:0.0, timesteps:693
161 Result (1->win; 0->lose):0, Score:0.0, timesteps:773
162 Result (1->win; 0->lose):0, Score:0.0, timesteps:362
163 Result (1->win; 0->lose):0, Score:0.0, timesteps:214
164 Result (1->win; 0->lose):0, Score:0.0, timesteps:127
165 Result (1->win; 0->lose):0, Score:0.0, timesteps:159
166 Result (1->win; 0->lose):0, Score:0.0, timesteps:331
167 Result (1->win; 0->lose):0, Score:0.0, timesteps:217
168 Result (1->win; 0->lose):0, Score:0.0, timesteps:232
169 Result (1->win; 0->lose):0, Score:0.0, timesteps:183
170 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
171 Result (1->win; 0->lose):0, Score:0.0, timesteps:465
172 Result (1->win; 0->lose):0, Score:0.0, timesteps:192
173 Result (1->win; 0->lose):0, Score:0.0, timesteps:519
174 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
175 Result (1->win; 0->lose):0, Score:0.0, timesteps:257
176 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
177 Result (1->win; 0->lose):0, Score:0.0, timesteps:103
178 Result (1->win; 0->lose):0, Score:0.0, timesteps:181
179 Result (1->win; 0->lose):0, Score:0.0, timesteps:669
180 Result (1->win; 0->lose):0, Score:0.0, timesteps:669
181 Result (1->win; 0->lose):0, Score:0.0, timesteps:465
182 Result (1->win; 0->lose):0, Score:0.0, timesteps:275
183 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
184 Result (1->win; 0->lose):0, Score:0.0, timesteps:131
185 Result (1->win; 0->lose):0, Score:0.0, timesteps:328
