 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
101 Result (1->win; 0->lose):1, Score:51.0, timesteps:689
102 Result (1->win; 0->lose):1, Score:48.0, timesteps:485
103 Result (1->win; 0->lose):1, Score:51.0, timesteps:462
104 Result (1->win; 0->lose):0, Score:48.0, timesteps:472
105 Result (1->win; 0->lose):1, Score:54.0, timesteps:936
106 Result (1->win; 0->lose):0, Score:47.0, timesteps:496
107 Result (1->win; 0->lose):0, Score:39.0, timesteps:625
108 Result (1->win; 0->lose):0, Score:42.0, timesteps:1000
109 Result (1->win; 0->lose):0, Score:16.0, timesteps:238
110 Result (1->win; 0->lose):0, Score:11.0, timesteps:549
111 Result (1->win; 0->lose):0, Score:11.0, timesteps:139
112 Result (1->win; 0->lose):0, Score:8.0, timesteps:714
113 Result (1->win; 0->lose):0, Score:10.0, timesteps:308
114 Result (1->win; 0->lose):1, Score:44.0, timesteps:618
115 Result (1->win; 0->lose):0, Score:24.0, timesteps:828
116 Result (1->win; 0->lose):0, Score:48.0, timesteps:949
117 Result (1->win; 0->lose):0, Score:50.0, timesteps:719
118 Result (1->win; 0->lose):0, Score:22.0, timesteps:860
119 Result (1->win; 0->lose):0, Score:14.0, timesteps:190
120 Result (1->win; 0->lose):0, Score:21.0, timesteps:231
121 Result (1->win; 0->lose):0, Score:15.0, timesteps:235
122 Result (1->win; 0->lose):0, Score:30.0, timesteps:223
123 Result (1->win; 0->lose):0, Score:14.0, timesteps:154
124 Result (1->win; 0->lose):1, Score:57.0, timesteps:566
125 Result (1->win; 0->lose):1, Score:51.0, timesteps:685
126 Result (1->win; 0->lose):0, Score:13.0, timesteps:714
127 Result (1->win; 0->lose):1, Score:50.0, timesteps:736
128 Result (1->win; 0->lose):0, Score:26.0, timesteps:294
129 Result (1->win; 0->lose):1, Score:48.0, timesteps:387
130 Result (1->win; 0->lose):0, Score:41.0, timesteps:433
131 Result (1->win; 0->lose):1, Score:50.0, timesteps:792
132 Result (1->win; 0->lose):0, Score:46.0, timesteps:880
133 Result (1->win; 0->lose):1, Score:50.0, timesteps:618
134 Result (1->win; 0->lose):0, Score:46.0, timesteps:804
135 Result (1->win; 0->lose):0, Score:41.0, timesteps:800
136 Result (1->win; 0->lose):0, Score:47.0, timesteps:675
137 Result (1->win; 0->lose):1, Score:50.0, timesteps:595
138 Result (1->win; 0->lose):0, Score:20.0, timesteps:229
139 Result (1->win; 0->lose):0, Score:26.0, timesteps:199
140 Result (1->win; 0->lose):1, Score:49.0, timesteps:544
141 Result (1->win; 0->lose):1, Score:58.0, timesteps:764
142 Result (1->win; 0->lose):1, Score:51.0, timesteps:616
143 Result (1->win; 0->lose):0, Score:38.0, timesteps:322
144 Result (1->win; 0->lose):1, Score:49.0, timesteps:477
145 Result (1->win; 0->lose):0, Score:22.0, timesteps:232
146 Result (1->win; 0->lose):1, Score:56.0, timesteps:862
147 Result (1->win; 0->lose):0, Score:22.0, timesteps:226
148 Result (1->win; 0->lose):1, Score:52.0, timesteps:673
149 Result (1->win; 0->lose):0, Score:52.0, timesteps:767
150 Result (1->win; 0->lose):0, Score:51.0, timesteps:837
151 Result (1->win; 0->lose):0, Score:51.0, timesteps:805
152 Result (1->win; 0->lose):1, Score:53.0, timesteps:406
153 Result (1->win; 0->lose):0, Score:49.0, timesteps:638
154 Result (1->win; 0->lose):0, Score:16.0, timesteps:199
155 Result (1->win; 0->lose):0, Score:18.0, timesteps:196
156 Result (1->win; 0->lose):1, Score:52.0, timesteps:664
157 Result (1->win; 0->lose):0, Score:17.0, timesteps:238
158 Result (1->win; 0->lose):1, Score:51.0, timesteps:690
159 Result (1->win; 0->lose):0, Score:19.0, timesteps:226
