 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
98 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
99 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
100 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
101 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
102 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
103 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
104 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
105 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
106 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
107 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
108 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
109 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
110 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
111 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
112 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
113 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
114 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
115 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
116 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
117 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
118 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
119 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
120 Result (1->win; 0->lose):0, Score:-1.0, timesteps:783
121 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
122 Result (1->win; 0->lose):0, Score:-1.0, timesteps:687
123 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
124 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
125 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
126 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
127 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
128 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
129 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
130 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
131 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
132 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
133 Result (1->win; 0->lose):0, Score:-1.0, timesteps:783
134 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
135 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
136 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
137 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
138 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
139 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
140 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
141 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
142 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
143 Result (1->win; 0->lose):0, Score:-1.0, timesteps:783
144 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
145 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
146 Result (1->win; 0->lose):0, Score:1.0, timesteps:695
147 Result (1->win; 0->lose):0, Score:1.0, timesteps:355
148 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
149 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
150 Result (1->win; 0->lose):0, Score:3.0, timesteps:767
151 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
152 Result (1->win; 0->lose):0, Score:-1.0, timesteps:783
153 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
154 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
155 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
156 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
157 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
158 Result (1->win; 0->lose):0, Score:-1.0, timesteps:631
159 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
160 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
161 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
162 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
163 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
164 Result (1->win; 0->lose):0, Score:-1.0, timesteps:691
165 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
166 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
167 Result (1->win; 0->lose):0, Score:1.0, timesteps:723
168 Result (1->win; 0->lose):0, Score:-1.0, timesteps:691
169 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
170 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
171 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
172 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
173 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
174 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
175 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
176 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
177 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
178 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
179 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
180 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
181 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
182 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
183 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
184 Result (1->win; 0->lose):0, Score:1.0, timesteps:607
185 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
186 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
187 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
188 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
189 Result (1->win; 0->lose):0, Score:1.0, timesteps:823
190 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
191 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
192 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
193 Result (1->win; 0->lose):0, Score:1.0, timesteps:715
194 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
195 Result (1->win; 0->lose):0, Score:-1.0, timesteps:727
196 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
197 Result (1->win; 0->lose):0, Score:-1.0, timesteps:711
198 Result (1->win; 0->lose):0, Score:-1.0, timesteps:691
199 Result (1->win; 0->lose):0, Score:-1.0, timesteps:687
200 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
201 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
202 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
203 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
204 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
205 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
206 Result (1->win; 0->lose):0, Score:-1.0, timesteps:691
207 Result (1->win; 0->lose):0, Score:-1.0, timesteps:599
208 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
209 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
210 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
211 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
212 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
213 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
214 Result (1->win; 0->lose):0, Score:-1.0, timesteps:691
215 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
216 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
217 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
218 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
219 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
220 Result (1->win; 0->lose):0, Score:1.0, timesteps:343
221 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
