 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:7.0, timesteps:188
1 Result (1->win; 0->lose):0, Score:7.0, timesteps:109
2 Result (1->win; 0->lose):0, Score:3.0, timesteps:124
3 Result (1->win; 0->lose):0, Score:6.0, timesteps:79
4 Result (1->win; 0->lose):0, Score:1.0, timesteps:424
5 Result (1->win; 0->lose):0, Score:2.0, timesteps:21
6 Result (1->win; 0->lose):0, Score:1.0, timesteps:238
7 Result (1->win; 0->lose):0, Score:11.0, timesteps:894
8 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
9 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
10 Result (1->win; 0->lose):0, Score:18.0, timesteps:678
11 Result (1->win; 0->lose):0, Score:7.0, timesteps:441
12 Result (1->win; 0->lose):0, Score:1.0, timesteps:417
13 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
14 Result (1->win; 0->lose):0, Score:12.0, timesteps:975
15 Result (1->win; 0->lose):0, Score:5.0, timesteps:608
16 Result (1->win; 0->lose):1, Score:15.0, timesteps:1000
17 Result (1->win; 0->lose):0, Score:5.0, timesteps:495
18 Result (1->win; 0->lose):0, Score:2.0, timesteps:39
19 Result (1->win; 0->lose):0, Score:1.0, timesteps:71
20 Result (1->win; 0->lose):0, Score:3.0, timesteps:274
21 Result (1->win; 0->lose):0, Score:5.0, timesteps:711
22 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:3.0, timesteps:334
24 Result (1->win; 0->lose):0, Score:2.0, timesteps:17
25 Result (1->win; 0->lose):0, Score:1.0, timesteps:364
26 Result (1->win; 0->lose):0, Score:9.0, timesteps:406
27 Result (1->win; 0->lose):0, Score:5.0, timesteps:461
28 Result (1->win; 0->lose):0, Score:1.0, timesteps:274
29 Result (1->win; 0->lose):0, Score:5.0, timesteps:502
30 Result (1->win; 0->lose):0, Score:1.0, timesteps:251
31 Result (1->win; 0->lose):0, Score:1.0, timesteps:351
32 Result (1->win; 0->lose):0, Score:5.0, timesteps:437
33 Result (1->win; 0->lose):0, Score:1.0, timesteps:237
34 Result (1->win; 0->lose):0, Score:5.0, timesteps:325
35 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
36 Result (1->win; 0->lose):0, Score:3.0, timesteps:373
37 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:1.0, timesteps:346
39 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
40 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
41 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
42 Result (1->win; 0->lose):0, Score:5.0, timesteps:355
43 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:3.0, timesteps:364
45 Result (1->win; 0->lose):0, Score:1.0, timesteps:508
46 Result (1->win; 0->lose):0, Score:3.0, timesteps:319
47 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
48 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
49 Result (1->win; 0->lose):0, Score:1.0, timesteps:286
50 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
51 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
52 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:10.0, timesteps:229
54 Result (1->win; 0->lose):0, Score:1.0, timesteps:160
55 Result (1->win; 0->lose):0, Score:18.0, timesteps:828
56 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
57 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:1.0, timesteps:343
59 Result (1->win; 0->lose):0, Score:1.0, timesteps:262
60 Result (1->win; 0->lose):0, Score:1.0, timesteps:346
61 Result (1->win; 0->lose):0, Score:1.0, timesteps:238
62 Result (1->win; 0->lose):0, Score:1.0, timesteps:469
63 Result (1->win; 0->lose):0, Score:3.0, timesteps:685
64 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
65 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
66 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
67 Result (1->win; 0->lose):0, Score:8.0, timesteps:114
68 Result (1->win; 0->lose):0, Score:5.0, timesteps:391
69 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:3.0, timesteps:327
71 Result (1->win; 0->lose):0, Score:9.0, timesteps:224
72 Result (1->win; 0->lose):0, Score:5.0, timesteps:658
73 Result (1->win; 0->lose):1, Score:11.0, timesteps:1000
74 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:2.0, timesteps:33
76 Result (1->win; 0->lose):0, Score:5.0, timesteps:434
77 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
78 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
79 Result (1->win; 0->lose):0, Score:1.0, timesteps:333
80 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:5.0, timesteps:282
82 Result (1->win; 0->lose):0, Score:5.0, timesteps:464
83 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
84 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
85 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
86 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
87 Result (1->win; 0->lose):0, Score:1.0, timesteps:101
88 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
89 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
90 Result (1->win; 0->lose):0, Score:3.0, timesteps:335
91 Result (1->win; 0->lose):0, Score:3.0, timesteps:371
92 Result (1->win; 0->lose):0, Score:5.0, timesteps:604
93 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
94 Result (1->win; 0->lose):0, Score:5.0, timesteps:842
95 Result (1->win; 0->lose):0, Score:5.0, timesteps:639
96 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
97 Result (1->win; 0->lose):0, Score:1.0, timesteps:298
98 Result (1->win; 0->lose):0, Score:7.0, timesteps:756
99 Result (1->win; 0->lose):0, Score:1.0, timesteps:274
100 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
101 Result (1->win; 0->lose):1, Score:12.0, timesteps:1000
102 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
103 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
104 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
105 Result (1->win; 0->lose):0, Score:1.0, timesteps:547
106 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:1.0, timesteps:393
108 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
109 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
110 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
111 Result (1->win; 0->lose):0, Score:5.0, timesteps:397
112 Result (1->win; 0->lose):0, Score:9.0, timesteps:486
113 Result (1->win; 0->lose):0, Score:7.0, timesteps:511
114 Result (1->win; 0->lose):0, Score:1.0, timesteps:208
115 Result (1->win; 0->lose):0, Score:3.0, timesteps:520
116 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
117 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
118 Result (1->win; 0->lose):0, Score:3.0, timesteps:554
