 ** Playing game examples/gridphysics/portals.txt, level examples/gridphysics/portals_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
2 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
3 Result (1->win; 0->lose):0, Score:0.0, timesteps:153
4 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:0.0, timesteps:519
7 Result (1->win; 0->lose):0, Score:0.0, timesteps:674
8 Result (1->win; 0->lose):0, Score:0.0, timesteps:374
9 Result (1->win; 0->lose):0, Score:0.0, timesteps:311
10 Result (1->win; 0->lose):0, Score:0.0, timesteps:119
11 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
12 Result (1->win; 0->lose):0, Score:0.0, timesteps:52
13 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
14 Result (1->win; 0->lose):0, Score:0.0, timesteps:330
15 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:340
17 Result (1->win; 0->lose):0, Score:0.0, timesteps:471
18 Result (1->win; 0->lose):0, Score:0.0, timesteps:349
19 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
20 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
21 Result (1->win; 0->lose):0, Score:0.0, timesteps:123
22 Result (1->win; 0->lose):0, Score:0.0, timesteps:247
23 Result (1->win; 0->lose):0, Score:0.0, timesteps:374
24 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
25 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
26 Result (1->win; 0->lose):0, Score:0.0, timesteps:56
27 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
28 Result (1->win; 0->lose):0, Score:0.0, timesteps:793
29 Result (1->win; 0->lose):0, Score:0.0, timesteps:585
30 Result (1->win; 0->lose):0, Score:0.0, timesteps:125
31 Result (1->win; 0->lose):0, Score:0.0, timesteps:716
32 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:0.0, timesteps:309
34 Result (1->win; 0->lose):0, Score:0.0, timesteps:533
35 Result (1->win; 0->lose):0, Score:0.0, timesteps:22
36 Result (1->win; 0->lose):0, Score:0.0, timesteps:944
37 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
39 Result (1->win; 0->lose):0, Score:0.0, timesteps:335
40 Result (1->win; 0->lose):0, Score:0.0, timesteps:951
41 Result (1->win; 0->lose):0, Score:0.0, timesteps:334
42 Result (1->win; 0->lose):0, Score:0.0, timesteps:531
43 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:0.0, timesteps:415
45 Result (1->win; 0->lose):0, Score:0.0, timesteps:402
46 Result (1->win; 0->lose):0, Score:0.0, timesteps:283
47 Result (1->win; 0->lose):0, Score:0.0, timesteps:164
48 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
49 Result (1->win; 0->lose):0, Score:0.0, timesteps:41
50 Result (1->win; 0->lose):0, Score:0.0, timesteps:329
51 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
52 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:0.0, timesteps:632
54 Result (1->win; 0->lose):0, Score:0.0, timesteps:912
55 Result (1->win; 0->lose):0, Score:0.0, timesteps:23
56 Result (1->win; 0->lose):0, Score:0.0, timesteps:101
57 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
60 Result (1->win; 0->lose):0, Score:0.0, timesteps:427
61 Result (1->win; 0->lose):0, Score:0.0, timesteps:139
62 Result (1->win; 0->lose):0, Score:0.0, timesteps:122
63 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
64 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
65 Result (1->win; 0->lose):0, Score:0.0, timesteps:371
66 Result (1->win; 0->lose):0, Score:0.0, timesteps:131
67 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:0.0, timesteps:632
69 Result (1->win; 0->lose):0, Score:0.0, timesteps:596
70 Result (1->win; 0->lose):0, Score:0.0, timesteps:119
71 Result (1->win; 0->lose):0, Score:0.0, timesteps:569
72 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
73 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
74 Result (1->win; 0->lose):0, Score:0.0, timesteps:92
75 Result (1->win; 0->lose):0, Score:0.0, timesteps:104
76 Result (1->win; 0->lose):0, Score:0.0, timesteps:615
77 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:0.0, timesteps:502
79 Result (1->win; 0->lose):0, Score:0.0, timesteps:51
80 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
82 Result (1->win; 0->lose):0, Score:0.0, timesteps:191
83 Result (1->win; 0->lose):0, Score:0.0, timesteps:189
84 Result (1->win; 0->lose):0, Score:0.0, timesteps:123
85 Result (1->win; 0->lose):0, Score:0.0, timesteps:327
86 Result (1->win; 0->lose):0, Score:0.0, timesteps:465
87 Result (1->win; 0->lose):0, Score:0.0, timesteps:596
88 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
89 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
90 Result (1->win; 0->lose):0, Score:0.0, timesteps:131
91 Result (1->win; 0->lose):0, Score:0.0, timesteps:216
92 Result (1->win; 0->lose):0, Score:0.0, timesteps:132
93 Result (1->win; 0->lose):0, Score:0.0, timesteps:282
94 Result (1->win; 0->lose):0, Score:0.0, timesteps:151
95 Result (1->win; 0->lose):0, Score:0.0, timesteps:149
96 Result (1->win; 0->lose):0, Score:0.0, timesteps:882
97 Result (1->win; 0->lose):0, Score:0.0, timesteps:311
98 Result (1->win; 0->lose):0, Score:0.0, timesteps:196
99 Result (1->win; 0->lose):0, Score:0.0, timesteps:872
100 Result (1->win; 0->lose):0, Score:0.0, timesteps:279
101 Result (1->win; 0->lose):0, Score:0.0, timesteps:669
102 Result (1->win; 0->lose):0, Score:0.0, timesteps:275
103 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:0.0, timesteps:248
105 Result (1->win; 0->lose):0, Score:0.0, timesteps:247
106 Result (1->win; 0->lose):0, Score:0.0, timesteps:599
107 Result (1->win; 0->lose):0, Score:0.0, timesteps:625
108 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
109 Result (1->win; 0->lose):0, Score:0.0, timesteps:65
110 Result (1->win; 0->lose):0, Score:0.0, timesteps:189
111 Result (1->win; 0->lose):0, Score:0.0, timesteps:168
112 Result (1->win; 0->lose):0, Score:0.0, timesteps:967
113 Result (1->win; 0->lose):0, Score:0.0, timesteps:319
114 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
115 Result (1->win; 0->lose):0, Score:0.0, timesteps:185
116 Result (1->win; 0->lose):0, Score:0.0, timesteps:68
117 Result (1->win; 0->lose):0, Score:0.0, timesteps:696
118 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
119 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
120 Result (1->win; 0->lose):0, Score:0.0, timesteps:517
121 Result (1->win; 0->lose):0, Score:0.0, timesteps:407
122 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
123 Result (1->win; 0->lose):0, Score:0.0, timesteps:202
124 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
125 Result (1->win; 0->lose):0, Score:0.0, timesteps:198
126 Result (1->win; 0->lose):0, Score:0.0, timesteps:75
127 Result (1->win; 0->lose):0, Score:0.0, timesteps:201
128 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
129 Result (1->win; 0->lose):0, Score:0.0, timesteps:192
130 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
131 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
132 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
133 Result (1->win; 0->lose):0, Score:0.0, timesteps:24
134 Result (1->win; 0->lose):0, Score:0.0, timesteps:200
135 Result (1->win; 0->lose):0, Score:0.0, timesteps:56
136 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
137 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
138 Result (1->win; 0->lose):0, Score:0.0, timesteps:599
139 Result (1->win; 0->lose):0, Score:0.0, timesteps:119
140 Result (1->win; 0->lose):0, Score:0.0, timesteps:221
141 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
142 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
143 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
144 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
145 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
146 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
147 Result (1->win; 0->lose):0, Score:0.0, timesteps:156
148 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
149 Result (1->win; 0->lose):0, Score:0.0, timesteps:317
150 Result (1->win; 0->lose):0, Score:0.0, timesteps:247
151 Result (1->win; 0->lose):0, Score:0.0, timesteps:81
152 Result (1->win; 0->lose):0, Score:0.0, timesteps:71
153 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
154 Result (1->win; 0->lose):0, Score:0.0, timesteps:601
155 Result (1->win; 0->lose):0, Score:0.0, timesteps:661
156 Result (1->win; 0->lose):0, Score:0.0, timesteps:192
157 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
158 Result (1->win; 0->lose):0, Score:0.0, timesteps:120
159 Result (1->win; 0->lose):0, Score:0.0, timesteps:517
160 Result (1->win; 0->lose):0, Score:0.0, timesteps:22
161 Result (1->win; 0->lose):0, Score:0.0, timesteps:67
162 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
163 Result (1->win; 0->lose):0, Score:0.0, timesteps:21
164 Result (1->win; 0->lose):0, Score:0.0, timesteps:44
165 Result (1->win; 0->lose):0, Score:0.0, timesteps:503
166 Result (1->win; 0->lose):0, Score:0.0, timesteps:91
167 Result (1->win; 0->lose):0, Score:0.0, timesteps:302
168 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
169 Result (1->win; 0->lose):0, Score:0.0, timesteps:119
170 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
171 Result (1->win; 0->lose):0, Score:0.0, timesteps:41
172 Result (1->win; 0->lose):0, Score:0.0, timesteps:502
173 Result (1->win; 0->lose):0, Score:0.0, timesteps:293
174 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
175 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
176 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
177 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
178 Result (1->win; 0->lose):0, Score:0.0, timesteps:815
179 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
180 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
181 Result (1->win; 0->lose):0, Score:0.0, timesteps:295
182 Result (1->win; 0->lose):0, Score:0.0, timesteps:345
183 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
184 Result (1->win; 0->lose):0, Score:0.0, timesteps:312
