 ** Playing game examples/gridphysics/portals.txt, level examples/gridphysics/portals_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:0.0, timesteps:61
1 Result (1->win; 0->lose):0, Score:0.0, timesteps:66
2 Result (1->win; 0->lose):0, Score:0.0, timesteps:633
3 Result (1->win; 0->lose):0, Score:0.0, timesteps:255
4 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:0.0, timesteps:396
7 Result (1->win; 0->lose):0, Score:0.0, timesteps:53
8 Result (1->win; 0->lose):0, Score:0.0, timesteps:243
9 Result (1->win; 0->lose):0, Score:0.0, timesteps:391
10 Result (1->win; 0->lose):0, Score:0.0, timesteps:254
11 Result (1->win; 0->lose):0, Score:0.0, timesteps:447
12 Result (1->win; 0->lose):0, Score:0.0, timesteps:465
13 Result (1->win; 0->lose):0, Score:0.0, timesteps:193
14 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
15 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
17 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
18 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
19 Result (1->win; 0->lose):0, Score:0.0, timesteps:379
20 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
21 Result (1->win; 0->lose):0, Score:0.0, timesteps:659
22 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:0.0, timesteps:454
24 Result (1->win; 0->lose):0, Score:0.0, timesteps:106
25 Result (1->win; 0->lose):0, Score:0.0, timesteps:214
26 Result (1->win; 0->lose):0, Score:0.0, timesteps:387
27 Result (1->win; 0->lose):0, Score:0.0, timesteps:47
28 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
29 Result (1->win; 0->lose):0, Score:0.0, timesteps:25
30 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:0.0, timesteps:620
32 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:0.0, timesteps:669
35 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
36 Result (1->win; 0->lose):0, Score:0.0, timesteps:736
37 Result (1->win; 0->lose):0, Score:0.0, timesteps:125
38 Result (1->win; 0->lose):0, Score:0.0, timesteps:407
39 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
40 Result (1->win; 0->lose):0, Score:0.0, timesteps:275
41 Result (1->win; 0->lose):0, Score:0.0, timesteps:87
42 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
43 Result (1->win; 0->lose):0, Score:0.0, timesteps:573
44 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
45 Result (1->win; 0->lose):0, Score:0.0, timesteps:123
46 Result (1->win; 0->lose):0, Score:0.0, timesteps:361
47 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
48 Result (1->win; 0->lose):0, Score:0.0, timesteps:426
49 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
50 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
51 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
52 Result (1->win; 0->lose):0, Score:0.0, timesteps:125
53 Result (1->win; 0->lose):0, Score:0.0, timesteps:119
54 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
55 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:0.0, timesteps:191
57 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:0.0, timesteps:87
59 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
60 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
61 Result (1->win; 0->lose):0, Score:0.0, timesteps:73
62 Result (1->win; 0->lose):0, Score:0.0, timesteps:121
63 Result (1->win; 0->lose):0, Score:0.0, timesteps:292
64 Result (1->win; 0->lose):0, Score:0.0, timesteps:503
65 Result (1->win; 0->lose):0, Score:0.0, timesteps:359
66 Result (1->win; 0->lose):0, Score:0.0, timesteps:126
67 Result (1->win; 0->lose):0, Score:0.0, timesteps:231
68 Result (1->win; 0->lose):0, Score:0.0, timesteps:803
69 Result (1->win; 0->lose):0, Score:0.0, timesteps:57
70 Result (1->win; 0->lose):0, Score:0.0, timesteps:25
71 Result (1->win; 0->lose):0, Score:0.0, timesteps:919
72 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
73 Result (1->win; 0->lose):0, Score:0.0, timesteps:917
74 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:0.0, timesteps:62
77 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:0.0, timesteps:193
79 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
