 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
100 Result (1->win; 0->lose):0, Score:8.0, timesteps:286
101 Result (1->win; 0->lose):0, Score:14.0, timesteps:746
102 Result (1->win; 0->lose):0, Score:26.0, timesteps:775
103 Result (1->win; 0->lose):0, Score:10.0, timesteps:840
104 Result (1->win; 0->lose):0, Score:32.0, timesteps:678
105 Result (1->win; 0->lose):0, Score:18.0, timesteps:867
106 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:24.0, timesteps:833
108 Result (1->win; 0->lose):0, Score:30.0, timesteps:955
109 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
110 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
111 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
112 Result (1->win; 0->lose):0, Score:10.0, timesteps:594
113 Result (1->win; 0->lose):0, Score:36.0, timesteps:967
114 Result (1->win; 0->lose):0, Score:8.0, timesteps:695
115 Result (1->win; 0->lose):0, Score:10.0, timesteps:695
116 Result (1->win; 0->lose):0, Score:16.0, timesteps:853
117 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
118 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
119 Result (1->win; 0->lose):0, Score:8.0, timesteps:407
120 Result (1->win; 0->lose):0, Score:20.0, timesteps:628
121 Result (1->win; 0->lose):0, Score:28.0, timesteps:574
122 Result (1->win; 0->lose):0, Score:24.0, timesteps:658
123 Result (1->win; 0->lose):0, Score:24.0, timesteps:673
124 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
125 Result (1->win; 0->lose):0, Score:12.0, timesteps:500
126 Result (1->win; 0->lose):0, Score:44.0, timesteps:627
127 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
128 Result (1->win; 0->lose):0, Score:20.0, timesteps:776
129 Result (1->win; 0->lose):0, Score:18.0, timesteps:743
130 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
131 Result (1->win; 0->lose):0, Score:10.0, timesteps:755
132 Result (1->win; 0->lose):0, Score:20.0, timesteps:982
133 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
134 Result (1->win; 0->lose):0, Score:8.0, timesteps:475
135 Result (1->win; 0->lose):0, Score:20.0, timesteps:587
136 Result (1->win; 0->lose):0, Score:8.0, timesteps:407
137 Result (1->win; 0->lose):0, Score:10.0, timesteps:433
138 Result (1->win; 0->lose):0, Score:30.0, timesteps:729
139 Result (1->win; 0->lose):0, Score:10.0, timesteps:433
140 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
141 Result (1->win; 0->lose):0, Score:42.0, timesteps:1000
142 Result (1->win; 0->lose):0, Score:38.0, timesteps:528
143 Result (1->win; 0->lose):0, Score:8.0, timesteps:498
144 Result (1->win; 0->lose):0, Score:18.0, timesteps:969
145 Result (1->win; 0->lose):0, Score:34.0, timesteps:608
146 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
147 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
148 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
149 Result (1->win; 0->lose):0, Score:10.0, timesteps:433
150 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
151 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
152 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
153 Result (1->win; 0->lose):0, Score:18.0, timesteps:595
154 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
155 Result (1->win; 0->lose):0, Score:16.0, timesteps:655
156 Result (1->win; 0->lose):0, Score:12.0, timesteps:750
157 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
158 Result (1->win; 0->lose):0, Score:10.0, timesteps:695
159 Result (1->win; 0->lose):0, Score:18.0, timesteps:858
160 Result (1->win; 0->lose):0, Score:24.0, timesteps:621
161 Result (1->win; 0->lose):0, Score:30.0, timesteps:814
162 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
163 Result (1->win; 0->lose):0, Score:18.0, timesteps:502
164 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
165 Result (1->win; 0->lose):0, Score:8.0, timesteps:498
166 Result (1->win; 0->lose):0, Score:18.0, timesteps:508
167 Result (1->win; 0->lose):0, Score:6.0, timesteps:695
168 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
169 Result (1->win; 0->lose):0, Score:24.0, timesteps:652
170 Result (1->win; 0->lose):0, Score:10.0, timesteps:290
171 Result (1->win; 0->lose):0, Score:20.0, timesteps:527
172 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
173 Result (1->win; 0->lose):0, Score:16.0, timesteps:887
174 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
175 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
176 Result (1->win; 0->lose):0, Score:22.0, timesteps:989
177 Result (1->win; 0->lose):0, Score:8.0, timesteps:556
178 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
179 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
180 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
181 Result (1->win; 0->lose):0, Score:30.0, timesteps:669
182 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
183 Result (1->win; 0->lose):0, Score:22.0, timesteps:556
184 Result (1->win; 0->lose):0, Score:38.0, timesteps:696
185 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
186 Result (1->win; 0->lose):0, Score:10.0, timesteps:529
187 Result (1->win; 0->lose):0, Score:26.0, timesteps:798
188 Result (1->win; 0->lose):0, Score:16.0, timesteps:738
189 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
190 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
191 Result (1->win; 0->lose):0, Score:20.0, timesteps:922
192 Result (1->win; 0->lose):0, Score:48.0, timesteps:1000
193 Result (1->win; 0->lose):0, Score:8.0, timesteps:695
194 Result (1->win; 0->lose):0, Score:50.0, timesteps:1000
195 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
196 Result (1->win; 0->lose):0, Score:34.0, timesteps:738
197 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
198 Result (1->win; 0->lose):0, Score:24.0, timesteps:705
199 Result (1->win; 0->lose):0, Score:46.0, timesteps:1000
200 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
201 Result (1->win; 0->lose):0, Score:10.0, timesteps:505
202 Result (1->win; 0->lose):0, Score:18.0, timesteps:526
203 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
204 Result (1->win; 0->lose):0, Score:16.0, timesteps:854
205 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
206 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
207 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
208 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
209 Result (1->win; 0->lose):0, Score:12.0, timesteps:533
210 Result (1->win; 0->lose):0, Score:24.0, timesteps:972
211 Result (1->win; 0->lose):0, Score:14.0, timesteps:602
212 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
213 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
214 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
215 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
216 Result (1->win; 0->lose):0, Score:24.0, timesteps:683
217 Result (1->win; 0->lose):0, Score:22.0, timesteps:779
218 Result (1->win; 0->lose):0, Score:16.0, timesteps:796
219 Result (1->win; 0->lose):0, Score:24.0, timesteps:954
220 Result (1->win; 0->lose):0, Score:18.0, timesteps:600
221 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
222 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
223 Result (1->win; 0->lose):0, Score:22.0, timesteps:959
224 Result (1->win; 0->lose):0, Score:36.0, timesteps:918
225 Result (1->win; 0->lose):0, Score:18.0, timesteps:770
226 Result (1->win; 0->lose):0, Score:20.0, timesteps:574
227 Result (1->win; 0->lose):0, Score:26.0, timesteps:663
228 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
229 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
230 Result (1->win; 0->lose):0, Score:18.0, timesteps:742
231 Result (1->win; 0->lose):0, Score:10.0, timesteps:646
232 Result (1->win; 0->lose):0, Score:26.0, timesteps:851
233 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
234 Result (1->win; 0->lose):0, Score:28.0, timesteps:535
235 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
236 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
237 Result (1->win; 0->lose):0, Score:36.0, timesteps:979
238 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
239 Result (1->win; 0->lose):0, Score:4.0, timesteps:644
240 Result (1->win; 0->lose):0, Score:38.0, timesteps:662
241 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
242 Result (1->win; 0->lose):0, Score:8.0, timesteps:695
243 Result (1->win; 0->lose):0, Score:50.0, timesteps:1000
244 Result (1->win; 0->lose):0, Score:20.0, timesteps:713
245 Result (1->win; 0->lose):0, Score:22.0, timesteps:747
246 Result (1->win; 0->lose):0, Score:8.0, timesteps:407
247 Result (1->win; 0->lose):0, Score:24.0, timesteps:606
248 Result (1->win; 0->lose):0, Score:24.0, timesteps:409
249 Result (1->win; 0->lose):0, Score:20.0, timesteps:758
250 Result (1->win; 0->lose):0, Score:10.0, timesteps:762
251 Result (1->win; 0->lose):0, Score:16.0, timesteps:598
252 Result (1->win; 0->lose):0, Score:8.0, timesteps:907
253 Result (1->win; 0->lose):0, Score:8.0, timesteps:727
254 Result (1->win; 0->lose):0, Score:12.0, timesteps:812
255 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
256 Result (1->win; 0->lose):0, Score:10.0, timesteps:695
257 Result (1->win; 0->lose):0, Score:28.0, timesteps:870
258 Result (1->win; 0->lose):0, Score:10.0, timesteps:851
259 Result (1->win; 0->lose):0, Score:0.0, timesteps:793
260 Result (1->win; 0->lose):0, Score:10.0, timesteps:433
261 Result (1->win; 0->lose):0, Score:28.0, timesteps:752
262 Result (1->win; 0->lose):0, Score:40.0, timesteps:908
263 Result (1->win; 0->lose):0, Score:8.0, timesteps:546
264 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
265 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
266 Result (1->win; 0->lose):0, Score:42.0, timesteps:1000
267 Result (1->win; 0->lose):0, Score:18.0, timesteps:616
268 Result (1->win; 0->lose):0, Score:26.0, timesteps:837
269 Result (1->win; 0->lose):0, Score:22.0, timesteps:809
270 Result (1->win; 0->lose):0, Score:20.0, timesteps:568
271 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
272 Result (1->win; 0->lose):0, Score:20.0, timesteps:533
273 Result (1->win; 0->lose):0, Score:8.0, timesteps:532
274 Result (1->win; 0->lose):0, Score:8.0, timesteps:754
275 Result (1->win; 0->lose):0, Score:16.0, timesteps:792
276 Result (1->win; 0->lose):0, Score:8.0, timesteps:585
277 Result (1->win; 0->lose):0, Score:40.0, timesteps:677
278 Result (1->win; 0->lose):0, Score:32.0, timesteps:616
279 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
280 Result (1->win; 0->lose):0, Score:6.0, timesteps:487
281 Result (1->win; 0->lose):0, Score:28.0, timesteps:658
282 Result (1->win; 0->lose):0, Score:20.0, timesteps:499
283 Result (1->win; 0->lose):0, Score:30.0, timesteps:668
284 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
285 Result (1->win; 0->lose):0, Score:28.0, timesteps:767
286 Result (1->win; 0->lose):0, Score:22.0, timesteps:619
287 Result (1->win; 0->lose):0, Score:18.0, timesteps:610
288 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
289 Result (1->win; 0->lose):0, Score:26.0, timesteps:661
290 Result (1->win; 0->lose):0, Score:32.0, timesteps:953
291 Result (1->win; 0->lose):0, Score:12.0, timesteps:664
292 Result (1->win; 0->lose):0, Score:10.0, timesteps:673
293 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
294 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
295 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
296 Result (1->win; 0->lose):0, Score:6.0, timesteps:398
297 Result (1->win; 0->lose):0, Score:16.0, timesteps:987
298 Result (1->win; 0->lose):0, Score:28.0, timesteps:857
299 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
300 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
301 Result (1->win; 0->lose):0, Score:6.0, timesteps:509
302 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
303 Result (1->win; 0->lose):0, Score:22.0, timesteps:547
304 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
305 Result (1->win; 0->lose):0, Score:22.0, timesteps:697
306 Result (1->win; 0->lose):0, Score:28.0, timesteps:970
307 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
308 Result (1->win; 0->lose):0, Score:16.0, timesteps:642
309 Result (1->win; 0->lose):0, Score:14.0, timesteps:746
310 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
311 Result (1->win; 0->lose):0, Score:16.0, timesteps:617
312 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
313 Result (1->win; 0->lose):0, Score:20.0, timesteps:552
314 Result (1->win; 0->lose):0, Score:32.0, timesteps:838
315 Result (1->win; 0->lose):0, Score:20.0, timesteps:471
316 Result (1->win; 0->lose):0, Score:18.0, timesteps:762
317 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
318 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
319 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
320 Result (1->win; 0->lose):0, Score:30.0, timesteps:532
321 Result (1->win; 0->lose):0, Score:26.0, timesteps:1000
322 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
323 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
324 Result (1->win; 0->lose):0, Score:8.0, timesteps:610
325 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
326 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
327 Result (1->win; 0->lose):0, Score:38.0, timesteps:1000
328 Result (1->win; 0->lose):0, Score:36.0, timesteps:1000
329 Result (1->win; 0->lose):0, Score:22.0, timesteps:896
330 Result (1->win; 0->lose):0, Score:10.0, timesteps:667
331 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
332 Result (1->win; 0->lose):0, Score:18.0, timesteps:870
333 Result (1->win; 0->lose):0, Score:46.0, timesteps:1000
334 Result (1->win; 0->lose):0, Score:28.0, timesteps:961
335 Result (1->win; 0->lose):0, Score:30.0, timesteps:665
336 Result (1->win; 0->lose):0, Score:22.0, timesteps:818
337 Result (1->win; 0->lose):0, Score:16.0, timesteps:851
338 Result (1->win; 0->lose):0, Score:10.0, timesteps:673
