 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
101 Result (1->win; 0->lose):0, Score:5.0, timesteps:479
102 Result (1->win; 0->lose):0, Score:9.0, timesteps:323
103 Result (1->win; 0->lose):0, Score:9.0, timesteps:598
104 Result (1->win; 0->lose):0, Score:13.0, timesteps:726
105 Result (1->win; 0->lose):0, Score:5.0, timesteps:310
106 Result (1->win; 0->lose):0, Score:9.0, timesteps:959
107 Result (1->win; 0->lose):0, Score:3.0, timesteps:237
108 Result (1->win; 0->lose):0, Score:4.0, timesteps:446
109 Result (1->win; 0->lose):0, Score:8.0, timesteps:402
110 Result (1->win; 0->lose):0, Score:6.0, timesteps:482
111 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
112 Result (1->win; 0->lose):1, Score:21.0, timesteps:1000
113 Result (1->win; 0->lose):0, Score:3.0, timesteps:978
114 Result (1->win; 0->lose):0, Score:1.0, timesteps:236
115 Result (1->win; 0->lose):1, Score:14.0, timesteps:1000
116 Result (1->win; 0->lose):0, Score:3.0, timesteps:236
117 Result (1->win; 0->lose):0, Score:5.0, timesteps:191
118 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
119 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
120 Result (1->win; 0->lose):0, Score:1.0, timesteps:356
121 Result (1->win; 0->lose):0, Score:7.0, timesteps:337
122 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
123 Result (1->win; 0->lose):0, Score:16.0, timesteps:642
124 Result (1->win; 0->lose):0, Score:20.0, timesteps:605
125 Result (1->win; 0->lose):0, Score:11.0, timesteps:390
126 Result (1->win; 0->lose):0, Score:5.0, timesteps:252
127 Result (1->win; 0->lose):0, Score:5.0, timesteps:449
128 Result (1->win; 0->lose):0, Score:3.0, timesteps:238
129 Result (1->win; 0->lose):0, Score:5.0, timesteps:449
130 Result (1->win; 0->lose):0, Score:14.0, timesteps:937
131 Result (1->win; 0->lose):0, Score:1.0, timesteps:248
132 Result (1->win; 0->lose):0, Score:1.0, timesteps:224
133 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
134 Result (1->win; 0->lose):0, Score:5.0, timesteps:285
135 Result (1->win; 0->lose):0, Score:5.0, timesteps:323
136 Result (1->win; 0->lose):0, Score:3.0, timesteps:255
137 Result (1->win; 0->lose):0, Score:1.0, timesteps:209
138 Result (1->win; 0->lose):0, Score:5.0, timesteps:237
139 Result (1->win; 0->lose):0, Score:5.0, timesteps:861
140 Result (1->win; 0->lose):0, Score:3.0, timesteps:248
141 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
142 Result (1->win; 0->lose):0, Score:1.0, timesteps:309
143 Result (1->win; 0->lose):0, Score:3.0, timesteps:154
144 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
145 Result (1->win; 0->lose):0, Score:8.0, timesteps:379
146 Result (1->win; 0->lose):0, Score:19.0, timesteps:825
147 Result (1->win; 0->lose):0, Score:4.0, timesteps:503
148 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
149 Result (1->win; 0->lose):0, Score:11.0, timesteps:452
150 Result (1->win; 0->lose):0, Score:12.0, timesteps:459
151 Result (1->win; 0->lose):0, Score:5.0, timesteps:308
152 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
153 Result (1->win; 0->lose):0, Score:8.0, timesteps:363
154 Result (1->win; 0->lose):1, Score:12.0, timesteps:1000
155 Result (1->win; 0->lose):0, Score:3.0, timesteps:383
156 Result (1->win; 0->lose):0, Score:2.0, timesteps:234
157 Result (1->win; 0->lose):0, Score:3.0, timesteps:523
158 Result (1->win; 0->lose):0, Score:14.0, timesteps:801
159 Result (1->win; 0->lose):0, Score:14.0, timesteps:480
160 Result (1->win; 0->lose):0, Score:5.0, timesteps:179
161 Result (1->win; 0->lose):0, Score:3.0, timesteps:224
162 Result (1->win; 0->lose):0, Score:1.0, timesteps:347
163 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
164 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
165 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
166 Result (1->win; 0->lose):0, Score:5.0, timesteps:673
167 Result (1->win; 0->lose):0, Score:2.0, timesteps:18
168 Result (1->win; 0->lose):0, Score:7.0, timesteps:368
169 Result (1->win; 0->lose):0, Score:5.0, timesteps:681
170 Result (1->win; 0->lose):0, Score:6.0, timesteps:275
171 Result (1->win; 0->lose):0, Score:1.0, timesteps:251
172 Result (1->win; 0->lose):0, Score:3.0, timesteps:203
173 Result (1->win; 0->lose):0, Score:9.0, timesteps:386
174 Result (1->win; 0->lose):0, Score:1.0, timesteps:227
175 Result (1->win; 0->lose):0, Score:3.0, timesteps:416
176 Result (1->win; 0->lose):0, Score:5.0, timesteps:401
177 Result (1->win; 0->lose):0, Score:3.0, timesteps:234
178 Result (1->win; 0->lose):0, Score:7.0, timesteps:534
179 Result (1->win; 0->lose):0, Score:1.0, timesteps:218
180 Result (1->win; 0->lose):0, Score:4.0, timesteps:192
181 Result (1->win; 0->lose):0, Score:5.0, timesteps:237
182 Result (1->win; 0->lose):0, Score:6.0, timesteps:396
183 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
184 Result (1->win; 0->lose):0, Score:5.0, timesteps:290
185 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
186 Result (1->win; 0->lose):0, Score:7.0, timesteps:418
187 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
188 Result (1->win; 0->lose):0, Score:6.0, timesteps:539
189 Result (1->win; 0->lose):0, Score:9.0, timesteps:522
190 Result (1->win; 0->lose):0, Score:5.0, timesteps:344
191 Result (1->win; 0->lose):0, Score:5.0, timesteps:299
192 Result (1->win; 0->lose):0, Score:5.0, timesteps:291
193 Result (1->win; 0->lose):0, Score:7.0, timesteps:380
194 Result (1->win; 0->lose):0, Score:5.0, timesteps:244
195 Result (1->win; 0->lose):0, Score:15.0, timesteps:938
196 Result (1->win; 0->lose):0, Score:9.0, timesteps:782
197 Result (1->win; 0->lose):0, Score:7.0, timesteps:175
198 Result (1->win; 0->lose):0, Score:1.0, timesteps:206
199 Result (1->win; 0->lose):0, Score:5.0, timesteps:417
200 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
201 Result (1->win; 0->lose):0, Score:9.0, timesteps:431
202 Result (1->win; 0->lose):0, Score:5.0, timesteps:497
203 Result (1->win; 0->lose):0, Score:1.0, timesteps:176
204 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
205 Result (1->win; 0->lose):0, Score:1.0, timesteps:197
206 Result (1->win; 0->lose):0, Score:5.0, timesteps:706
207 Result (1->win; 0->lose):0, Score:5.0, timesteps:130
208 Result (1->win; 0->lose):0, Score:9.0, timesteps:526
209 Result (1->win; 0->lose):0, Score:3.0, timesteps:230
210 Result (1->win; 0->lose):0, Score:9.0, timesteps:403
211 Result (1->win; 0->lose):0, Score:7.0, timesteps:239
212 Result (1->win; 0->lose):0, Score:6.0, timesteps:267
213 Result (1->win; 0->lose):0, Score:8.0, timesteps:292
214 Result (1->win; 0->lose):0, Score:13.0, timesteps:912
215 Result (1->win; 0->lose):0, Score:5.0, timesteps:130
216 Result (1->win; 0->lose):0, Score:19.0, timesteps:875
217 Result (1->win; 0->lose):0, Score:5.0, timesteps:266
218 Result (1->win; 0->lose):0, Score:8.0, timesteps:239
219 Result (1->win; 0->lose):0, Score:4.0, timesteps:237
220 Result (1->win; 0->lose):0, Score:3.0, timesteps:213
221 Result (1->win; 0->lose):0, Score:9.0, timesteps:611
222 Result (1->win; 0->lose):0, Score:7.0, timesteps:329
223 Result (1->win; 0->lose):0, Score:11.0, timesteps:394
224 Result (1->win; 0->lose):0, Score:7.0, timesteps:364
225 Result (1->win; 0->lose):0, Score:7.0, timesteps:364
226 Result (1->win; 0->lose):0, Score:13.0, timesteps:986
227 Result (1->win; 0->lose):0, Score:3.0, timesteps:389
228 Result (1->win; 0->lose):0, Score:3.0, timesteps:191
229 Result (1->win; 0->lose):0, Score:3.0, timesteps:155
230 Result (1->win; 0->lose):0, Score:9.0, timesteps:397
231 Result (1->win; 0->lose):0, Score:12.0, timesteps:492
232 Result (1->win; 0->lose):0, Score:14.0, timesteps:533
233 Result (1->win; 0->lose):0, Score:5.0, timesteps:280
234 Result (1->win; 0->lose):0, Score:17.0, timesteps:531
235 Result (1->win; 0->lose):0, Score:5.0, timesteps:328
236 Result (1->win; 0->lose):0, Score:5.0, timesteps:152
237 Result (1->win; 0->lose):0, Score:19.0, timesteps:686
238 Result (1->win; 0->lose):0, Score:1.0, timesteps:95
239 Result (1->win; 0->lose):0, Score:5.0, timesteps:356
240 Result (1->win; 0->lose):0, Score:5.0, timesteps:208
241 Result (1->win; 0->lose):0, Score:2.0, timesteps:19
242 Result (1->win; 0->lose):0, Score:3.0, timesteps:413
243 Result (1->win; 0->lose):0, Score:7.0, timesteps:332
244 Result (1->win; 0->lose):0, Score:1.0, timesteps:466
245 Result (1->win; 0->lose):0, Score:5.0, timesteps:326
246 Result (1->win; 0->lose):0, Score:25.0, timesteps:681
247 Result (1->win; 0->lose):0, Score:25.0, timesteps:831
248 Result (1->win; 0->lose):0, Score:7.0, timesteps:497
249 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
250 Result (1->win; 0->lose):0, Score:19.0, timesteps:967
251 Result (1->win; 0->lose):0, Score:9.0, timesteps:253
252 Result (1->win; 0->lose):0, Score:5.0, timesteps:372
253 Result (1->win; 0->lose):0, Score:5.0, timesteps:309
254 Result (1->win; 0->lose):0, Score:5.0, timesteps:123
255 Result (1->win; 0->lose):0, Score:2.0, timesteps:17
256 Result (1->win; 0->lose):0, Score:19.0, timesteps:583
257 Result (1->win; 0->lose):0, Score:9.0, timesteps:484
258 Result (1->win; 0->lose):0, Score:9.0, timesteps:337
259 Result (1->win; 0->lose):0, Score:9.0, timesteps:525
260 Result (1->win; 0->lose):0, Score:7.0, timesteps:236
261 Result (1->win; 0->lose):0, Score:15.0, timesteps:550
262 Result (1->win; 0->lose):0, Score:4.0, timesteps:172
263 Result (1->win; 0->lose):0, Score:14.0, timesteps:501
264 Result (1->win; 0->lose):0, Score:3.0, timesteps:710
265 Result (1->win; 0->lose):0, Score:9.0, timesteps:373
266 Result (1->win; 0->lose):0, Score:5.0, timesteps:380
267 Result (1->win; 0->lose):0, Score:2.0, timesteps:17
268 Result (1->win; 0->lose):0, Score:15.0, timesteps:243
269 Result (1->win; 0->lose):0, Score:9.0, timesteps:490
270 Result (1->win; 0->lose):0, Score:22.0, timesteps:667
271 Result (1->win; 0->lose):0, Score:3.0, timesteps:373
272 Result (1->win; 0->lose):0, Score:7.0, timesteps:372
273 Result (1->win; 0->lose):0, Score:15.0, timesteps:498
274 Result (1->win; 0->lose):0, Score:2.0, timesteps:15
275 Result (1->win; 0->lose):0, Score:7.0, timesteps:299
276 Result (1->win; 0->lose):0, Score:13.0, timesteps:645
277 Result (1->win; 0->lose):0, Score:9.0, timesteps:405
278 Result (1->win; 0->lose):0, Score:2.0, timesteps:22
279 Result (1->win; 0->lose):0, Score:23.0, timesteps:915
280 Result (1->win; 0->lose):0, Score:8.0, timesteps:378
281 Result (1->win; 0->lose):0, Score:13.0, timesteps:578
282 Result (1->win; 0->lose):0, Score:3.0, timesteps:263
283 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
284 Result (1->win; 0->lose):0, Score:11.0, timesteps:520
285 Result (1->win; 0->lose):0, Score:10.0, timesteps:220
286 Result (1->win; 0->lose):0, Score:4.0, timesteps:157
287 Result (1->win; 0->lose):0, Score:21.0, timesteps:927
288 Result (1->win; 0->lose):0, Score:2.0, timesteps:15
289 Result (1->win; 0->lose):0, Score:3.0, timesteps:547
290 Result (1->win; 0->lose):0, Score:3.0, timesteps:226
291 Result (1->win; 0->lose):0, Score:13.0, timesteps:537
292 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
293 Result (1->win; 0->lose):0, Score:5.0, timesteps:245
294 Result (1->win; 0->lose):0, Score:6.0, timesteps:160
295 Result (1->win; 0->lose):0, Score:1.0, timesteps:427
296 Result (1->win; 0->lose):0, Score:7.0, timesteps:437
297 Result (1->win; 0->lose):0, Score:15.0, timesteps:903
298 Result (1->win; 0->lose):0, Score:6.0, timesteps:276
299 Result (1->win; 0->lose):0, Score:15.0, timesteps:823
300 Result (1->win; 0->lose):0, Score:7.0, timesteps:829
301 Result (1->win; 0->lose):0, Score:19.0, timesteps:755
302 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
303 Result (1->win; 0->lose):0, Score:7.0, timesteps:557
304 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
305 Result (1->win; 0->lose):0, Score:3.0, timesteps:245
306 Result (1->win; 0->lose):0, Score:8.0, timesteps:477
307 Result (1->win; 0->lose):0, Score:5.0, timesteps:254
308 Result (1->win; 0->lose):0, Score:19.0, timesteps:741
309 Result (1->win; 0->lose):0, Score:8.0, timesteps:200
310 Result (1->win; 0->lose):0, Score:6.0, timesteps:348
311 Result (1->win; 0->lose):0, Score:7.0, timesteps:377
312 Result (1->win; 0->lose):0, Score:3.0, timesteps:352
313 Result (1->win; 0->lose):1, Score:14.0, timesteps:1000
314 Result (1->win; 0->lose):0, Score:3.0, timesteps:485
315 Result (1->win; 0->lose):0, Score:7.0, timesteps:289
316 Result (1->win; 0->lose):0, Score:6.0, timesteps:348
317 Result (1->win; 0->lose):0, Score:5.0, timesteps:284
318 Result (1->win; 0->lose):0, Score:5.0, timesteps:292
319 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
320 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
321 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
322 Result (1->win; 0->lose):0, Score:7.0, timesteps:410
323 Result (1->win; 0->lose):0, Score:4.0, timesteps:147
324 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
325 Result (1->win; 0->lose):0, Score:5.0, timesteps:240
326 Result (1->win; 0->lose):0, Score:11.0, timesteps:492
327 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
328 Result (1->win; 0->lose):0, Score:3.0, timesteps:291
329 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
330 Result (1->win; 0->lose):0, Score:19.0, timesteps:659
