 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:4.0, timesteps:55
2 Result (1->win; 0->lose):0, Score:19.0, timesteps:728
3 Result (1->win; 0->lose):0, Score:3.0, timesteps:278
4 Result (1->win; 0->lose):0, Score:3.0, timesteps:254
5 Result (1->win; 0->lose):0, Score:1.0, timesteps:17
6 Result (1->win; 0->lose):1, Score:14.0, timesteps:1000
7 Result (1->win; 0->lose):1, Score:22.0, timesteps:1000
8 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
9 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
10 Result (1->win; 0->lose):0, Score:3.0, timesteps:191
11 Result (1->win; 0->lose):0, Score:3.0, timesteps:254
12 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
13 Result (1->win; 0->lose):0, Score:1.0, timesteps:195
14 Result (1->win; 0->lose):0, Score:9.0, timesteps:577
15 Result (1->win; 0->lose):0, Score:3.0, timesteps:423
16 Result (1->win; 0->lose):0, Score:1.0, timesteps:458
17 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
18 Result (1->win; 0->lose):0, Score:12.0, timesteps:820
19 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
20 Result (1->win; 0->lose):0, Score:6.0, timesteps:640
21 Result (1->win; 0->lose):0, Score:8.0, timesteps:209
22 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:1.0, timesteps:363
24 Result (1->win; 0->lose):0, Score:1.0, timesteps:386
25 Result (1->win; 0->lose):0, Score:1.0, timesteps:255
26 Result (1->win; 0->lose):0, Score:3.0, timesteps:23
27 Result (1->win; 0->lose):0, Score:2.0, timesteps:16
28 Result (1->win; 0->lose):0, Score:3.0, timesteps:224
29 Result (1->win; 0->lose):0, Score:1.0, timesteps:321
30 Result (1->win; 0->lose):0, Score:3.0, timesteps:204
31 Result (1->win; 0->lose):0, Score:1.0, timesteps:255
32 Result (1->win; 0->lose):0, Score:5.0, timesteps:59
33 Result (1->win; 0->lose):0, Score:1.0, timesteps:227
34 Result (1->win; 0->lose):0, Score:5.0, timesteps:708
35 Result (1->win; 0->lose):0, Score:1.0, timesteps:500
36 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
37 Result (1->win; 0->lose):0, Score:8.0, timesteps:329
38 Result (1->win; 0->lose):0, Score:3.0, timesteps:39
39 Result (1->win; 0->lose):0, Score:3.0, timesteps:23
40 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
41 Result (1->win; 0->lose):0, Score:16.0, timesteps:386
42 Result (1->win; 0->lose):0, Score:3.0, timesteps:389
43 Result (1->win; 0->lose):0, Score:1.0, timesteps:201
44 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
45 Result (1->win; 0->lose):0, Score:3.0, timesteps:21
46 Result (1->win; 0->lose):0, Score:4.0, timesteps:131
47 Result (1->win; 0->lose):0, Score:5.0, timesteps:353
48 Result (1->win; 0->lose):0, Score:5.0, timesteps:431
49 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
50 Result (1->win; 0->lose):0, Score:7.0, timesteps:383
51 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
52 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:5.0, timesteps:663
54 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
55 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:1.0, timesteps:470
57 Result (1->win; 0->lose):0, Score:7.0, timesteps:77
58 Result (1->win; 0->lose):0, Score:1.0, timesteps:753
59 Result (1->win; 0->lose):0, Score:12.0, timesteps:887
60 Result (1->win; 0->lose):0, Score:1.0, timesteps:201
61 Result (1->win; 0->lose):0, Score:9.0, timesteps:632
62 Result (1->win; 0->lose):0, Score:5.0, timesteps:273
63 Result (1->win; 0->lose):0, Score:1.0, timesteps:261
64 Result (1->win; 0->lose):0, Score:7.0, timesteps:782
65 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:6.0, timesteps:300
67 Result (1->win; 0->lose):0, Score:5.0, timesteps:127
68 Result (1->win; 0->lose):0, Score:10.0, timesteps:717
69 Result (1->win; 0->lose):0, Score:3.0, timesteps:305
70 Result (1->win; 0->lose):0, Score:1.0, timesteps:250
71 Result (1->win; 0->lose):0, Score:3.0, timesteps:217
72 Result (1->win; 0->lose):0, Score:14.0, timesteps:444
73 Result (1->win; 0->lose):0, Score:3.0, timesteps:133
74 Result (1->win; 0->lose):0, Score:1.0, timesteps:320
75 Result (1->win; 0->lose):0, Score:2.0, timesteps:16
76 Result (1->win; 0->lose):0, Score:12.0, timesteps:512
77 Result (1->win; 0->lose):0, Score:3.0, timesteps:308
78 Result (1->win; 0->lose):0, Score:1.0, timesteps:213
79 Result (1->win; 0->lose):0, Score:1.0, timesteps:500
80 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:3.0, timesteps:350
82 Result (1->win; 0->lose):0, Score:5.0, timesteps:397
83 Result (1->win; 0->lose):0, Score:1.0, timesteps:237
84 Result (1->win; 0->lose):0, Score:3.0, timesteps:243
85 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
86 Result (1->win; 0->lose):0, Score:3.0, timesteps:364
87 Result (1->win; 0->lose):0, Score:7.0, timesteps:324
88 Result (1->win; 0->lose):0, Score:6.0, timesteps:277
89 Result (1->win; 0->lose):0, Score:3.0, timesteps:314
90 Result (1->win; 0->lose):0, Score:1.0, timesteps:230
91 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
92 Result (1->win; 0->lose):0, Score:4.0, timesteps:211
93 Result (1->win; 0->lose):0, Score:9.0, timesteps:361
94 Result (1->win; 0->lose):0, Score:5.0, timesteps:287
95 Result (1->win; 0->lose):0, Score:11.0, timesteps:549
96 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
97 Result (1->win; 0->lose):0, Score:11.0, timesteps:884
98 Result (1->win; 0->lose):0, Score:13.0, timesteps:976
99 Result (1->win; 0->lose):0, Score:4.0, timesteps:73
100 Result (1->win; 0->lose):0, Score:5.0, timesteps:487
101 Result (1->win; 0->lose):0, Score:11.0, timesteps:798
102 Result (1->win; 0->lose):0, Score:3.0, timesteps:141
103 Result (1->win; 0->lose):0, Score:3.0, timesteps:349
104 Result (1->win; 0->lose):0, Score:1.0, timesteps:303
105 Result (1->win; 0->lose):0, Score:3.0, timesteps:354
106 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:18.0, timesteps:608
108 Result (1->win; 0->lose):0, Score:1.0, timesteps:243
109 Result (1->win; 0->lose):0, Score:5.0, timesteps:223
110 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
111 Result (1->win; 0->lose):0, Score:1.0, timesteps:231
112 Result (1->win; 0->lose):0, Score:5.0, timesteps:620
113 Result (1->win; 0->lose):0, Score:11.0, timesteps:809
114 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
115 Result (1->win; 0->lose):0, Score:1.0, timesteps:284
116 Result (1->win; 0->lose):0, Score:7.0, timesteps:359
117 Result (1->win; 0->lose):0, Score:3.0, timesteps:328
118 Result (1->win; 0->lose):0, Score:1.0, timesteps:540
119 Result (1->win; 0->lose):0, Score:7.0, timesteps:345
120 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
121 Result (1->win; 0->lose):0, Score:9.0, timesteps:595
122 Result (1->win; 0->lose):0, Score:3.0, timesteps:344
123 Result (1->win; 0->lose):0, Score:4.0, timesteps:235
124 Result (1->win; 0->lose):0, Score:3.0, timesteps:308
125 Result (1->win; 0->lose):0, Score:5.0, timesteps:774
126 Result (1->win; 0->lose):0, Score:1.0, timesteps:422
127 Result (1->win; 0->lose):0, Score:1.0, timesteps:308
128 Result (1->win; 0->lose):0, Score:5.0, timesteps:354
129 Result (1->win; 0->lose):0, Score:1.0, timesteps:243
130 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
131 Result (1->win; 0->lose):0, Score:7.0, timesteps:551
132 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
133 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
134 Result (1->win; 0->lose):0, Score:3.0, timesteps:245
135 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
136 Result (1->win; 0->lose):0, Score:11.0, timesteps:846
137 Result (1->win; 0->lose):0, Score:1.0, timesteps:401
138 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
139 Result (1->win; 0->lose):0, Score:3.0, timesteps:62
140 Result (1->win; 0->lose):0, Score:5.0, timesteps:285
141 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
142 Result (1->win; 0->lose):0, Score:1.0, timesteps:603
