 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:5.0, timesteps:199
1 Result (1->win; 0->lose):0, Score:1.0, timesteps:234
2 Result (1->win; 0->lose):0, Score:1.0, timesteps:348
3 Result (1->win; 0->lose):0, Score:1.0, timesteps:330
4 Result (1->win; 0->lose):0, Score:1.0, timesteps:276
5 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:0.0, timesteps:240
7 Result (1->win; 0->lose):0, Score:2.0, timesteps:15
8 Result (1->win; 0->lose):0, Score:3.0, timesteps:559
9 Result (1->win; 0->lose):1, Score:13.0, timesteps:1000
10 Result (1->win; 0->lose):0, Score:9.0, timesteps:692
11 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
12 Result (1->win; 0->lose):0, Score:11.0, timesteps:662
13 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
14 Result (1->win; 0->lose):0, Score:1.0, timesteps:234
15 Result (1->win; 0->lose):1, Score:12.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:2.0, timesteps:56
17 Result (1->win; 0->lose):0, Score:1.0, timesteps:402
18 Result (1->win; 0->lose):0, Score:5.0, timesteps:159
19 Result (1->win; 0->lose):0, Score:2.0, timesteps:23
20 Result (1->win; 0->lose):0, Score:9.0, timesteps:315
21 Result (1->win; 0->lose):0, Score:1.0, timesteps:260
22 Result (1->win; 0->lose):1, Score:11.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:14.0, timesteps:294
24 Result (1->win; 0->lose):0, Score:1.0, timesteps:874
25 Result (1->win; 0->lose):0, Score:1.0, timesteps:252
26 Result (1->win; 0->lose):0, Score:2.0, timesteps:120
27 Result (1->win; 0->lose):0, Score:1.0, timesteps:240
28 Result (1->win; 0->lose):0, Score:1.0, timesteps:136
29 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:5.0, timesteps:171
31 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
32 Result (1->win; 0->lose):0, Score:1.0, timesteps:224
33 Result (1->win; 0->lose):0, Score:2.0, timesteps:15
34 Result (1->win; 0->lose):0, Score:0.0, timesteps:228
35 Result (1->win; 0->lose):0, Score:2.0, timesteps:15
36 Result (1->win; 0->lose):0, Score:1.0, timesteps:260
37 Result (1->win; 0->lose):0, Score:2.0, timesteps:18
38 Result (1->win; 0->lose):0, Score:1.0, timesteps:294
39 Result (1->win; 0->lose):0, Score:2.0, timesteps:38
40 Result (1->win; 0->lose):0, Score:2.0, timesteps:20
41 Result (1->win; 0->lose):0, Score:5.0, timesteps:102
42 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
43 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:1.0, timesteps:356
45 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:3.0, timesteps:269
47 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
48 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
49 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
50 Result (1->win; 0->lose):0, Score:2.0, timesteps:16
51 Result (1->win; 0->lose):0, Score:7.0, timesteps:422
52 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:14.0, timesteps:452
54 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
55 Result (1->win; 0->lose):0, Score:2.0, timesteps:15
56 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
57 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:3.0, timesteps:164
59 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
60 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
61 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
62 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
63 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
64 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
65 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
66 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
67 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
68 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
69 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
70 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
