 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
2 Result (1->win; 0->lose):0, Score:6.0, timesteps:347
3 Result (1->win; 0->lose):0, Score:10.0, timesteps:615
4 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
7 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
8 Result (1->win; 0->lose):0, Score:10.0, timesteps:852
9 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
10 Result (1->win; 0->lose):0, Score:10.0, timesteps:615
11 Result (1->win; 0->lose):0, Score:8.0, timesteps:809
12 Result (1->win; 0->lose):0, Score:8.0, timesteps:491
13 Result (1->win; 0->lose):0, Score:8.0, timesteps:519
14 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
15 Result (1->win; 0->lose):0, Score:8.0, timesteps:519
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:924
17 Result (1->win; 0->lose):0, Score:10.0, timesteps:699
18 Result (1->win; 0->lose):0, Score:8.0, timesteps:898
19 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
20 Result (1->win; 0->lose):0, Score:10.0, timesteps:789
21 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
22 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:10.0, timesteps:860
24 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
25 Result (1->win; 0->lose):0, Score:8.0, timesteps:639
26 Result (1->win; 0->lose):0, Score:8.0, timesteps:639
27 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
28 Result (1->win; 0->lose):0, Score:10.0, timesteps:693
29 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:10.0, timesteps:462
31 Result (1->win; 0->lose):0, Score:8.0, timesteps:422
32 Result (1->win; 0->lose):0, Score:10.0, timesteps:719
33 Result (1->win; 0->lose):0, Score:10.0, timesteps:942
34 Result (1->win; 0->lose):0, Score:10.0, timesteps:541
35 Result (1->win; 0->lose):0, Score:4.0, timesteps:650
36 Result (1->win; 0->lose):0, Score:8.0, timesteps:629
37 Result (1->win; 0->lose):0, Score:4.0, timesteps:700
38 Result (1->win; 0->lose):0, Score:0.0, timesteps:924
39 Result (1->win; 0->lose):0, Score:12.0, timesteps:774
40 Result (1->win; 0->lose):0, Score:14.0, timesteps:815
41 Result (1->win; 0->lose):0, Score:12.0, timesteps:654
42 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
43 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
45 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
47 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
48 Result (1->win; 0->lose):0, Score:6.0, timesteps:679
49 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
50 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
51 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
52 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
54 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
55 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
56 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:4.0, timesteps:708
59 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
60 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
61 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
64 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
65 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
67 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:8.0, timesteps:332
69 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
71 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
72 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
73 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
74 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:10.0, timesteps:658
77 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
