 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:7.0, timesteps:151
1 Result (1->win; 0->lose):0, Score:4.0, timesteps:72
2 Result (1->win; 0->lose):0, Score:3.0, timesteps:27
3 Result (1->win; 0->lose):0, Score:7.0, timesteps:239
4 Result (1->win; 0->lose):0, Score:2.0, timesteps:17
5 Result (1->win; 0->lose):0, Score:1.0, timesteps:118
6 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
7 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
8 Result (1->win; 0->lose):0, Score:6.0, timesteps:445
9 Result (1->win; 0->lose):0, Score:14.0, timesteps:820
10 Result (1->win; 0->lose):0, Score:9.0, timesteps:485
11 Result (1->win; 0->lose):0, Score:3.0, timesteps:322
12 Result (1->win; 0->lose):0, Score:1.0, timesteps:305
13 Result (1->win; 0->lose):0, Score:17.0, timesteps:865
14 Result (1->win; 0->lose):0, Score:3.0, timesteps:417
15 Result (1->win; 0->lose):0, Score:3.0, timesteps:238
16 Result (1->win; 0->lose):0, Score:5.0, timesteps:114
17 Result (1->win; 0->lose):0, Score:1.0, timesteps:284
18 Result (1->win; 0->lose):0, Score:3.0, timesteps:567
19 Result (1->win; 0->lose):0, Score:7.0, timesteps:833
20 Result (1->win; 0->lose):0, Score:1.0, timesteps:338
21 Result (1->win; 0->lose):0, Score:1.0, timesteps:307
22 Result (1->win; 0->lose):0, Score:3.0, timesteps:346
23 Result (1->win; 0->lose):0, Score:1.0, timesteps:338
24 Result (1->win; 0->lose):0, Score:2.0, timesteps:17
25 Result (1->win; 0->lose):0, Score:3.0, timesteps:317
26 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
27 Result (1->win; 0->lose):0, Score:5.0, timesteps:95
28 Result (1->win; 0->lose):0, Score:5.0, timesteps:208
29 Result (1->win; 0->lose):0, Score:9.0, timesteps:530
30 Result (1->win; 0->lose):0, Score:1.0, timesteps:326
31 Result (1->win; 0->lose):0, Score:14.0, timesteps:507
32 Result (1->win; 0->lose):0, Score:3.0, timesteps:358
33 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:5.0, timesteps:521
35 Result (1->win; 0->lose):0, Score:3.0, timesteps:707
36 Result (1->win; 0->lose):0, Score:23.0, timesteps:783
37 Result (1->win; 0->lose):0, Score:1.0, timesteps:336
38 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
39 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
40 Result (1->win; 0->lose):0, Score:30.0, timesteps:910
41 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
42 Result (1->win; 0->lose):0, Score:21.0, timesteps:500
43 Result (1->win; 0->lose):0, Score:3.0, timesteps:485
44 Result (1->win; 0->lose):0, Score:3.0, timesteps:344
45 Result (1->win; 0->lose):0, Score:6.0, timesteps:454
46 Result (1->win; 0->lose):0, Score:5.0, timesteps:740
47 Result (1->win; 0->lose):0, Score:6.0, timesteps:213
48 Result (1->win; 0->lose):0, Score:10.0, timesteps:370
49 Result (1->win; 0->lose):0, Score:3.0, timesteps:351
50 Result (1->win; 0->lose):0, Score:5.0, timesteps:582
51 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
52 Result (1->win; 0->lose):0, Score:5.0, timesteps:407
53 Result (1->win; 0->lose):0, Score:5.0, timesteps:340
54 Result (1->win; 0->lose):1, Score:12.0, timesteps:1000
55 Result (1->win; 0->lose):0, Score:8.0, timesteps:445
56 Result (1->win; 0->lose):0, Score:5.0, timesteps:455
57 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:10.0, timesteps:768
59 Result (1->win; 0->lose):0, Score:3.0, timesteps:305
60 Result (1->win; 0->lose):0, Score:7.0, timesteps:611
61 Result (1->win; 0->lose):0, Score:3.0, timesteps:351
62 Result (1->win; 0->lose):0, Score:3.0, timesteps:165
63 Result (1->win; 0->lose):0, Score:3.0, timesteps:334
64 Result (1->win; 0->lose):0, Score:3.0, timesteps:362
65 Result (1->win; 0->lose):0, Score:6.0, timesteps:514
66 Result (1->win; 0->lose):0, Score:3.0, timesteps:418
67 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:8.0, timesteps:234
69 Result (1->win; 0->lose):0, Score:16.0, timesteps:514
70 Result (1->win; 0->lose):0, Score:1.0, timesteps:720
71 Result (1->win; 0->lose):0, Score:3.0, timesteps:210
72 Result (1->win; 0->lose):0, Score:6.0, timesteps:341
73 Result (1->win; 0->lose):0, Score:15.0, timesteps:496
74 Result (1->win; 0->lose):0, Score:3.0, timesteps:423
75 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
76 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
77 Result (1->win; 0->lose):0, Score:4.0, timesteps:349
78 Result (1->win; 0->lose):0, Score:5.0, timesteps:523
79 Result (1->win; 0->lose):0, Score:5.0, timesteps:358
80 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:1.0, timesteps:183
82 Result (1->win; 0->lose):0, Score:13.0, timesteps:917
83 Result (1->win; 0->lose):0, Score:5.0, timesteps:987
84 Result (1->win; 0->lose):0, Score:3.0, timesteps:455
85 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
86 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
87 Result (1->win; 0->lose):0, Score:5.0, timesteps:728
88 Result (1->win; 0->lose):0, Score:1.0, timesteps:396
89 Result (1->win; 0->lose):0, Score:5.0, timesteps:120
90 Result (1->win; 0->lose):0, Score:5.0, timesteps:524
91 Result (1->win; 0->lose):0, Score:3.0, timesteps:444
92 Result (1->win; 0->lose):0, Score:15.0, timesteps:617
93 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
94 Result (1->win; 0->lose):0, Score:9.0, timesteps:930
95 Result (1->win; 0->lose):0, Score:7.0, timesteps:652
96 Result (1->win; 0->lose):0, Score:1.0, timesteps:386
97 Result (1->win; 0->lose):0, Score:3.0, timesteps:410
98 Result (1->win; 0->lose):0, Score:5.0, timesteps:558
99 Result (1->win; 0->lose):0, Score:1.0, timesteps:124
100 Result (1->win; 0->lose):0, Score:1.0, timesteps:461
101 Result (1->win; 0->lose):0, Score:8.0, timesteps:339
102 Result (1->win; 0->lose):0, Score:7.0, timesteps:802
103 Result (1->win; 0->lose):0, Score:5.0, timesteps:62
104 Result (1->win; 0->lose):0, Score:2.0, timesteps:42
105 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
106 Result (1->win; 0->lose):0, Score:5.0, timesteps:185
107 Result (1->win; 0->lose):0, Score:9.0, timesteps:691
108 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
109 Result (1->win; 0->lose):0, Score:1.0, timesteps:712
110 Result (1->win; 0->lose):0, Score:11.0, timesteps:672
111 Result (1->win; 0->lose):0, Score:5.0, timesteps:741
112 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
113 Result (1->win; 0->lose):0, Score:6.0, timesteps:311
114 Result (1->win; 0->lose):0, Score:3.0, timesteps:395
115 Result (1->win; 0->lose):0, Score:8.0, timesteps:603
116 Result (1->win; 0->lose):0, Score:2.0, timesteps:321
117 Result (1->win; 0->lose):0, Score:7.0, timesteps:933
118 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
119 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
120 Result (1->win; 0->lose):0, Score:5.0, timesteps:968
121 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
122 Result (1->win; 0->lose):0, Score:5.0, timesteps:592
123 Result (1->win; 0->lose):0, Score:5.0, timesteps:670
124 Result (1->win; 0->lose):0, Score:3.0, timesteps:539
125 Result (1->win; 0->lose):0, Score:1.0, timesteps:326
126 Result (1->win; 0->lose):0, Score:5.0, timesteps:446
127 Result (1->win; 0->lose):0, Score:3.0, timesteps:475
128 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
129 Result (1->win; 0->lose):1, Score:14.0, timesteps:1000
130 Result (1->win; 0->lose):0, Score:5.0, timesteps:459
131 Result (1->win; 0->lose):0, Score:9.0, timesteps:624
132 Result (1->win; 0->lose):0, Score:5.0, timesteps:727
133 Result (1->win; 0->lose):0, Score:13.0, timesteps:376
134 Result (1->win; 0->lose):0, Score:13.0, timesteps:749
135 Result (1->win; 0->lose):0, Score:3.0, timesteps:493
136 Result (1->win; 0->lose):0, Score:4.0, timesteps:188
137 Result (1->win; 0->lose):0, Score:18.0, timesteps:633
138 Result (1->win; 0->lose):0, Score:4.0, timesteps:340
139 Result (1->win; 0->lose):0, Score:11.0, timesteps:442
140 Result (1->win; 0->lose):0, Score:7.0, timesteps:498
141 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
142 Result (1->win; 0->lose):0, Score:3.0, timesteps:347
143 Result (1->win; 0->lose):0, Score:3.0, timesteps:160
144 Result (1->win; 0->lose):0, Score:14.0, timesteps:581
145 Result (1->win; 0->lose):0, Score:13.0, timesteps:640
146 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
