 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:319
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:319
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:319
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:319
7 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:271
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:319
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:131
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:207
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
20 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
21 Result (1->win; 0->lose):0, Score:-1.0, timesteps:205
22 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:210
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:251
26 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:255
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
30 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
31 Result (1->win; 0->lose):0, Score:1.0, timesteps:651
32 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
34 Result (1->win; 0->lose):0, Score:-1.0, timesteps:319
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:67
37 Result (1->win; 0->lose):0, Score:-1.0, timesteps:319
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
39 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
40 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
41 Result (1->win; 0->lose):0, Score:-1.0, timesteps:80
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
44 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
45 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
46 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
47 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
48 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
49 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
50 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
51 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
52 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
53 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
54 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
55 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
56 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
57 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
58 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
59 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
60 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
61 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
62 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
63 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
64 Result (1->win; 0->lose):0, Score:1.0, timesteps:591
65 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
66 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
67 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
68 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
69 Result (1->win; 0->lose):0, Score:-1.0, timesteps:97
70 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
71 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
72 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
73 Result (1->win; 0->lose):0, Score:-1.0, timesteps:131
74 Result (1->win; 0->lose):0, Score:-1.0, timesteps:259
75 Result (1->win; 0->lose):0, Score:1.0, timesteps:315
76 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
77 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
78 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
79 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
80 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
81 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
82 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
83 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
84 Result (1->win; 0->lose):0, Score:3.0, timesteps:303
85 Result (1->win; 0->lose):0, Score:1.0, timesteps:651
86 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
87 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
88 Result (1->win; 0->lose):0, Score:1.0, timesteps:651
89 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
90 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
91 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
92 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
93 Result (1->win; 0->lose):0, Score:1.0, timesteps:651
94 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
95 Result (1->win; 0->lose):0, Score:1.0, timesteps:651
96 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
97 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
98 Result (1->win; 0->lose):0, Score:1.0, timesteps:651
99 Result (1->win; 0->lose):0, Score:3.0, timesteps:863
100 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
101 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
102 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
103 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
104 Result (1->win; 0->lose):0, Score:-1.0, timesteps:55
105 Result (1->win; 0->lose):0, Score:1.0, timesteps:647
106 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
