 ** Playing game examples/gridphysics/missilecommand.txt, level examples/gridphysics/missilecommand_lvl0.txt **
98 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
99 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
100 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
101 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
102 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
103 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
104 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
105 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
106 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
107 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
108 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
109 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
110 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
111 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
112 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
113 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
114 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
115 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
116 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
117 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
118 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
119 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
120 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
121 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
122 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
123 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
124 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
125 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
126 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
127 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
128 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
129 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
130 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
131 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
132 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
133 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
134 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
135 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
136 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
