 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:5.0, timesteps:157
1 Result (1->win; 0->lose):0, Score:4.0, timesteps:43
2 Result (1->win; 0->lose):0, Score:3.0, timesteps:651
3 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
4 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:1.0, timesteps:201
6 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
7 Result (1->win; 0->lose):0, Score:1.0, timesteps:236
8 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
9 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
10 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
11 Result (1->win; 0->lose):0, Score:7.0, timesteps:492
12 Result (1->win; 0->lose):0, Score:3.0, timesteps:55
13 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
14 Result (1->win; 0->lose):0, Score:5.0, timesteps:535
15 Result (1->win; 0->lose):0, Score:11.0, timesteps:945
16 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
17 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
18 Result (1->win; 0->lose):0, Score:1.0, timesteps:269
19 Result (1->win; 0->lose):0, Score:5.0, timesteps:614
20 Result (1->win; 0->lose):0, Score:3.0, timesteps:204
21 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
22 Result (1->win; 0->lose):0, Score:6.0, timesteps:560
23 Result (1->win; 0->lose):0, Score:1.0, timesteps:387
24 Result (1->win; 0->lose):0, Score:4.0, timesteps:94
25 Result (1->win; 0->lose):0, Score:7.0, timesteps:600
26 Result (1->win; 0->lose):0, Score:5.0, timesteps:872
27 Result (1->win; 0->lose):0, Score:1.0, timesteps:164
28 Result (1->win; 0->lose):0, Score:3.0, timesteps:15
29 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:1.0, timesteps:215
31 Result (1->win; 0->lose):0, Score:6.0, timesteps:372
32 Result (1->win; 0->lose):0, Score:3.0, timesteps:16
33 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:5.0, timesteps:462
35 Result (1->win; 0->lose):0, Score:1.0, timesteps:89
36 Result (1->win; 0->lose):0, Score:3.0, timesteps:43
37 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:9.0, timesteps:397
39 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
40 Result (1->win; 0->lose):0, Score:7.0, timesteps:682
41 Result (1->win; 0->lose):0, Score:7.0, timesteps:646
42 Result (1->win; 0->lose):0, Score:1.0, timesteps:259
43 Result (1->win; 0->lose):0, Score:1.0, timesteps:191
44 Result (1->win; 0->lose):0, Score:1.0, timesteps:224
45 Result (1->win; 0->lose):0, Score:1.0, timesteps:212
46 Result (1->win; 0->lose):0, Score:9.0, timesteps:462
47 Result (1->win; 0->lose):0, Score:5.0, timesteps:332
48 Result (1->win; 0->lose):0, Score:3.0, timesteps:601
49 Result (1->win; 0->lose):0, Score:5.0, timesteps:124
50 Result (1->win; 0->lose):0, Score:12.0, timesteps:435
51 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
52 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:1.0, timesteps:212
54 Result (1->win; 0->lose):0, Score:3.0, timesteps:17
55 Result (1->win; 0->lose):0, Score:6.0, timesteps:719
56 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:5.0, timesteps:442
58 Result (1->win; 0->lose):1, Score:16.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:3.0, timesteps:235
60 Result (1->win; 0->lose):0, Score:5.0, timesteps:480
61 Result (1->win; 0->lose):0, Score:3.0, timesteps:289
62 Result (1->win; 0->lose):0, Score:3.0, timesteps:606
63 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
64 Result (1->win; 0->lose):0, Score:4.0, timesteps:45
65 Result (1->win; 0->lose):0, Score:7.0, timesteps:961
66 Result (1->win; 0->lose):0, Score:1.0, timesteps:599
67 Result (1->win; 0->lose):0, Score:15.0, timesteps:602
68 Result (1->win; 0->lose):0, Score:4.0, timesteps:77
69 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:10.0, timesteps:357
71 Result (1->win; 0->lose):0, Score:3.0, timesteps:270
72 Result (1->win; 0->lose):0, Score:11.0, timesteps:487
73 Result (1->win; 0->lose):0, Score:3.0, timesteps:72
74 Result (1->win; 0->lose):0, Score:3.0, timesteps:16
75 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
76 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
77 Result (1->win; 0->lose):0, Score:3.0, timesteps:888
78 Result (1->win; 0->lose):0, Score:3.0, timesteps:30
79 Result (1->win; 0->lose):0, Score:8.0, timesteps:123
80 Result (1->win; 0->lose):0, Score:5.0, timesteps:260
81 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
82 Result (1->win; 0->lose):0, Score:13.0, timesteps:737
83 Result (1->win; 0->lose):0, Score:11.0, timesteps:901
84 Result (1->win; 0->lose):0, Score:4.0, timesteps:755
85 Result (1->win; 0->lose):0, Score:6.0, timesteps:518
86 Result (1->win; 0->lose):0, Score:3.0, timesteps:215
87 Result (1->win; 0->lose):0, Score:15.0, timesteps:415
88 Result (1->win; 0->lose):0, Score:3.0, timesteps:339
89 Result (1->win; 0->lose):0, Score:3.0, timesteps:226
90 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
91 Result (1->win; 0->lose):0, Score:7.0, timesteps:679
92 Result (1->win; 0->lose):0, Score:3.0, timesteps:15
93 Result (1->win; 0->lose):0, Score:1.0, timesteps:117
94 Result (1->win; 0->lose):0, Score:3.0, timesteps:35
95 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
96 Result (1->win; 0->lose):0, Score:5.0, timesteps:294
97 Result (1->win; 0->lose):0, Score:3.0, timesteps:188
98 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
99 Result (1->win; 0->lose):0, Score:1.0, timesteps:208
100 Result (1->win; 0->lose):0, Score:1.0, timesteps:691
101 Result (1->win; 0->lose):0, Score:1.0, timesteps:95
102 Result (1->win; 0->lose):0, Score:1.0, timesteps:65
103 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
104 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
105 Result (1->win; 0->lose):0, Score:5.0, timesteps:811
106 Result (1->win; 0->lose):0, Score:11.0, timesteps:617
107 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
108 Result (1->win; 0->lose):0, Score:0.0, timesteps:212
109 Result (1->win; 0->lose):0, Score:1.0, timesteps:584
110 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
111 Result (1->win; 0->lose):0, Score:4.0, timesteps:264
112 Result (1->win; 0->lose):1, Score:4.0, timesteps:1000
113 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
114 Result (1->win; 0->lose):0, Score:0.0, timesteps:179
115 Result (1->win; 0->lose):0, Score:1.0, timesteps:158
116 Result (1->win; 0->lose):0, Score:1.0, timesteps:217
117 Result (1->win; 0->lose):0, Score:5.0, timesteps:455
118 Result (1->win; 0->lose):0, Score:3.0, timesteps:792
119 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
120 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
121 Result (1->win; 0->lose):0, Score:1.0, timesteps:224
122 Result (1->win; 0->lose):0, Score:1.0, timesteps:169
123 Result (1->win; 0->lose):0, Score:3.0, timesteps:469
124 Result (1->win; 0->lose):0, Score:5.0, timesteps:498
125 Result (1->win; 0->lose):0, Score:6.0, timesteps:167
126 Result (1->win; 0->lose):0, Score:1.0, timesteps:80
127 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
128 Result (1->win; 0->lose):0, Score:10.0, timesteps:917
129 Result (1->win; 0->lose):0, Score:3.0, timesteps:395
130 Result (1->win; 0->lose):0, Score:1.0, timesteps:212
131 Result (1->win; 0->lose):0, Score:1.0, timesteps:188
