 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:14.0, timesteps:695
1 Result (1->win; 0->lose):0, Score:6.0, timesteps:299
2 Result (1->win; 0->lose):0, Score:10.0, timesteps:737
3 Result (1->win; 0->lose):0, Score:14.0, timesteps:722
4 Result (1->win; 0->lose):0, Score:8.0, timesteps:765
5 Result (1->win; 0->lose):0, Score:10.0, timesteps:378
6 Result (1->win; 0->lose):0, Score:2.0, timesteps:355
7 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
8 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
9 Result (1->win; 0->lose):0, Score:6.0, timesteps:380
10 Result (1->win; 0->lose):0, Score:10.0, timesteps:858
11 Result (1->win; 0->lose):0, Score:14.0, timesteps:367
12 Result (1->win; 0->lose):0, Score:4.0, timesteps:330
13 Result (1->win; 0->lose):0, Score:10.0, timesteps:801
14 Result (1->win; 0->lose):0, Score:14.0, timesteps:516
15 Result (1->win; 0->lose):0, Score:4.0, timesteps:872
16 Result (1->win; 0->lose):0, Score:4.0, timesteps:664
17 Result (1->win; 0->lose):0, Score:10.0, timesteps:755
18 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
19 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
20 Result (1->win; 0->lose):0, Score:12.0, timesteps:537
21 Result (1->win; 0->lose):0, Score:18.0, timesteps:669
22 Result (1->win; 0->lose):0, Score:4.0, timesteps:354
23 Result (1->win; 0->lose):0, Score:10.0, timesteps:353
24 Result (1->win; 0->lose):0, Score:20.0, timesteps:507
25 Result (1->win; 0->lose):0, Score:40.0, timesteps:1000
26 Result (1->win; 0->lose):0, Score:6.0, timesteps:486
27 Result (1->win; 0->lose):0, Score:10.0, timesteps:667
28 Result (1->win; 0->lose):0, Score:2.0, timesteps:332
29 Result (1->win; 0->lose):0, Score:4.0, timesteps:328
30 Result (1->win; 0->lose):0, Score:8.0, timesteps:404
31 Result (1->win; 0->lose):0, Score:14.0, timesteps:379
32 Result (1->win; 0->lose):0, Score:8.0, timesteps:410
