 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
100 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
101 Result (1->win; 0->lose):0, Score:5.0, timesteps:668
102 Result (1->win; 0->lose):1, Score:7.0, timesteps:1000
103 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
104 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
105 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
106 Result (1->win; 0->lose):0, Score:3.0, timesteps:290
107 Result (1->win; 0->lose):0, Score:9.0, timesteps:670
108 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
109 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
110 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
111 Result (1->win; 0->lose):0, Score:1.0, timesteps:265
112 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
113 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
114 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
115 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
116 Result (1->win; 0->lose):0, Score:5.0, timesteps:559
117 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
118 Result (1->win; 0->lose):0, Score:5.0, timesteps:735
119 Result (1->win; 0->lose):0, Score:10.0, timesteps:579
120 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
121 Result (1->win; 0->lose):0, Score:3.0, timesteps:115
122 Result (1->win; 0->lose):0, Score:5.0, timesteps:529
123 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
124 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
125 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
126 Result (1->win; 0->lose):1, Score:3.0, timesteps:1000
127 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
128 Result (1->win; 0->lose):0, Score:13.0, timesteps:573
129 Result (1->win; 0->lose):0, Score:9.0, timesteps:515
130 Result (1->win; 0->lose):1, Score:11.0, timesteps:1000
131 Result (1->win; 0->lose):1, Score:8.0, timesteps:1000
132 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
133 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
134 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
135 Result (1->win; 0->lose):1, Score:9.0, timesteps:1000
136 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
137 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
138 Result (1->win; 0->lose):1, Score:10.0, timesteps:1000
139 Result (1->win; 0->lose):1, Score:6.0, timesteps:1000
140 Result (1->win; 0->lose):0, Score:9.0, timesteps:603
