 ** Playing game examples/gridphysics/survivezombies.txt, level examples/gridphysics/survivezombies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:7.0, timesteps:229
1 Result (1->win; 0->lose):0, Score:1.0, timesteps:173
2 Result (1->win; 0->lose):0, Score:1.0, timesteps:209
3 Result (1->win; 0->lose):1, Score:5.0, timesteps:1000
4 Result (1->win; 0->lose):0, Score:5.0, timesteps:317
5 Result (1->win; 0->lose):0, Score:9.0, timesteps:226
6 Result (1->win; 0->lose):0, Score:4.0, timesteps:27
7 Result (1->win; 0->lose):0, Score:2.0, timesteps:19
8 Result (1->win; 0->lose):0, Score:1.0, timesteps:263
9 Result (1->win; 0->lose):0, Score:3.0, timesteps:22
10 Result (1->win; 0->lose):0, Score:5.0, timesteps:348
11 Result (1->win; 0->lose):0, Score:1.0, timesteps:389
12 Result (1->win; 0->lose):0, Score:0.0, timesteps:209
13 Result (1->win; 0->lose):0, Score:9.0, timesteps:232
14 Result (1->win; 0->lose):0, Score:2.0, timesteps:15
15 Result (1->win; 0->lose):0, Score:9.0, timesteps:423
16 Result (1->win; 0->lose):0, Score:2.0, timesteps:15
17 Result (1->win; 0->lose):0, Score:0.0, timesteps:305
18 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
19 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
20 Result (1->win; 0->lose):0, Score:3.0, timesteps:503
21 Result (1->win; 0->lose):0, Score:1.0, timesteps:389
22 Result (1->win; 0->lose):0, Score:1.0, timesteps:527
23 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
24 Result (1->win; 0->lose):0, Score:0.0, timesteps:209
25 Result (1->win; 0->lose):0, Score:7.0, timesteps:252
26 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
27 Result (1->win; 0->lose):0, Score:0.0, timesteps:209
28 Result (1->win; 0->lose):0, Score:1.0, timesteps:185
29 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
30 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:1.0, timesteps:377
32 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:3.0, timesteps:62
34 Result (1->win; 0->lose):0, Score:3.0, timesteps:117
35 Result (1->win; 0->lose):0, Score:1.0, timesteps:329
36 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
37 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:1.0, timesteps:311
39 Result (1->win; 0->lose):0, Score:1.0, timesteps:239
40 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
41 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
42 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
43 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
44 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
45 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:0.0, timesteps:209
47 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
48 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
49 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
50 Result (1->win; 0->lose):0, Score:1.0, timesteps:371
51 Result (1->win; 0->lose):0, Score:1.0, timesteps:341
52 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
53 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
54 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
55 Result (1->win; 0->lose):0, Score:1.0, timesteps:404
56 Result (1->win; 0->lose):1, Score:1.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:1.0, timesteps:338
58 Result (1->win; 0->lose):1, Score:2.0, timesteps:1000
