 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:41.0, timesteps:370
1 Result (1->win; 0->lose):0, Score:13.0, timesteps:403
2 Result (1->win; 0->lose):0, Score:18.0, timesteps:506
3 Result (1->win; 0->lose):0, Score:25.0, timesteps:828
4 Result (1->win; 0->lose):0, Score:4.0, timesteps:178
5 Result (1->win; 0->lose):0, Score:34.0, timesteps:319
6 Result (1->win; 0->lose):0, Score:2.0, timesteps:537
7 Result (1->win; 0->lose):0, Score:25.0, timesteps:409
8 Result (1->win; 0->lose):1, Score:54.0, timesteps:788
9 Result (1->win; 0->lose):0, Score:17.0, timesteps:358
10 Result (1->win; 0->lose):0, Score:42.0, timesteps:849
11 Result (1->win; 0->lose):1, Score:45.0, timesteps:464
12 Result (1->win; 0->lose):1, Score:45.0, timesteps:723
13 Result (1->win; 0->lose):0, Score:48.0, timesteps:762
14 Result (1->win; 0->lose):0, Score:2.0, timesteps:710
15 Result (1->win; 0->lose):1, Score:57.0, timesteps:592
16 Result (1->win; 0->lose):0, Score:2.0, timesteps:537
17 Result (1->win; 0->lose):1, Score:46.0, timesteps:460
18 Result (1->win; 0->lose):0, Score:13.0, timesteps:397
19 Result (1->win; 0->lose):0, Score:28.0, timesteps:674
20 Result (1->win; 0->lose):0, Score:34.0, timesteps:762
21 Result (1->win; 0->lose):0, Score:29.0, timesteps:615
22 Result (1->win; 0->lose):0, Score:39.0, timesteps:768
23 Result (1->win; 0->lose):0, Score:34.0, timesteps:714
24 Result (1->win; 0->lose):1, Score:52.0, timesteps:661
25 Result (1->win; 0->lose):1, Score:50.0, timesteps:725
26 Result (1->win; 0->lose):0, Score:1.0, timesteps:696
27 Result (1->win; 0->lose):1, Score:44.0, timesteps:702
28 Result (1->win; 0->lose):0, Score:19.0, timesteps:484
29 Result (1->win; 0->lose):0, Score:53.0, timesteps:794
30 Result (1->win; 0->lose):1, Score:45.0, timesteps:384
31 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
32 Result (1->win; 0->lose):1, Score:47.0, timesteps:645
33 Result (1->win; 0->lose):1, Score:42.0, timesteps:362
34 Result (1->win; 0->lose):1, Score:42.0, timesteps:434
35 Result (1->win; 0->lose):0, Score:35.0, timesteps:812
36 Result (1->win; 0->lose):1, Score:48.0, timesteps:675
37 Result (1->win; 0->lose):1, Score:51.0, timesteps:882
38 Result (1->win; 0->lose):0, Score:42.0, timesteps:876
39 Result (1->win; 0->lose):1, Score:49.0, timesteps:660
40 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
41 Result (1->win; 0->lose):0, Score:3.0, timesteps:603
42 Result (1->win; 0->lose):0, Score:16.0, timesteps:403
43 Result (1->win; 0->lose):0, Score:1.0, timesteps:812
44 Result (1->win; 0->lose):0, Score:49.0, timesteps:828
45 Result (1->win; 0->lose):0, Score:49.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:3.0, timesteps:358
47 Result (1->win; 0->lose):0, Score:29.0, timesteps:846
48 Result (1->win; 0->lose):0, Score:1.0, timesteps:555
49 Result (1->win; 0->lose):1, Score:42.0, timesteps:434
50 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
51 Result (1->win; 0->lose):0, Score:41.0, timesteps:1000
52 Result (1->win; 0->lose):1, Score:60.0, timesteps:582
53 Result (1->win; 0->lose):0, Score:43.0, timesteps:1000
54 Result (1->win; 0->lose):0, Score:33.0, timesteps:746
55 Result (1->win; 0->lose):1, Score:44.0, timesteps:456
56 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
57 Result (1->win; 0->lose):0, Score:36.0, timesteps:812
58 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
59 Result (1->win; 0->lose):0, Score:40.0, timesteps:699
60 Result (1->win; 0->lose):0, Score:59.0, timesteps:1000
61 Result (1->win; 0->lose):1, Score:44.0, timesteps:663
62 Result (1->win; 0->lose):1, Score:42.0, timesteps:450
63 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
64 Result (1->win; 0->lose):0, Score:53.0, timesteps:956
65 Result (1->win; 0->lose):0, Score:9.0, timesteps:226
66 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
67 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
68 Result (1->win; 0->lose):0, Score:37.0, timesteps:924
69 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
70 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
71 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
72 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
73 Result (1->win; 0->lose):0, Score:36.0, timesteps:834
74 Result (1->win; 0->lose):1, Score:51.0, timesteps:714
75 Result (1->win; 0->lose):0, Score:19.0, timesteps:698
76 Result (1->win; 0->lose):1, Score:43.0, timesteps:502
77 Result (1->win; 0->lose):0, Score:42.0, timesteps:778
