 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:49
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:79
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:39
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
11 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
13 Result (1->win; 0->lose):0, Score:1.0, timesteps:319
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:67
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
20 Result (1->win; 0->lose):0, Score:1.0, timesteps:311
21 Result (1->win; 0->lose):0, Score:1.0, timesteps:523
22 Result (1->win; 0->lose):0, Score:1.0, timesteps:515
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
24 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
26 Result (1->win; 0->lose):0, Score:1.0, timesteps:323
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:39
30 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
31 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
32 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
33 Result (1->win; 0->lose):0, Score:-1.0, timesteps:55
34 Result (1->win; 0->lose):0, Score:1.0, timesteps:319
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:55
37 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
39 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
40 Result (1->win; 0->lose):0, Score:1.0, timesteps:327
41 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
43 Result (1->win; 0->lose):0, Score:-1.0, timesteps:543
44 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
45 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
46 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
47 Result (1->win; 0->lose):0, Score:-1.0, timesteps:55
48 Result (1->win; 0->lose):0, Score:-1.0, timesteps:67
49 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
50 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
51 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
52 Result (1->win; 0->lose):0, Score:1.0, timesteps:495
53 Result (1->win; 0->lose):0, Score:1.0, timesteps:319
54 Result (1->win; 0->lose):0, Score:1.0, timesteps:287
55 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
56 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
57 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
58 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
59 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
60 Result (1->win; 0->lose):0, Score:1.0, timesteps:315
61 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
62 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
64 Result (1->win; 0->lose):0, Score:1.0, timesteps:227
65 Result (1->win; 0->lose):0, Score:3.0, timesteps:527
66 Result (1->win; 0->lose):0, Score:1.0, timesteps:519
67 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
68 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
69 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
71 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
72 Result (1->win; 0->lose):0, Score:1.0, timesteps:435
73 Result (1->win; 0->lose):0, Score:-1.0, timesteps:79
74 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
75 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
76 Result (1->win; 0->lose):0, Score:-1.0, timesteps:67
77 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
78 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
79 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
80 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
81 Result (1->win; 0->lose):0, Score:-1.0, timesteps:55
82 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
83 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
84 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
85 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
86 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
87 Result (1->win; 0->lose):0, Score:-1.0, timesteps:39
88 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
89 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
90 Result (1->win; 0->lose):0, Score:-1.0, timesteps:67
91 Result (1->win; 0->lose):0, Score:3.0, timesteps:309
92 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
93 Result (1->win; 0->lose):0, Score:-1.0, timesteps:55
94 Result (1->win; 0->lose):0, Score:1.0, timesteps:47
95 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
96 Result (1->win; 0->lose):0, Score:1.0, timesteps:259
97 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
98 Result (1->win; 0->lose):0, Score:-1.0, timesteps:67
99 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
100 Result (1->win; 0->lose):0, Score:1.0, timesteps:459
101 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
102 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
103 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
105 Result (1->win; 0->lose):0, Score:1.0, timesteps:335
106 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:-1.0, timesteps:55
108 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
109 Result (1->win; 0->lose):0, Score:1.0, timesteps:315
110 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
111 Result (1->win; 0->lose):0, Score:1.0, timesteps:319
112 Result (1->win; 0->lose):0, Score:1.0, timesteps:488
113 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
114 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
115 Result (1->win; 0->lose):0, Score:-1.0, timesteps:55
116 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
117 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
118 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
119 Result (1->win; 0->lose):0, Score:1.0, timesteps:319
120 Result (1->win; 0->lose):0, Score:1.0, timesteps:315
121 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
122 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
123 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
124 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
125 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
126 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
127 Result (1->win; 0->lose):0, Score:-1.0, timesteps:55
128 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
129 Result (1->win; 0->lose):0, Score:1.0, timesteps:487
130 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
131 Result (1->win; 0->lose):0, Score:1.0, timesteps:335
132 Result (1->win; 0->lose):0, Score:-1.0, timesteps:555
133 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
134 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
135 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
136 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
137 Result (1->win; 0->lose):0, Score:-1.0, timesteps:59
