 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:54.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:15.0, timesteps:825
2 Result (1->win; 0->lose):0, Score:-1.0, timesteps:274
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:517
4 Result (1->win; 0->lose):0, Score:37.0, timesteps:860
5 Result (1->win; 0->lose):0, Score:27.0, timesteps:301
6 Result (1->win; 0->lose):0, Score:58.0, timesteps:988
7 Result (1->win; 0->lose):0, Score:21.0, timesteps:746
8 Result (1->win; 0->lose):0, Score:2.0, timesteps:274
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:749
10 Result (1->win; 0->lose):0, Score:11.0, timesteps:828
11 Result (1->win; 0->lose):0, Score:29.0, timesteps:496
12 Result (1->win; 0->lose):0, Score:7.0, timesteps:406
13 Result (1->win; 0->lose):0, Score:16.0, timesteps:698
14 Result (1->win; 0->lose):0, Score:11.0, timesteps:142
15 Result (1->win; 0->lose):0, Score:21.0, timesteps:366
16 Result (1->win; 0->lose):0, Score:-1.0, timesteps:274
17 Result (1->win; 0->lose):0, Score:7.0, timesteps:758
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:274
19 Result (1->win; 0->lose):1, Score:45.0, timesteps:666
20 Result (1->win; 0->lose):0, Score:37.0, timesteps:730
21 Result (1->win; 0->lose):0, Score:10.0, timesteps:436
22 Result (1->win; 0->lose):0, Score:41.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:274
24 Result (1->win; 0->lose):0, Score:7.0, timesteps:292
25 Result (1->win; 0->lose):1, Score:53.0, timesteps:867
26 Result (1->win; 0->lose):0, Score:6.0, timesteps:226
27 Result (1->win; 0->lose):0, Score:27.0, timesteps:331
28 Result (1->win; 0->lose):1, Score:49.0, timesteps:893
29 Result (1->win; 0->lose):1, Score:42.0, timesteps:809
30 Result (1->win; 0->lose):1, Score:48.0, timesteps:548
31 Result (1->win; 0->lose):0, Score:28.0, timesteps:391
32 Result (1->win; 0->lose):1, Score:43.0, timesteps:677
33 Result (1->win; 0->lose):0, Score:35.0, timesteps:762
34 Result (1->win; 0->lose):0, Score:0.0, timesteps:517
35 Result (1->win; 0->lose):1, Score:45.0, timesteps:793
36 Result (1->win; 0->lose):0, Score:6.0, timesteps:340
37 Result (1->win; 0->lose):0, Score:37.0, timesteps:778
38 Result (1->win; 0->lose):0, Score:23.0, timesteps:271
39 Result (1->win; 0->lose):0, Score:25.0, timesteps:747
40 Result (1->win; 0->lose):0, Score:47.0, timesteps:858
41 Result (1->win; 0->lose):0, Score:49.0, timesteps:986
42 Result (1->win; 0->lose):0, Score:7.0, timesteps:127
43 Result (1->win; 0->lose):0, Score:7.0, timesteps:127
44 Result (1->win; 0->lose):0, Score:7.0, timesteps:127
45 Result (1->win; 0->lose):0, Score:35.0, timesteps:681
46 Result (1->win; 0->lose):0, Score:39.0, timesteps:851
47 Result (1->win; 0->lose):1, Score:57.0, timesteps:866
48 Result (1->win; 0->lose):0, Score:7.0, timesteps:127
49 Result (1->win; 0->lose):0, Score:7.0, timesteps:127
50 Result (1->win; 0->lose):0, Score:52.0, timesteps:924
51 Result (1->win; 0->lose):1, Score:42.0, timesteps:465
52 Result (1->win; 0->lose):1, Score:46.0, timesteps:644
53 Result (1->win; 0->lose):0, Score:49.0, timesteps:1000
54 Result (1->win; 0->lose):1, Score:42.0, timesteps:466
55 Result (1->win; 0->lose):0, Score:7.0, timesteps:127
56 Result (1->win; 0->lose):0, Score:7.0, timesteps:127
57 Result (1->win; 0->lose):0, Score:45.0, timesteps:892
58 Result (1->win; 0->lose):1, Score:55.0, timesteps:782
59 Result (1->win; 0->lose):0, Score:7.0, timesteps:127
60 Result (1->win; 0->lose):1, Score:42.0, timesteps:465
61 Result (1->win; 0->lose):0, Score:22.0, timesteps:698
62 Result (1->win; 0->lose):0, Score:22.0, timesteps:486
63 Result (1->win; 0->lose):0, Score:16.0, timesteps:217
64 Result (1->win; 0->lose):0, Score:10.0, timesteps:600
65 Result (1->win; 0->lose):0, Score:1.0, timesteps:274
66 Result (1->win; 0->lose):0, Score:31.0, timesteps:681
67 Result (1->win; 0->lose):0, Score:57.0, timesteps:828
68 Result (1->win; 0->lose):0, Score:49.0, timesteps:867
69 Result (1->win; 0->lose):0, Score:0.0, timesteps:274
70 Result (1->win; 0->lose):1, Score:50.0, timesteps:834
71 Result (1->win; 0->lose):1, Score:43.0, timesteps:677
