 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:12.0, timesteps:828
1 Result (1->win; 0->lose):0, Score:20.0, timesteps:235
2 Result (1->win; 0->lose):0, Score:37.0, timesteps:469
3 Result (1->win; 0->lose):0, Score:18.0, timesteps:812
4 Result (1->win; 0->lose):0, Score:27.0, timesteps:764
5 Result (1->win; 0->lose):0, Score:13.0, timesteps:516
6 Result (1->win; 0->lose):1, Score:53.0, timesteps:596
7 Result (1->win; 0->lose):0, Score:5.0, timesteps:163
8 Result (1->win; 0->lose):0, Score:33.0, timesteps:803
9 Result (1->win; 0->lose):0, Score:4.0, timesteps:244
10 Result (1->win; 0->lose):0, Score:5.0, timesteps:169
11 Result (1->win; 0->lose):0, Score:3.0, timesteps:226
12 Result (1->win; 0->lose):0, Score:5.0, timesteps:812
13 Result (1->win; 0->lose):0, Score:1.0, timesteps:244
14 Result (1->win; 0->lose):0, Score:16.0, timesteps:606
15 Result (1->win; 0->lose):0, Score:5.0, timesteps:268
16 Result (1->win; 0->lose):0, Score:8.0, timesteps:698
17 Result (1->win; 0->lose):0, Score:17.0, timesteps:265
18 Result (1->win; 0->lose):0, Score:3.0, timesteps:163
19 Result (1->win; 0->lose):0, Score:5.0, timesteps:324
20 Result (1->win; 0->lose):0, Score:22.0, timesteps:787
21 Result (1->win; 0->lose):0, Score:8.0, timesteps:405
22 Result (1->win; 0->lose):0, Score:1.0, timesteps:280
23 Result (1->win; 0->lose):0, Score:13.0, timesteps:714
24 Result (1->win; 0->lose):0, Score:6.0, timesteps:698
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:325
26 Result (1->win; 0->lose):0, Score:45.0, timesteps:812
27 Result (1->win; 0->lose):0, Score:27.0, timesteps:804
28 Result (1->win; 0->lose):0, Score:53.0, timesteps:755
29 Result (1->win; 0->lose):0, Score:6.0, timesteps:355
30 Result (1->win; 0->lose):0, Score:14.0, timesteps:175
31 Result (1->win; 0->lose):1, Score:50.0, timesteps:726
32 Result (1->win; 0->lose):0, Score:29.0, timesteps:268
33 Result (1->win; 0->lose):1, Score:61.0, timesteps:678
34 Result (1->win; 0->lose):0, Score:29.0, timesteps:268
35 Result (1->win; 0->lose):0, Score:31.0, timesteps:786
36 Result (1->win; 0->lose):0, Score:17.0, timesteps:379
37 Result (1->win; 0->lose):0, Score:39.0, timesteps:848
38 Result (1->win; 0->lose):0, Score:21.0, timesteps:202
39 Result (1->win; 0->lose):0, Score:12.0, timesteps:136
40 Result (1->win; 0->lose):0, Score:40.0, timesteps:370
41 Result (1->win; 0->lose):0, Score:30.0, timesteps:434
42 Result (1->win; 0->lose):0, Score:25.0, timesteps:310
43 Result (1->win; 0->lose):0, Score:11.0, timesteps:98
44 Result (1->win; 0->lose):0, Score:2.0, timesteps:259
45 Result (1->win; 0->lose):0, Score:17.0, timesteps:828
46 Result (1->win; 0->lose):0, Score:4.0, timesteps:163
47 Result (1->win; 0->lose):0, Score:46.0, timesteps:746
48 Result (1->win; 0->lose):0, Score:8.0, timesteps:211
49 Result (1->win; 0->lose):0, Score:36.0, timesteps:457
50 Result (1->win; 0->lose):1, Score:53.0, timesteps:542
51 Result (1->win; 0->lose):0, Score:8.0, timesteps:514
52 Result (1->win; 0->lose):0, Score:16.0, timesteps:585
53 Result (1->win; 0->lose):0, Score:1.0, timesteps:166
54 Result (1->win; 0->lose):0, Score:11.0, timesteps:698
55 Result (1->win; 0->lose):0, Score:16.0, timesteps:415
56 Result (1->win; 0->lose):0, Score:23.0, timesteps:232
57 Result (1->win; 0->lose):0, Score:13.0, timesteps:633
58 Result (1->win; 0->lose):0, Score:18.0, timesteps:483
59 Result (1->win; 0->lose):0, Score:19.0, timesteps:583
60 Result (1->win; 0->lose):0, Score:3.0, timesteps:698
61 Result (1->win; 0->lose):0, Score:47.0, timesteps:771
62 Result (1->win; 0->lose):1, Score:55.0, timesteps:668
63 Result (1->win; 0->lose):0, Score:31.0, timesteps:762
64 Result (1->win; 0->lose):0, Score:30.0, timesteps:379
65 Result (1->win; 0->lose):0, Score:16.0, timesteps:730
66 Result (1->win; 0->lose):0, Score:5.0, timesteps:295
67 Result (1->win; 0->lose):0, Score:20.0, timesteps:226
68 Result (1->win; 0->lose):0, Score:19.0, timesteps:421
69 Result (1->win; 0->lose):0, Score:9.0, timesteps:145
70 Result (1->win; 0->lose):0, Score:49.0, timesteps:583
71 Result (1->win; 0->lose):0, Score:7.0, timesteps:154
72 Result (1->win; 0->lose):0, Score:42.0, timesteps:480
73 Result (1->win; 0->lose):0, Score:9.0, timesteps:259
74 Result (1->win; 0->lose):0, Score:38.0, timesteps:730
75 Result (1->win; 0->lose):0, Score:28.0, timesteps:289
76 Result (1->win; 0->lose):1, Score:60.0, timesteps:714
77 Result (1->win; 0->lose):0, Score:4.0, timesteps:271
78 Result (1->win; 0->lose):0, Score:5.0, timesteps:85
79 Result (1->win; 0->lose):0, Score:7.0, timesteps:157
80 Result (1->win; 0->lose):1, Score:54.0, timesteps:751
81 Result (1->win; 0->lose):1, Score:49.0, timesteps:591
82 Result (1->win; 0->lose):0, Score:24.0, timesteps:698
83 Result (1->win; 0->lose):0, Score:50.0, timesteps:897
84 Result (1->win; 0->lose):0, Score:27.0, timesteps:301
85 Result (1->win; 0->lose):1, Score:55.0, timesteps:766
86 Result (1->win; 0->lose):1, Score:47.0, timesteps:719
87 Result (1->win; 0->lose):0, Score:49.0, timesteps:965
88 Result (1->win; 0->lose):0, Score:34.0, timesteps:301
89 Result (1->win; 0->lose):0, Score:47.0, timesteps:1000
90 Result (1->win; 0->lose):0, Score:24.0, timesteps:265
91 Result (1->win; 0->lose):0, Score:30.0, timesteps:328
92 Result (1->win; 0->lose):0, Score:27.0, timesteps:335
93 Result (1->win; 0->lose):0, Score:32.0, timesteps:730
94 Result (1->win; 0->lose):1, Score:58.0, timesteps:708
95 Result (1->win; 0->lose):0, Score:38.0, timesteps:876
96 Result (1->win; 0->lose):0, Score:48.0, timesteps:555
97 Result (1->win; 0->lose):1, Score:51.0, timesteps:615
98 Result (1->win; 0->lose):0, Score:36.0, timesteps:328
99 Result (1->win; 0->lose):1, Score:50.0, timesteps:616
100 Result (1->win; 0->lose):0, Score:13.0, timesteps:169
101 Result (1->win; 0->lose):1, Score:54.0, timesteps:767
102 Result (1->win; 0->lose):1, Score:49.0, timesteps:594
103 Result (1->win; 0->lose):0, Score:8.0, timesteps:97
104 Result (1->win; 0->lose):0, Score:49.0, timesteps:618
105 Result (1->win; 0->lose):1, Score:51.0, timesteps:770
106 Result (1->win; 0->lose):1, Score:58.0, timesteps:815
107 Result (1->win; 0->lose):0, Score:4.0, timesteps:97
108 Result (1->win; 0->lose):0, Score:42.0, timesteps:794
109 Result (1->win; 0->lose):0, Score:5.0, timesteps:85
110 Result (1->win; 0->lose):0, Score:41.0, timesteps:310
111 Result (1->win; 0->lose):0, Score:27.0, timesteps:340
112 Result (1->win; 0->lose):1, Score:50.0, timesteps:714
113 Result (1->win; 0->lose):0, Score:16.0, timesteps:172
114 Result (1->win; 0->lose):0, Score:8.0, timesteps:151
115 Result (1->win; 0->lose):0, Score:39.0, timesteps:519
116 Result (1->win; 0->lose):0, Score:11.0, timesteps:133
117 Result (1->win; 0->lose):0, Score:50.0, timesteps:821
118 Result (1->win; 0->lose):0, Score:13.0, timesteps:181
119 Result (1->win; 0->lose):1, Score:50.0, timesteps:875
120 Result (1->win; 0->lose):0, Score:20.0, timesteps:275
