 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
101 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
102 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
103 Result (1->win; 0->lose):1, Score:51.0, timesteps:701
104 Result (1->win; 0->lose):0, Score:25.0, timesteps:730
105 Result (1->win; 0->lose):0, Score:45.0, timesteps:970
106 Result (1->win; 0->lose):1, Score:45.0, timesteps:666
107 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
108 Result (1->win; 0->lose):0, Score:27.0, timesteps:828
109 Result (1->win; 0->lose):0, Score:15.0, timesteps:322
110 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
111 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
112 Result (1->win; 0->lose):0, Score:29.0, timesteps:283
113 Result (1->win; 0->lose):0, Score:46.0, timesteps:1000
114 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
115 Result (1->win; 0->lose):0, Score:17.0, timesteps:844
116 Result (1->win; 0->lose):0, Score:35.0, timesteps:985
117 Result (1->win; 0->lose):0, Score:49.0, timesteps:922
118 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
119 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
120 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
121 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
122 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
123 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
124 Result (1->win; 0->lose):0, Score:40.0, timesteps:519
125 Result (1->win; 0->lose):0, Score:15.0, timesteps:160
126 Result (1->win; 0->lose):0, Score:37.0, timesteps:367
127 Result (1->win; 0->lose):0, Score:49.0, timesteps:1000
128 Result (1->win; 0->lose):0, Score:12.0, timesteps:532
129 Result (1->win; 0->lose):0, Score:41.0, timesteps:418
130 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
131 Result (1->win; 0->lose):0, Score:1.0, timesteps:340
132 Result (1->win; 0->lose):0, Score:23.0, timesteps:615
133 Result (1->win; 0->lose):0, Score:37.0, timesteps:798
134 Result (1->win; 0->lose):0, Score:3.0, timesteps:517
135 Result (1->win; 0->lose):1, Score:42.0, timesteps:476
136 Result (1->win; 0->lose):0, Score:6.0, timesteps:247
137 Result (1->win; 0->lose):0, Score:13.0, timesteps:235
138 Result (1->win; 0->lose):1, Score:50.0, timesteps:473
139 Result (1->win; 0->lose):0, Score:40.0, timesteps:986
140 Result (1->win; 0->lose):0, Score:41.0, timesteps:960
141 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
142 Result (1->win; 0->lose):0, Score:50.0, timesteps:972
143 Result (1->win; 0->lose):0, Score:1.0, timesteps:103
144 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
145 Result (1->win; 0->lose):1, Score:46.0, timesteps:528
146 Result (1->win; 0->lose):1, Score:44.0, timesteps:730
147 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
148 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
149 Result (1->win; 0->lose):1, Score:52.0, timesteps:659
150 Result (1->win; 0->lose):0, Score:37.0, timesteps:660
151 Result (1->win; 0->lose):0, Score:57.0, timesteps:810
152 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
153 Result (1->win; 0->lose):0, Score:23.0, timesteps:698
154 Result (1->win; 0->lose):0, Score:35.0, timesteps:781
155 Result (1->win; 0->lose):0, Score:24.0, timesteps:325
156 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
157 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
158 Result (1->win; 0->lose):0, Score:41.0, timesteps:544
159 Result (1->win; 0->lose):0, Score:50.0, timesteps:1000
160 Result (1->win; 0->lose):0, Score:54.0, timesteps:842
161 Result (1->win; 0->lose):1, Score:59.0, timesteps:632
162 Result (1->win; 0->lose):0, Score:36.0, timesteps:816
163 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
164 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
165 Result (1->win; 0->lose):0, Score:23.0, timesteps:471
166 Result (1->win; 0->lose):0, Score:56.0, timesteps:970
167 Result (1->win; 0->lose):0, Score:8.0, timesteps:698
168 Result (1->win; 0->lose):1, Score:44.0, timesteps:523
169 Result (1->win; 0->lose):0, Score:5.0, timesteps:70
170 Result (1->win; 0->lose):0, Score:37.0, timesteps:812
171 Result (1->win; 0->lose):0, Score:33.0, timesteps:247
172 Result (1->win; 0->lose):0, Score:32.0, timesteps:349
173 Result (1->win; 0->lose):0, Score:20.0, timesteps:241
174 Result (1->win; 0->lose):1, Score:44.0, timesteps:486
175 Result (1->win; 0->lose):1, Score:61.0, timesteps:520
176 Result (1->win; 0->lose):0, Score:37.0, timesteps:822
177 Result (1->win; 0->lose):1, Score:58.0, timesteps:734
178 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
179 Result (1->win; 0->lose):0, Score:45.0, timesteps:794
180 Result (1->win; 0->lose):1, Score:49.0, timesteps:552
181 Result (1->win; 0->lose):0, Score:46.0, timesteps:984
182 Result (1->win; 0->lose):0, Score:11.0, timesteps:106
183 Result (1->win; 0->lose):0, Score:7.0, timesteps:70
184 Result (1->win; 0->lose):0, Score:15.0, timesteps:265
185 Result (1->win; 0->lose):0, Score:2.0, timesteps:340
186 Result (1->win; 0->lose):0, Score:22.0, timesteps:278
187 Result (1->win; 0->lose):0, Score:7.0, timesteps:160
188 Result (1->win; 0->lose):0, Score:32.0, timesteps:292
189 Result (1->win; 0->lose):0, Score:47.0, timesteps:684
190 Result (1->win; 0->lose):1, Score:42.0, timesteps:434
191 Result (1->win; 0->lose):0, Score:46.0, timesteps:778
192 Result (1->win; 0->lose):0, Score:20.0, timesteps:294
193 Result (1->win; 0->lose):0, Score:-1.0, timesteps:70
194 Result (1->win; 0->lose):1, Score:47.0, timesteps:466
195 Result (1->win; 0->lose):0, Score:31.0, timesteps:828
196 Result (1->win; 0->lose):0, Score:29.0, timesteps:568
197 Result (1->win; 0->lose):0, Score:40.0, timesteps:730
198 Result (1->win; 0->lose):0, Score:5.0, timesteps:145
199 Result (1->win; 0->lose):0, Score:39.0, timesteps:768
200 Result (1->win; 0->lose):0, Score:47.0, timesteps:862
201 Result (1->win; 0->lose):0, Score:37.0, timesteps:851
202 Result (1->win; 0->lose):0, Score:4.0, timesteps:103
203 Result (1->win; 0->lose):0, Score:51.0, timesteps:633
204 Result (1->win; 0->lose):0, Score:53.0, timesteps:954
205 Result (1->win; 0->lose):1, Score:53.0, timesteps:703
206 Result (1->win; 0->lose):0, Score:36.0, timesteps:762
207 Result (1->win; 0->lose):1, Score:50.0, timesteps:824
208 Result (1->win; 0->lose):0, Score:39.0, timesteps:771
209 Result (1->win; 0->lose):0, Score:41.0, timesteps:696
210 Result (1->win; 0->lose):0, Score:19.0, timesteps:241
