 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:15.0, timesteps:812
1 Result (1->win; 0->lose):0, Score:5.0, timesteps:278
2 Result (1->win; 0->lose):0, Score:18.0, timesteps:468
3 Result (1->win; 0->lose):1, Score:51.0, timesteps:587
4 Result (1->win; 0->lose):0, Score:40.0, timesteps:832
5 Result (1->win; 0->lose):0, Score:12.0, timesteps:528
6 Result (1->win; 0->lose):0, Score:36.0, timesteps:340
7 Result (1->win; 0->lose):0, Score:9.0, timesteps:535
8 Result (1->win; 0->lose):0, Score:27.0, timesteps:813
9 Result (1->win; 0->lose):0, Score:18.0, timesteps:812
10 Result (1->win; 0->lose):1, Score:51.0, timesteps:579
11 Result (1->win; 0->lose):0, Score:13.0, timesteps:550
12 Result (1->win; 0->lose):0, Score:17.0, timesteps:334
13 Result (1->win; 0->lose):0, Score:23.0, timesteps:770
14 Result (1->win; 0->lose):0, Score:10.0, timesteps:316
15 Result (1->win; 0->lose):0, Score:29.0, timesteps:349
16 Result (1->win; 0->lose):0, Score:9.0, timesteps:169
17 Result (1->win; 0->lose):0, Score:11.0, timesteps:142
18 Result (1->win; 0->lose):0, Score:45.0, timesteps:956
19 Result (1->win; 0->lose):0, Score:9.0, timesteps:403
20 Result (1->win; 0->lose):1, Score:49.0, timesteps:532
21 Result (1->win; 0->lose):0, Score:12.0, timesteps:160
22 Result (1->win; 0->lose):1, Score:51.0, timesteps:727
23 Result (1->win; 0->lose):0, Score:27.0, timesteps:844
24 Result (1->win; 0->lose):0, Score:9.0, timesteps:416
25 Result (1->win; 0->lose):0, Score:18.0, timesteps:184
26 Result (1->win; 0->lose):0, Score:20.0, timesteps:325
27 Result (1->win; 0->lose):1, Score:50.0, timesteps:476
28 Result (1->win; 0->lose):0, Score:37.0, timesteps:844
29 Result (1->win; 0->lose):1, Score:55.0, timesteps:715
30 Result (1->win; 0->lose):0, Score:31.0, timesteps:395
31 Result (1->win; 0->lose):0, Score:35.0, timesteps:322
32 Result (1->win; 0->lose):0, Score:7.0, timesteps:130
33 Result (1->win; 0->lose):1, Score:56.0, timesteps:750
34 Result (1->win; 0->lose):0, Score:3.0, timesteps:178
35 Result (1->win; 0->lose):0, Score:4.0, timesteps:97
36 Result (1->win; 0->lose):1, Score:57.0, timesteps:622
37 Result (1->win; 0->lose):0, Score:18.0, timesteps:812
38 Result (1->win; 0->lose):0, Score:8.0, timesteps:151
39 Result (1->win; 0->lose):0, Score:26.0, timesteps:259
40 Result (1->win; 0->lose):0, Score:22.0, timesteps:259
41 Result (1->win; 0->lose):0, Score:10.0, timesteps:97
42 Result (1->win; 0->lose):0, Score:13.0, timesteps:698
43 Result (1->win; 0->lose):0, Score:23.0, timesteps:226
44 Result (1->win; 0->lose):0, Score:54.0, timesteps:705
45 Result (1->win; 0->lose):0, Score:13.0, timesteps:812
46 Result (1->win; 0->lose):0, Score:3.0, timesteps:714
47 Result (1->win; 0->lose):0, Score:38.0, timesteps:496
48 Result (1->win; 0->lose):0, Score:1.0, timesteps:278
49 Result (1->win; 0->lose):0, Score:19.0, timesteps:744
50 Result (1->win; 0->lose):0, Score:39.0, timesteps:618
51 Result (1->win; 0->lose):1, Score:57.0, timesteps:656
52 Result (1->win; 0->lose):0, Score:36.0, timesteps:382
53 Result (1->win; 0->lose):0, Score:9.0, timesteps:130
54 Result (1->win; 0->lose):1, Score:51.0, timesteps:549
55 Result (1->win; 0->lose):1, Score:54.0, timesteps:881
56 Result (1->win; 0->lose):0, Score:27.0, timesteps:280
57 Result (1->win; 0->lose):0, Score:17.0, timesteps:130
58 Result (1->win; 0->lose):0, Score:20.0, timesteps:148
59 Result (1->win; 0->lose):0, Score:57.0, timesteps:922
60 Result (1->win; 0->lose):0, Score:56.0, timesteps:963
61 Result (1->win; 0->lose):0, Score:10.0, timesteps:148
62 Result (1->win; 0->lose):1, Score:56.0, timesteps:772
63 Result (1->win; 0->lose):1, Score:56.0, timesteps:621
64 Result (1->win; 0->lose):0, Score:8.0, timesteps:130
65 Result (1->win; 0->lose):1, Score:53.0, timesteps:594
66 Result (1->win; 0->lose):0, Score:8.0, timesteps:130
67 Result (1->win; 0->lose):0, Score:24.0, timesteps:303
68 Result (1->win; 0->lose):0, Score:20.0, timesteps:232
69 Result (1->win; 0->lose):0, Score:28.0, timesteps:334
70 Result (1->win; 0->lose):1, Score:48.0, timesteps:414
71 Result (1->win; 0->lose):1, Score:56.0, timesteps:697
72 Result (1->win; 0->lose):0, Score:20.0, timesteps:157
73 Result (1->win; 0->lose):1, Score:51.0, timesteps:685
74 Result (1->win; 0->lose):0, Score:35.0, timesteps:358
75 Result (1->win; 0->lose):1, Score:52.0, timesteps:606
76 Result (1->win; 0->lose):0, Score:8.0, timesteps:100
77 Result (1->win; 0->lose):0, Score:54.0, timesteps:951
78 Result (1->win; 0->lose):1, Score:55.0, timesteps:688
79 Result (1->win; 0->lose):1, Score:51.0, timesteps:770
80 Result (1->win; 0->lose):0, Score:15.0, timesteps:193
81 Result (1->win; 0->lose):0, Score:20.0, timesteps:211
82 Result (1->win; 0->lose):0, Score:19.0, timesteps:238
83 Result (1->win; 0->lose):1, Score:56.0, timesteps:756
84 Result (1->win; 0->lose):1, Score:51.0, timesteps:395
85 Result (1->win; 0->lose):0, Score:23.0, timesteps:332
86 Result (1->win; 0->lose):1, Score:48.0, timesteps:481
87 Result (1->win; 0->lose):0, Score:10.0, timesteps:121
88 Result (1->win; 0->lose):1, Score:59.0, timesteps:725
89 Result (1->win; 0->lose):0, Score:20.0, timesteps:220
90 Result (1->win; 0->lose):0, Score:12.0, timesteps:172
91 Result (1->win; 0->lose):1, Score:56.0, timesteps:709
92 Result (1->win; 0->lose):0, Score:24.0, timesteps:325
93 Result (1->win; 0->lose):0, Score:55.0, timesteps:1000
94 Result (1->win; 0->lose):1, Score:51.0, timesteps:772
95 Result (1->win; 0->lose):0, Score:34.0, timesteps:373
96 Result (1->win; 0->lose):1, Score:56.0, timesteps:702
97 Result (1->win; 0->lose):0, Score:20.0, timesteps:262
98 Result (1->win; 0->lose):0, Score:24.0, timesteps:250
99 Result (1->win; 0->lose):0, Score:45.0, timesteps:433
100 Result (1->win; 0->lose):1, Score:53.0, timesteps:503
101 Result (1->win; 0->lose):1, Score:57.0, timesteps:848
102 Result (1->win; 0->lose):0, Score:43.0, timesteps:516
103 Result (1->win; 0->lose):1, Score:57.0, timesteps:945
104 Result (1->win; 0->lose):0, Score:22.0, timesteps:262
105 Result (1->win; 0->lose):0, Score:16.0, timesteps:208
106 Result (1->win; 0->lose):1, Score:50.0, timesteps:729
107 Result (1->win; 0->lose):0, Score:28.0, timesteps:265
108 Result (1->win; 0->lose):0, Score:48.0, timesteps:580
109 Result (1->win; 0->lose):0, Score:41.0, timesteps:355
110 Result (1->win; 0->lose):1, Score:52.0, timesteps:565
111 Result (1->win; 0->lose):1, Score:53.0, timesteps:571
112 Result (1->win; 0->lose):1, Score:60.0, timesteps:741
113 Result (1->win; 0->lose):0, Score:36.0, timesteps:361
114 Result (1->win; 0->lose):1, Score:52.0, timesteps:648
115 Result (1->win; 0->lose):0, Score:20.0, timesteps:202
116 Result (1->win; 0->lose):0, Score:19.0, timesteps:248
117 Result (1->win; 0->lose):0, Score:30.0, timesteps:337
118 Result (1->win; 0->lose):1, Score:50.0, timesteps:587
119 Result (1->win; 0->lose):1, Score:54.0, timesteps:600
120 Result (1->win; 0->lose):0, Score:20.0, timesteps:316
121 Result (1->win; 0->lose):1, Score:59.0, timesteps:611
122 Result (1->win; 0->lose):0, Score:41.0, timesteps:885
123 Result (1->win; 0->lose):0, Score:15.0, timesteps:202
124 Result (1->win; 0->lose):1, Score:57.0, timesteps:521
125 Result (1->win; 0->lose):0, Score:51.0, timesteps:1000
126 Result (1->win; 0->lose):0, Score:8.0, timesteps:325
127 Result (1->win; 0->lose):0, Score:47.0, timesteps:669
128 Result (1->win; 0->lose):0, Score:28.0, timesteps:340
129 Result (1->win; 0->lose):1, Score:48.0, timesteps:385
130 Result (1->win; 0->lose):0, Score:51.0, timesteps:989
131 Result (1->win; 0->lose):0, Score:29.0, timesteps:316
132 Result (1->win; 0->lose):1, Score:53.0, timesteps:570
133 Result (1->win; 0->lose):0, Score:37.0, timesteps:340
134 Result (1->win; 0->lose):0, Score:8.0, timesteps:100
135 Result (1->win; 0->lose):1, Score:50.0, timesteps:669
136 Result (1->win; 0->lose):1, Score:50.0, timesteps:681
137 Result (1->win; 0->lose):0, Score:31.0, timesteps:370
138 Result (1->win; 0->lose):1, Score:55.0, timesteps:661
139 Result (1->win; 0->lose):0, Score:56.0, timesteps:917
140 Result (1->win; 0->lose):0, Score:2.0, timesteps:100
141 Result (1->win; 0->lose):1, Score:56.0, timesteps:603
142 Result (1->win; 0->lose):1, Score:51.0, timesteps:453
143 Result (1->win; 0->lose):0, Score:48.0, timesteps:705
144 Result (1->win; 0->lose):0, Score:9.0, timesteps:121
145 Result (1->win; 0->lose):0, Score:29.0, timesteps:698
146 Result (1->win; 0->lose):1, Score:51.0, timesteps:613
147 Result (1->win; 0->lose):1, Score:54.0, timesteps:723
148 Result (1->win; 0->lose):0, Score:7.0, timesteps:130
149 Result (1->win; 0->lose):0, Score:20.0, timesteps:271
150 Result (1->win; 0->lose):1, Score:59.0, timesteps:926
151 Result (1->win; 0->lose):1, Score:55.0, timesteps:866
152 Result (1->win; 0->lose):1, Score:51.0, timesteps:439
153 Result (1->win; 0->lose):1, Score:56.0, timesteps:630
154 Result (1->win; 0->lose):1, Score:54.0, timesteps:741
155 Result (1->win; 0->lose):0, Score:9.0, timesteps:97
156 Result (1->win; 0->lose):0, Score:54.0, timesteps:1000
157 Result (1->win; 0->lose):0, Score:3.0, timesteps:97
158 Result (1->win; 0->lose):1, Score:55.0, timesteps:533
159 Result (1->win; 0->lose):0, Score:9.0, timesteps:97
160 Result (1->win; 0->lose):0, Score:53.0, timesteps:915
161 Result (1->win; 0->lose):0, Score:42.0, timesteps:453
162 Result (1->win; 0->lose):0, Score:25.0, timesteps:268
163 Result (1->win; 0->lose):0, Score:7.0, timesteps:98
164 Result (1->win; 0->lose):0, Score:8.0, timesteps:130
165 Result (1->win; 0->lose):0, Score:21.0, timesteps:214
166 Result (1->win; 0->lose):0, Score:14.0, timesteps:148
167 Result (1->win; 0->lose):0, Score:32.0, timesteps:280
168 Result (1->win; 0->lose):1, Score:50.0, timesteps:726
169 Result (1->win; 0->lose):1, Score:55.0, timesteps:656
170 Result (1->win; 0->lose):1, Score:55.0, timesteps:728
171 Result (1->win; 0->lose):0, Score:19.0, timesteps:235
172 Result (1->win; 0->lose):1, Score:55.0, timesteps:812
173 Result (1->win; 0->lose):0, Score:16.0, timesteps:195
174 Result (1->win; 0->lose):1, Score:49.0, timesteps:666
175 Result (1->win; 0->lose):0, Score:35.0, timesteps:349
176 Result (1->win; 0->lose):0, Score:51.0, timesteps:981
177 Result (1->win; 0->lose):0, Score:22.0, timesteps:241
178 Result (1->win; 0->lose):1, Score:53.0, timesteps:683
179 Result (1->win; 0->lose):0, Score:18.0, timesteps:142
180 Result (1->win; 0->lose):1, Score:60.0, timesteps:837
181 Result (1->win; 0->lose):1, Score:53.0, timesteps:779
182 Result (1->win; 0->lose):1, Score:56.0, timesteps:646
183 Result (1->win; 0->lose):1, Score:51.0, timesteps:589
184 Result (1->win; 0->lose):1, Score:54.0, timesteps:701
185 Result (1->win; 0->lose):0, Score:32.0, timesteps:418
186 Result (1->win; 0->lose):1, Score:50.0, timesteps:616
187 Result (1->win; 0->lose):1, Score:53.0, timesteps:706
188 Result (1->win; 0->lose):1, Score:52.0, timesteps:702
189 Result (1->win; 0->lose):0, Score:42.0, timesteps:430
190 Result (1->win; 0->lose):0, Score:40.0, timesteps:361
191 Result (1->win; 0->lose):0, Score:49.0, timesteps:740
192 Result (1->win; 0->lose):1, Score:51.0, timesteps:772
193 Result (1->win; 0->lose):0, Score:54.0, timesteps:825
194 Result (1->win; 0->lose):0, Score:26.0, timesteps:292
195 Result (1->win; 0->lose):0, Score:40.0, timesteps:370
196 Result (1->win; 0->lose):0, Score:41.0, timesteps:475
197 Result (1->win; 0->lose):1, Score:50.0, timesteps:632
198 Result (1->win; 0->lose):1, Score:56.0, timesteps:784
199 Result (1->win; 0->lose):1, Score:51.0, timesteps:588
200 Result (1->win; 0->lose):1, Score:54.0, timesteps:517
201 Result (1->win; 0->lose):1, Score:51.0, timesteps:854
202 Result (1->win; 0->lose):0, Score:54.0, timesteps:1000
203 Result (1->win; 0->lose):1, Score:49.0, timesteps:500
204 Result (1->win; 0->lose):0, Score:20.0, timesteps:187
205 Result (1->win; 0->lose):0, Score:59.0, timesteps:941
206 Result (1->win; 0->lose):1, Score:55.0, timesteps:687
207 Result (1->win; 0->lose):1, Score:51.0, timesteps:670
208 Result (1->win; 0->lose):1, Score:58.0, timesteps:693
209 Result (1->win; 0->lose):0, Score:7.0, timesteps:130
210 Result (1->win; 0->lose):1, Score:49.0, timesteps:588
211 Result (1->win; 0->lose):0, Score:63.0, timesteps:1000
212 Result (1->win; 0->lose):0, Score:49.0, timesteps:1000
213 Result (1->win; 0->lose):0, Score:62.0, timesteps:1000
214 Result (1->win; 0->lose):0, Score:14.0, timesteps:163
215 Result (1->win; 0->lose):1, Score:50.0, timesteps:476
216 Result (1->win; 0->lose):0, Score:32.0, timesteps:379
217 Result (1->win; 0->lose):0, Score:44.0, timesteps:755
218 Result (1->win; 0->lose):0, Score:21.0, timesteps:259
219 Result (1->win; 0->lose):0, Score:47.0, timesteps:897
220 Result (1->win; 0->lose):0, Score:48.0, timesteps:795
221 Result (1->win; 0->lose):1, Score:55.0, timesteps:905
222 Result (1->win; 0->lose):0, Score:5.0, timesteps:130
223 Result (1->win; 0->lose):0, Score:22.0, timesteps:187
224 Result (1->win; 0->lose):1, Score:53.0, timesteps:616
225 Result (1->win; 0->lose):1, Score:55.0, timesteps:601
226 Result (1->win; 0->lose):1, Score:59.0, timesteps:523
227 Result (1->win; 0->lose):0, Score:56.0, timesteps:1000
228 Result (1->win; 0->lose):0, Score:10.0, timesteps:121
229 Result (1->win; 0->lose):0, Score:43.0, timesteps:785
230 Result (1->win; 0->lose):1, Score:57.0, timesteps:722
231 Result (1->win; 0->lose):1, Score:54.0, timesteps:609
232 Result (1->win; 0->lose):0, Score:43.0, timesteps:430
233 Result (1->win; 0->lose):1, Score:51.0, timesteps:578
