 ** Playing game examples/gridphysics/aliens.txt, level examples/gridphysics/aliens_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:54.0, timesteps:1000
1 Result (1->win; 0->lose):1, Score:60.0, timesteps:618
2 Result (1->win; 0->lose):0, Score:11.0, timesteps:820
3 Result (1->win; 0->lose):1, Score:51.0, timesteps:935
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:698
5 Result (1->win; 0->lose):0, Score:1.0, timesteps:388
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:436
7 Result (1->win; 0->lose):0, Score:16.0, timesteps:812
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:436
9 Result (1->win; 0->lose):0, Score:-1.0, timesteps:698
10 Result (1->win; 0->lose):0, Score:39.0, timesteps:781
11 Result (1->win; 0->lose):0, Score:50.0, timesteps:1000
12 Result (1->win; 0->lose):0, Score:45.0, timesteps:860
13 Result (1->win; 0->lose):0, Score:54.0, timesteps:922
14 Result (1->win; 0->lose):1, Score:42.0, timesteps:450
15 Result (1->win; 0->lose):1, Score:42.0, timesteps:406
16 Result (1->win; 0->lose):1, Score:51.0, timesteps:671
17 Result (1->win; 0->lose):0, Score:43.0, timesteps:730
18 Result (1->win; 0->lose):0, Score:48.0, timesteps:1000
19 Result (1->win; 0->lose):1, Score:47.0, timesteps:576
20 Result (1->win; 0->lose):0, Score:54.0, timesteps:1000
21 Result (1->win; 0->lose):0, Score:31.0, timesteps:795
22 Result (1->win; 0->lose):1, Score:46.0, timesteps:575
23 Result (1->win; 0->lose):0, Score:19.0, timesteps:502
24 Result (1->win; 0->lose):0, Score:7.0, timesteps:535
25 Result (1->win; 0->lose):0, Score:1.0, timesteps:211
26 Result (1->win; 0->lose):0, Score:46.0, timesteps:924
27 Result (1->win; 0->lose):0, Score:1.0, timesteps:262
28 Result (1->win; 0->lose):0, Score:16.0, timesteps:214
29 Result (1->win; 0->lose):0, Score:-1.0, timesteps:753
30 Result (1->win; 0->lose):1, Score:47.0, timesteps:811
31 Result (1->win; 0->lose):0, Score:21.0, timesteps:325
32 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
33 Result (1->win; 0->lose):0, Score:56.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:23.0, timesteps:796
35 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
36 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
37 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
38 Result (1->win; 0->lose):0, Score:32.0, timesteps:592
39 Result (1->win; 0->lose):1, Score:42.0, timesteps:449
40 Result (1->win; 0->lose):1, Score:42.0, timesteps:450
41 Result (1->win; 0->lose):0, Score:29.0, timesteps:364
42 Result (1->win; 0->lose):0, Score:30.0, timesteps:615
43 Result (1->win; 0->lose):0, Score:33.0, timesteps:585
44 Result (1->win; 0->lose):1, Score:42.0, timesteps:450
45 Result (1->win; 0->lose):1, Score:42.0, timesteps:450
46 Result (1->win; 0->lose):1, Score:50.0, timesteps:571
47 Result (1->win; 0->lose):1, Score:44.0, timesteps:457
48 Result (1->win; 0->lose):0, Score:43.0, timesteps:1000
