 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
98 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
99 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
100 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
101 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
102 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
103 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
104 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
105 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
106 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
107 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
108 Result (1->win; 0->lose):0, Score:-2.0, timesteps:106
109 Result (1->win; 0->lose):0, Score:-2.0, timesteps:64
110 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
111 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
112 Result (1->win; 0->lose):0, Score:-2.0, timesteps:20
113 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
114 Result (1->win; 0->lose):0, Score:-2.0, timesteps:151
115 Result (1->win; 0->lose):0, Score:-2.0, timesteps:192
116 Result (1->win; 0->lose):0, Score:-2.0, timesteps:151
117 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
118 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
119 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
120 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
121 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
122 Result (1->win; 0->lose):0, Score:-2.0, timesteps:159
123 Result (1->win; 0->lose):0, Score:-2.0, timesteps:67
124 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
125 Result (1->win; 0->lose):0, Score:-2.0, timesteps:62
126 Result (1->win; 0->lose):0, Score:-2.0, timesteps:50
127 Result (1->win; 0->lose):0, Score:0.0, timesteps:23
128 Result (1->win; 0->lose):0, Score:-2.0, timesteps:24
129 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
130 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
131 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
