 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:14.0, timesteps:749
1 Result (1->win; 0->lose):0, Score:8.0, timesteps:854
2 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
3 Result (1->win; 0->lose):0, Score:14.0, timesteps:478
4 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
5 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
6 Result (1->win; 0->lose):0, Score:36.0, timesteps:553
7 Result (1->win; 0->lose):0, Score:20.0, timesteps:608
8 Result (1->win; 0->lose):0, Score:12.0, timesteps:486
9 Result (1->win; 0->lose):0, Score:16.0, timesteps:612
10 Result (1->win; 0->lose):0, Score:14.0, timesteps:629
11 Result (1->win; 0->lose):0, Score:34.0, timesteps:778
12 Result (1->win; 0->lose):0, Score:6.0, timesteps:376
13 Result (1->win; 0->lose):0, Score:20.0, timesteps:564
14 Result (1->win; 0->lose):0, Score:20.0, timesteps:730
15 Result (1->win; 0->lose):0, Score:24.0, timesteps:660
16 Result (1->win; 0->lose):0, Score:8.0, timesteps:394
17 Result (1->win; 0->lose):0, Score:24.0, timesteps:466
18 Result (1->win; 0->lose):0, Score:24.0, timesteps:862
19 Result (1->win; 0->lose):0, Score:6.0, timesteps:340
20 Result (1->win; 0->lose):0, Score:8.0, timesteps:498
21 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
22 Result (1->win; 0->lose):0, Score:10.0, timesteps:603
23 Result (1->win; 0->lose):0, Score:24.0, timesteps:844
24 Result (1->win; 0->lose):0, Score:28.0, timesteps:917
25 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
26 Result (1->win; 0->lose):0, Score:6.0, timesteps:224
27 Result (1->win; 0->lose):0, Score:28.0, timesteps:510
28 Result (1->win; 0->lose):0, Score:24.0, timesteps:761
29 Result (1->win; 0->lose):0, Score:18.0, timesteps:723
30 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
31 Result (1->win; 0->lose):0, Score:20.0, timesteps:649
32 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
33 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:16.0, timesteps:533
35 Result (1->win; 0->lose):0, Score:24.0, timesteps:466
36 Result (1->win; 0->lose):0, Score:14.0, timesteps:468
37 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
39 Result (1->win; 0->lose):0, Score:24.0, timesteps:466
40 Result (1->win; 0->lose):0, Score:24.0, timesteps:693
41 Result (1->win; 0->lose):0, Score:30.0, timesteps:676
42 Result (1->win; 0->lose):0, Score:32.0, timesteps:790
43 Result (1->win; 0->lose):0, Score:18.0, timesteps:597
44 Result (1->win; 0->lose):0, Score:30.0, timesteps:1000
45 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
47 Result (1->win; 0->lose):0, Score:30.0, timesteps:662
48 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
49 Result (1->win; 0->lose):0, Score:18.0, timesteps:597
50 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
51 Result (1->win; 0->lose):0, Score:20.0, timesteps:503
52 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:28.0, timesteps:917
54 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
55 Result (1->win; 0->lose):0, Score:24.0, timesteps:466
56 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
58 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:22.0, timesteps:740
60 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
61 Result (1->win; 0->lose):0, Score:26.0, timesteps:677
62 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
63 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
64 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
65 Result (1->win; 0->lose):0, Score:10.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:24.0, timesteps:466
67 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
68 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
69 Result (1->win; 0->lose):0, Score:24.0, timesteps:466
70 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
71 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
72 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
73 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
74 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
75 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
77 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
79 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
80 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
82 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
83 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
84 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
85 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
86 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
87 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
88 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
89 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
90 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
91 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
92 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
93 Result (1->win; 0->lose):0, Score:34.0, timesteps:989
94 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
95 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
96 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
97 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
98 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
99 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
100 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
101 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
102 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
103 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
105 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
106 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:24.0, timesteps:466
108 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
109 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
110 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
