 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
1 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
2 Result (1->win; 0->lose):0, Score:1.0, timesteps:643
3 Result (1->win; 0->lose):0, Score:-1.0, timesteps:819
4 Result (1->win; 0->lose):0, Score:-1.0, timesteps:17
5 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
6 Result (1->win; 0->lose):0, Score:-1.0, timesteps:215
7 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
8 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
9 Result (1->win; 0->lose):0, Score:1.0, timesteps:219
10 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
11 Result (1->win; 0->lose):0, Score:1.0, timesteps:927
12 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
13 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
14 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
15 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
16 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
17 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
18 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
19 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
20 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
21 Result (1->win; 0->lose):0, Score:1.0, timesteps:915
22 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
23 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
24 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
25 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
26 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
27 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
28 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
29 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
31 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
32 Result (1->win; 0->lose):0, Score:1.0, timesteps:943
33 Result (1->win; 0->lose):0, Score:1.0, timesteps:227
34 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
35 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
36 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
37 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
38 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
39 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
40 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
41 Result (1->win; 0->lose):0, Score:-1.0, timesteps:227
42 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
43 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
45 Result (1->win; 0->lose):0, Score:-1.0, timesteps:351
46 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
47 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
48 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
49 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
50 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
51 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
52 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
53 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
54 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
55 Result (1->win; 0->lose):0, Score:-1.0, timesteps:327
56 Result (1->win; 0->lose):0, Score:1.0, timesteps:527
57 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
58 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
60 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
61 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
62 Result (1->win; 0->lose):0, Score:-1.0, timesteps:819
63 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
64 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
65 Result (1->win; 0->lose):0, Score:1.0, timesteps:779
66 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
67 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
68 Result (1->win; 0->lose):0, Score:-1.0, timesteps:819
69 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
70 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
71 Result (1->win; 0->lose):0, Score:1.0, timesteps:959
72 Result (1->win; 0->lose):0, Score:-1.0, timesteps:495
73 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
74 Result (1->win; 0->lose):0, Score:-1.0, timesteps:831
75 Result (1->win; 0->lose):0, Score:-1.0, timesteps:331
76 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
77 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
78 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
79 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
80 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
81 Result (1->win; 0->lose):0, Score:-1.0, timesteps:839
82 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
83 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
84 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
85 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
86 Result (1->win; 0->lose):0, Score:1.0, timesteps:963
87 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
88 Result (1->win; 0->lose):0, Score:1.0, timesteps:991
89 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
90 Result (1->win; 0->lose):0, Score:1.0, timesteps:971
91 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
92 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
93 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
94 Result (1->win; 0->lose):0, Score:1.0, timesteps:931
95 Result (1->win; 0->lose):0, Score:1.0, timesteps:763
96 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
97 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
98 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
99 Result (1->win; 0->lose):0, Score:-1.0, timesteps:227
100 Result (1->win; 0->lose):0, Score:-1.0, timesteps:323
101 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
102 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
103 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
104 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
105 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
106 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
107 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
108 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
109 Result (1->win; 0->lose):0, Score:-1.0, timesteps:227
110 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
111 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
112 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
113 Result (1->win; 0->lose):0, Score:-1.0, timesteps:227
114 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
115 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
116 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
117 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
118 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
119 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
120 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
121 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
122 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
123 Result (1->win; 0->lose):0, Score:-1.0, timesteps:323
124 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
125 Result (1->win; 0->lose):0, Score:1.0, timesteps:991
126 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
127 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
128 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
129 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
130 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
131 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
132 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
133 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
134 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
135 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
136 Result (1->win; 0->lose):0, Score:-1.0, timesteps:227
137 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
138 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
139 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
140 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
141 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
142 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
143 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
144 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
145 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
146 Result (1->win; 0->lose):0, Score:-1.0, timesteps:345
147 Result (1->win; 0->lose):0, Score:-1.0, timesteps:255
148 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
149 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
150 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
151 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
152 Result (1->win; 0->lose):0, Score:1.0, timesteps:959
153 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
154 Result (1->win; 0->lose):0, Score:1.0, timesteps:783
155 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
156 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
157 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
158 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
159 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
160 Result (1->win; 0->lose):0, Score:-1.0, timesteps:255
161 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
162 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
163 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
164 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
165 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
166 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
167 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
168 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
169 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
170 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
171 Result (1->win; 0->lose):0, Score:-1.0, timesteps:275
172 Result (1->win; 0->lose):0, Score:-1.0, timesteps:267
173 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
174 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
175 Result (1->win; 0->lose):0, Score:-1.0, timesteps:227
176 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
177 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
178 Result (1->win; 0->lose):0, Score:1.0, timesteps:839
179 Result (1->win; 0->lose):0, Score:1.0, timesteps:903
180 Result (1->win; 0->lose):0, Score:-1.0, timesteps:831
181 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
182 Result (1->win; 0->lose):0, Score:1.0, timesteps:943
183 Result (1->win; 0->lose):0, Score:-1.0, timesteps:305
184 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
185 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
186 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
187 Result (1->win; 0->lose):0, Score:1.0, timesteps:987
188 Result (1->win; 0->lose):0, Score:-1.0, timesteps:279
189 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
190 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
191 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
192 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
193 Result (1->win; 0->lose):0, Score:1.0, timesteps:899
194 Result (1->win; 0->lose):0, Score:-1.0, timesteps:227
195 Result (1->win; 0->lose):0, Score:-1.0, timesteps:335
