 ** Playing game examples/gridphysics/butterflies.txt, level examples/gridphysics/butterflies_lvl0.txt **
0 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
1 Result (1->win; 0->lose):0, Score:6.0, timesteps:785
2 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
3 Result (1->win; 0->lose):0, Score:16.0, timesteps:788
4 Result (1->win; 0->lose):0, Score:8.0, timesteps:506
5 Result (1->win; 0->lose):0, Score:8.0, timesteps:993
6 Result (1->win; 0->lose):0, Score:10.0, timesteps:560
7 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
8 Result (1->win; 0->lose):0, Score:4.0, timesteps:519
9 Result (1->win; 0->lose):0, Score:20.0, timesteps:905
10 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
11 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
12 Result (1->win; 0->lose):0, Score:10.0, timesteps:722
13 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
14 Result (1->win; 0->lose):0, Score:16.0, timesteps:807
15 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
16 Result (1->win; 0->lose):0, Score:8.0, timesteps:680
17 Result (1->win; 0->lose):0, Score:10.0, timesteps:953
18 Result (1->win; 0->lose):0, Score:10.0, timesteps:650
19 Result (1->win; 0->lose):0, Score:2.0, timesteps:859
20 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
21 Result (1->win; 0->lose):0, Score:28.0, timesteps:1000
22 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
23 Result (1->win; 0->lose):0, Score:16.0, timesteps:984
24 Result (1->win; 0->lose):0, Score:8.0, timesteps:620
25 Result (1->win; 0->lose):0, Score:14.0, timesteps:824
26 Result (1->win; 0->lose):0, Score:6.0, timesteps:465
27 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
28 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
29 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
30 Result (1->win; 0->lose):0, Score:10.0, timesteps:633
31 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
32 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
33 Result (1->win; 0->lose):0, Score:14.0, timesteps:1000
34 Result (1->win; 0->lose):0, Score:8.0, timesteps:517
35 Result (1->win; 0->lose):0, Score:8.0, timesteps:685
36 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
37 Result (1->win; 0->lose):0, Score:8.0, timesteps:1000
38 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
39 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
40 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
41 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
42 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
43 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
44 Result (1->win; 0->lose):0, Score:16.0, timesteps:575
45 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
46 Result (1->win; 0->lose):0, Score:18.0, timesteps:796
47 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
48 Result (1->win; 0->lose):0, Score:12.0, timesteps:577
49 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
50 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
51 Result (1->win; 0->lose):0, Score:14.0, timesteps:668
52 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
53 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
54 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
55 Result (1->win; 0->lose):0, Score:18.0, timesteps:831
56 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
57 Result (1->win; 0->lose):0, Score:8.0, timesteps:620
58 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
59 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
60 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
61 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
62 Result (1->win; 0->lose):0, Score:12.0, timesteps:601
63 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
64 Result (1->win; 0->lose):0, Score:10.0, timesteps:618
65 Result (1->win; 0->lose):0, Score:12.0, timesteps:1000
66 Result (1->win; 0->lose):0, Score:18.0, timesteps:726
67 Result (1->win; 0->lose):0, Score:14.0, timesteps:716
68 Result (1->win; 0->lose):0, Score:18.0, timesteps:627
69 Result (1->win; 0->lose):0, Score:12.0, timesteps:871
70 Result (1->win; 0->lose):0, Score:10.0, timesteps:618
71 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
72 Result (1->win; 0->lose):0, Score:6.0, timesteps:500
73 Result (1->win; 0->lose):0, Score:32.0, timesteps:1000
74 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
75 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
76 Result (1->win; 0->lose):0, Score:16.0, timesteps:704
77 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
78 Result (1->win; 0->lose):0, Score:8.0, timesteps:521
79 Result (1->win; 0->lose):0, Score:34.0, timesteps:1000
80 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
81 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
82 Result (1->win; 0->lose):0, Score:12.0, timesteps:751
83 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
84 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
85 Result (1->win; 0->lose):0, Score:14.0, timesteps:754
86 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
87 Result (1->win; 0->lose):0, Score:10.0, timesteps:458
88 Result (1->win; 0->lose):0, Score:10.0, timesteps:618
89 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
90 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
91 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
92 Result (1->win; 0->lose):0, Score:14.0, timesteps:826
93 Result (1->win; 0->lose):0, Score:6.0, timesteps:465
94 Result (1->win; 0->lose):0, Score:10.0, timesteps:806
95 Result (1->win; 0->lose):0, Score:18.0, timesteps:1000
96 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
97 Result (1->win; 0->lose):0, Score:10.0, timesteps:806
98 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
99 Result (1->win; 0->lose):0, Score:20.0, timesteps:1000
100 Result (1->win; 0->lose):0, Score:18.0, timesteps:773
101 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
102 Result (1->win; 0->lose):0, Score:18.0, timesteps:826
103 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
104 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
105 Result (1->win; 0->lose):0, Score:10.0, timesteps:705
106 Result (1->win; 0->lose):0, Score:18.0, timesteps:923
107 Result (1->win; 0->lose):0, Score:12.0, timesteps:556
108 Result (1->win; 0->lose):0, Score:10.0, timesteps:618
109 Result (1->win; 0->lose):0, Score:16.0, timesteps:1000
110 Result (1->win; 0->lose):0, Score:22.0, timesteps:1000
111 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
112 Result (1->win; 0->lose):0, Score:18.0, timesteps:874
113 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
114 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
115 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
116 Result (1->win; 0->lose):0, Score:24.0, timesteps:1000
117 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
118 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
119 Result (1->win; 0->lose):0, Score:6.0, timesteps:545
120 Result (1->win; 0->lose):0, Score:10.0, timesteps:485
121 Result (1->win; 0->lose):0, Score:18.0, timesteps:765
122 Result (1->win; 0->lose):0, Score:10.0, timesteps:631
